INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,56014e46,False,False,False,,['OTHER']
1,7049cf68,True,False,False,ProjectBuildingException,['ProjectBuildingException']
2,fabb9b46,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
3,afcac5dc,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
4,95159b7e,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
5,6a5dd3c5,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
6,6aa5514e,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
7,1cbdc01d,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
8,9cae8077,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
9,fb66032b,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
10,7fd60684,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
11,2e6d96c6,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
12,3e2e2782,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
13,71f45e9a,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
14,20abcb97,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
15,36699105,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
16,9730bc0b,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
17,12149f08,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
18,803f411a,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
19,1316fc70,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
20,33fc4642,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
21,ac7fc8a0,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
22,cca2adf0,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
23,5e1a5a8a,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
24,86c14b68,True,False,False,DependencyResolutionException,"['ArtifactResolutionException', 'DependencyResolutionException']"
25,b96011ea,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
26,b6f5c0fd,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
27,0155af2c,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
28,eb6c675c,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
29,26bc2bd1,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
30,ed3ec57b,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
31,bbbe5858,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
32,71632e31,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
33,1effeac0,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
34,df60acb6,True,False,False,MojoExecutionException,"['MojoExecutionException', 'MultipleArtifactsNotFoundException']"
