INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,4298106f,False,False,False,,['OTHER']
1,d6e35ffa,False,False,False,,['OTHER']
2,4ea826ea,False,False,False,,['OTHER']
3,6741782a,False,False,False,,['OTHER']
4,feb3f1e2,False,False,False,,['OTHER']
5,8ddacdbf,False,False,False,,['OTHER']
6,067957f0,False,False,False,,['OTHER']
7,bb3dd7f8,False,False,False,,['OTHER']
8,0dd42b17,False,False,False,,['OTHER']
9,6e72834f,False,False,False,,['OTHER']
10,e6fe21e2,False,False,False,,['OTHER']
11,b9a0cce6,False,False,False,,['OTHER']
12,6d571882,False,False,False,,['OTHER']
13,0ff2b643,False,False,False,,['OTHER']
14,878f2180,False,False,False,,['OTHER']
15,de77fc0c,False,False,False,,['OTHER']
16,388d7a65,False,False,False,,['OTHER']
17,cf932682,False,False,False,,['OTHER']
18,70dbef90,False,False,False,,['OTHER']
19,01bb89cc,False,False,False,,['OTHER']
20,3e85f190,False,False,False,,['OTHER']
21,92f00177,False,False,False,,['OTHER']
22,a3f703e3,False,False,False,,['OTHER']
23,60586ced,False,False,False,,['OTHER']
24,1b558761,False,False,False,,['OTHER']
25,addba444,False,False,False,,['OTHER']
26,6af2861f,False,False,False,,['OTHER']
27,31087404,False,False,False,,['OTHER']
28,4d2933d8,False,False,False,,['OTHER']
29,bd3e71b4,False,False,False,,['OTHER']
30,63cd7e14,False,False,False,,['OTHER']
31,e66befd2,False,False,False,,['OTHER']
32,8c5c3aa6,True,False,False,MojoExecutionException,"['MojoFailureException', 'CompilationFailureException']"
33,0ccbd702,True,False,False,MojoExecutionException,"['MojoFailureException', 'CompilationFailureException']"
34,af6f59ca,True,False,False,MojoExecutionException,"['MojoFailureException', 'CompilationFailureException']"
35,6dd05d70,True,False,False,MojoExecutionException,"['MojoFailureException', 'CompilationFailureException']"
36,17185aee,True,False,False,MojoExecutionException,"['MojoFailureException', 'CompilationFailureException']"
