INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,392edef5,False,False,False,,['OTHER']
1,7e8c90ad,True,True,True,,[]
2,71665a88,True,True,True,,[]
3,c638ed5a,True,True,True,,[]
4,470e10eb,True,True,True,,[]
5,dc902d23,True,True,True,,[]
6,21781640,True,False,False,ProjectBuildingException,['ProjectBuildingException']
7,488b39ee,True,True,True,,[]
8,cfdfea48,True,True,True,,[]
9,829a0ba4,True,True,True,,[]
10,5ff1a9f9,True,True,True,,[]
11,0963f573,True,True,True,,[]
12,a95fab76,True,True,True,,[]
13,9789417a,True,True,True,,[]
14,141b1221,True,True,True,,[]
15,5d0026cb,True,True,True,,[]
16,fa214198,True,True,True,,[]
17,50a8488e,True,True,True,,[]
18,ed3295fc,True,True,True,,[]
19,fbe019b2,True,True,True,,[]
20,09f661e3,True,True,True,,[]
21,50799334,True,True,True,,[]
22,e2f380f5,True,True,True,,[]
23,b8a971c3,True,True,True,,[]
24,2f51b105,True,True,True,,[]
25,72c7422e,True,True,True,,[]
26,8f7e3c6c,True,True,True,,[]
27,1da6459f,True,True,True,,[]
28,299f6723,True,True,True,,[]
29,af437a34,True,True,True,,[]
30,d8526d51,True,True,True,,[]
31,2cc13d6c,True,True,True,,[]
32,80111697,True,True,True,,[]
33,3d2a4ff2,True,True,True,,[]
34,a1086c6b,True,True,True,,[]
35,e377698d,True,True,True,,[]
36,5abfdbc9,True,True,True,,[]
37,fd3da2e1,True,True,True,,[]
38,bf5add9a,True,True,True,,[]
39,90d92fd5,True,True,True,,[]
40,eaddbcfc,True,True,True,,[]
41,5ee73f20,True,True,True,,[]
42,00c9bfdd,True,True,True,,[]
43,702e366d,True,True,True,,[]
44,649dae8a,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
45,fbf67999,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
46,e8d34aa0,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
47,9d89ec73,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
48,780f06ef,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
49,acab1b25,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
50,4f489887,True,False,False,ArtifactResolutionException,"['ArtifactResolutionException', 'ProjectBuildingException', 'UnresolvableModelException']"
