INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,9a9932e2,False,False,False,,['OTHER']
1,e4f15dae,True,False,False,CompilationFailureException,"['MojoFailureException', 'CompilationFailureException']"
2,46880b8b,True,True,True,,[]
3,578f8c5b,True,True,True,,[]
4,daae6a48,True,True,True,,[]
5,e6747846,True,True,True,,[]
6,25889fdb,True,True,True,,[]
7,e0fa56d9,True,True,True,,[]
8,69315cf8,True,True,True,,[]
9,ebdad228,True,True,True,,[]
10,6c2446bd,True,True,True,,[]
11,e27054ea,True,True,True,,[]
12,e371435d,True,True,True,,[]
13,e3412167,True,True,True,,[]
14,b7449078,True,True,True,,[]
15,856ded09,True,True,True,,[]
16,73535f88,True,True,True,,[]
17,2369f635,True,True,True,,[]
18,e5e5ac38,True,True,True,,[]
19,1d0f5456,True,True,True,,[]
20,6ee3f6e8,True,True,True,,[]
21,c5dc1029,True,True,True,,[]
22,a92d0062,True,True,True,,[]
23,e25557a6,True,True,True,,[]
24,6412b2c0,True,True,True,,[]
25,696a765e,True,True,True,,[]
26,27041661,True,True,True,,[]
