INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,b8f34068,False,False,False,,['OTHER']
1,57025e10,True,True,True,,[]
2,e30d928f,True,True,True,,[]
3,ca3b6266,True,True,True,,[]
4,d7a11956,True,True,True,,[]
5,ba6b5aa2,True,False,False,CompilationFailureException,"['MojoFailureException', 'CompilationFailureException']"
6,5a795c99,True,True,True,,[]
7,a8663e00,True,True,True,,[]
8,3f1e5c57,True,True,True,,[]
9,85089d1b,True,True,True,,[]
10,ccb97a17,True,True,True,,[]
11,b0b4b742,True,True,True,,[]
12,2c35c2d2,True,True,True,,[]
13,69a12d0e,True,False,False,ProjectBuildingException,['ProjectBuildingException']
14,69788e45,True,True,True,,[]
15,b3fb3187,True,True,True,,[]
16,0d9a6033,True,True,True,,[]
17,48c9216b,True,True,True,,[]
18,04696c95,True,True,True,,[]
19,87dcca3f,True,True,True,,[]
20,cee3ebe0,True,True,True,,[]
21,c4cda236,True,True,True,,[]
22,064c556d,True,True,True,,[]
23,865270bd,True,True,True,,[]
24,435fe357,True,True,True,,[]
25,708be288,True,True,True,,[]
26,308207e0,True,True,True,,[]
27,34f5e13d,True,True,True,,[]
28,ab7b1eb9,True,True,True,,[]
29,0903699b,True,True,True,,[]
30,25d3f45e,True,True,True,,[]
31,f82c1429,True,True,True,,[]
32,f242be81,True,True,True,,[]
33,1c7cd4d7,True,True,True,,[]
34,c898e612,True,True,True,,[]
35,d55a0e8f,True,True,True,,[]
36,a64aee49,True,True,True,,[]
37,e399cfc0,True,True,True,,[]
38,8b476b0a,True,True,True,,[]
39,5cab44a0,True,True,True,,[]
40,a7f6ecd6,True,True,True,,[]
41,d778440f,True,True,True,,[]
42,73fb6524,True,True,True,,[]
43,debc790b,True,True,True,,[]
44,3b802217,True,True,True,,[]
45,f8f93662,True,True,True,,[]
46,71679337,True,True,True,,[]
47,7299db74,True,True,True,,[]
48,68429e0b,True,True,True,,[]
49,6f2f2df6,True,True,True,,[]
50,1771c4a1,True,True,True,,[]
51,e6f5ae33,True,True,True,,[]
52,9d5f3435,True,True,True,,[]
53,98b98829,True,True,True,,[]
54,cd4de014,True,True,True,,[]
55,21555057,True,True,True,,[]
56,472fe0cb,True,True,True,,[]
57,2f2fb269,True,True,True,,[]
58,4dddc647,True,True,True,,[]
59,0bfd6f9e,True,True,True,,[]
60,f4aaa63e,True,True,True,,[]
61,d01f9cef,True,True,True,,[]
62,c73eae6a,True,True,True,,[]
63,f818e0ea,True,True,True,,[]
64,b4173289,True,True,True,,[]
65,b659700f,True,True,True,,[]
66,309a18aa,True,True,True,,[]
67,c4e10093,True,True,True,,[]
