INDEX,COMMIT_ID,IS_MAVEN,OLD_BUILD_SUCCESSFUL,NEW_BUILD_SUCCESSFUL,OLD_EXCEPTION,NEW_EXCEPTION
0,5c03a5b2,False,False,False,,['OTHER']
1,8ecab9a6,False,False,False,,['OTHER']
2,34f68ef4,False,False,False,,['OTHER']
3,21586bb4,True,True,True,,[]
4,b48a6d96,True,True,True,,[]
5,470c3ed4,True,False,False,MojoExecutionException,['MojoExecutionException']
6,10dacef4,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
7,dd61aa37,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
8,5c4adfbb,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
9,6fe9149f,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
10,ae294945,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
11,127fcf0d,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
12,c66dd2a7,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
13,0accefad,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
14,c847cb08,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
15,ec6897f1,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
16,ad921bb9,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
17,bc18e376,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
18,64df2f61,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
19,f2158836,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
20,d5704bc5,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
21,d2abbfea,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
22,5383422e,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
23,29c61663,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
24,4597be86,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
25,4bbd7ef6,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
26,070ceaf8,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
27,2b9814db,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
28,75f8ee9e,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
29,a5b415f3,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
30,86a9c6f3,True,True,False,,"['ArtifactResolutionException', 'DependencyResolutionException']"
