Project,Total,Success,Fail,MavenSuccess,MavenFail,GradleSuccess,GradleFail,AntSuccess,AntFail,NoBuildSystem
zxing,3527,856,2671,856,167,0,0,0,2479,25
wiremock,1827,10,1817,0,0,10,1358,0,0,459
incubator-pinot,6915,1594,5321,1594,5309,0,0,0,0,12
junit4,2432,1125,1307,1125,20,0,0,0,1280,7
httpcomponents-client,3119,1944,1175,1944,970,0,0,0,185,20
nifi,5786,0,5786,0,4742,0,0,0,0,1044
powermock,1607,606,1001,596,817,10,184,0,0,0
bookkeeper,2258,250,2008,250,1980,0,0,0,0,28
Twitter4J,2318,851,1467,851,1467,0,0,0,0,0
spring-data-jpa,1407,535,872,535,871,0,0,0,0,1
connectbot,1791,0,1791,0,0,0,1146,0,581,64
docker-java,1983,977,1006,977,1005,0,0,0,0,1
pig,3693,518,3175,0,0,0,0,518,3174,1
fastjson,3515,2677,838,2677,837,0,0,0,0,1
opengrok,5155,2683,2472,2683,1450,0,0,0,1021,1
Jest,1147,457,690,457,689,0,0,0,0,1
mina,2401,1218,1183,1218,1182,0,0,0,0,1
javaparser,6495,5998,497,5580,450,418,39,0,0,8
mockito,5251,2984,2267,0,0,1032,2187,1952,69,11
commons-lang,5724,4943,781,4051,33,0,0,892,747,1
Hystrix,2109,1115,994,0,0,1115,993,0,0,1
json-schema-validator,2787,2407,380,2405,175,2,205,0,0,0
swagger-core,3706,1798,1908,1798,1857,0,0,0,50,1
spring-security-oauth,1383,535,848,535,847,0,0,0,0,1
jgit,7847,6723,1124,6723,1075,0,0,0,0,49
jacoco,1676,0,1676,0,826,0,0,0,0,850
thymeleaf,1654,0,1654,0,1653,0,0,0,0,1
quickstart,2139,986,1153,986,801,0,0,0,0,352
kairosdb,1368,242,1126,242,35,0,0,0,0,1091
log4j,3275,133,3142,133,486,0,0,0,2279,377
aws-sdk-java,2496,2231,265,2231,265,0,0,0,0,0
elasticsearch-hadoop,1983,0,1983,0,0,0,1983,0,0,0
jsprit,2093,1052,1041,1052,976,0,0,0,0,65
java-client,1517,424,1093,424,315,0,734,0,0,44
java-driver,1398,770,628,770,628,0,0,0,0,0
assertj-core,2855,2435,420,2435,420,0,0,0,0,0
jackson-databind,6475,1503,4972,1503,4972,0,0,0,0,0
