INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,8e3684ae,NOT_FOUND,FAIL,No build system detected,-
1,7407d5af,NOT_FOUND,FAIL,No build system detected,-
2,37c88ce9,NOT_FOUND,FAIL,No build system detected,-
3,a87babcf,NOT_FOUND,FAIL,No build system detected,-
4,a6fa0576,NOT_FOUND,FAIL,No build system detected,-
5,ca72710c,NOT_FOUND,FAIL,No build system detected,-
6,7e7972f8,NOT_FOUND,FAIL,No build system detected,-
7,0ddf7ae8,NOT_FOUND,FAIL,No build system detected,-
8,9dc02480,NOT_FOUND,FAIL,No build system detected,-
9,e6deb3dc,NOT_FOUND,FAIL,No build system detected,-
10,b89fbce4,NOT_FOUND,FAIL,No build system detected,-
11,e844381e,NOT_FOUND,FAIL,No build system detected,-
12,860803f3,NOT_FOUND,FAIL,No build system detected,-
13,4401066e,NOT_FOUND,FAIL,No build system detected,-
14,a8386b63,NOT_FOUND,FAIL,No build system detected,-
15,e9bd7f04,NOT_FOUND,FAIL,No build system detected,-
16,2e559059,NOT_FOUND,FAIL,No build system detected,-
17,ba79620b,NOT_FOUND,FAIL,No build system detected,-
18,933bad83,NOT_FOUND,FAIL,No build system detected,-
19,52efa99d,NOT_FOUND,FAIL,No build system detected,-
20,a001b2f6,NOT_FOUND,FAIL,No build system detected,-
21,6b98bbb7,NOT_FOUND,FAIL,No build system detected,-
22,361a5bf6,NOT_FOUND,FAIL,No build system detected,-
23,b913622d,NOT_FOUND,FAIL,No build system detected,-
24,207de818,NOT_FOUND,FAIL,No build system detected,-
25,aecc4e11,NOT_FOUND,FAIL,No build system detected,-
26,3cf838e0,NOT_FOUND,FAIL,No build system detected,-
27,01c4a785,NOT_FOUND,FAIL,No build system detected,-
28,2f5d7987,NOT_FOUND,FAIL,No build system detected,-
29,da023a76,NOT_FOUND,FAIL,No build system detected,-
30,03b466a1,Maven,FAIL,ArtifactResolutionException,Resolution
31,f42aceb5,Maven,FAIL,ArtifactResolutionException,Resolution
32,1bb3c4cf,NOT_FOUND,FAIL,No build system detected,-
33,ace5f7b5,NOT_FOUND,FAIL,No build system detected,-
34,ac2ce401,NOT_FOUND,FAIL,No build system detected,-
35,8d4f4b5d,NOT_FOUND,FAIL,No build system detected,-
36,767f56bf,Maven,FAIL,ArtifactResolutionException,Resolution
37,51088c16,Maven,FAIL,ArtifactResolutionException,Resolution
38,49a26581,Maven,FAIL,ArtifactResolutionException,Resolution
39,12b99e6f,Maven,FAIL,ArtifactResolutionException,Resolution
40,57d8a3b4,Maven,FAIL,ArtifactResolutionException,Resolution
41,5b707d93,Maven,FAIL,ArtifactResolutionException,Resolution
42,85c53e52,Maven,FAIL,ArtifactResolutionException,Resolution
43,cfc45ece,Maven,FAIL,ArtifactResolutionException,Resolution
44,84705d04,Maven,FAIL,ArtifactResolutionException,Resolution
45,c9ef3093,Maven,FAIL,ArtifactResolutionException,Resolution
46,51a69ffb,Maven,FAIL,ArtifactResolutionException,Resolution
47,0191732a,Maven,FAIL,ArtifactResolutionException,Resolution
48,f453643e,Maven,FAIL,ArtifactResolutionException,Resolution
49,e2ecb66e,Maven,FAIL,ArtifactResolutionException,Resolution
50,b5f61b53,Maven,FAIL,ArtifactResolutionException,Resolution
51,a2ae40c9,Maven,FAIL,ArtifactResolutionException,Resolution
52,41a0e800,Maven,FAIL,ArtifactResolutionException,Resolution
53,a4d318f0,Maven,FAIL,ArtifactResolutionException,Resolution
54,bdfb8d5c,Maven,FAIL,ArtifactResolutionException,Resolution
55,d54db4d1,Maven,FAIL,ArtifactResolutionException,Resolution
56,4fb70de8,Maven,FAIL,ArtifactResolutionException,Resolution
57,31c54e3d,Maven,FAIL,ArtifactResolutionException,Resolution
58,7847102f,Maven,FAIL,ArtifactResolutionException,Resolution
59,3f9f90f2,Maven,FAIL,ArtifactResolutionException,Resolution
60,ae9ec769,Maven,FAIL,ArtifactResolutionException,Resolution
61,dd7d3502,Maven,FAIL,ArtifactResolutionException,Resolution
62,9e642bb1,NOT_FOUND,FAIL,No build system detected,-
63,76070970,NOT_FOUND,FAIL,No build system detected,-
64,55f9492c,NOT_FOUND,FAIL,No build system detected,-
65,03a1f564,NOT_FOUND,FAIL,No build system detected,-
66,85130273,NOT_FOUND,FAIL,No build system detected,-
67,fbf4a808,NOT_FOUND,FAIL,No build system detected,-
68,0821f7ba,NOT_FOUND,FAIL,No build system detected,-
69,d48561d0,NOT_FOUND,FAIL,No build system detected,-
70,19a13775,NOT_FOUND,FAIL,No build system detected,-
71,751f1602,NOT_FOUND,FAIL,No build system detected,-
72,7b242f51,NOT_FOUND,FAIL,No build system detected,-
73,4c8b1720,NOT_FOUND,FAIL,No build system detected,-
74,0080dd93,NOT_FOUND,FAIL,No build system detected,-
75,77904b70,NOT_FOUND,FAIL,No build system detected,-
76,a0b30fa8,NOT_FOUND,FAIL,No build system detected,-
77,a50062b4,NOT_FOUND,FAIL,No build system detected,-
78,b3bac49d,NOT_FOUND,FAIL,No build system detected,-
79,8a9348be,NOT_FOUND,FAIL,No build system detected,-
80,4c96b561,NOT_FOUND,FAIL,No build system detected,-
81,ce1b9002,NOT_FOUND,FAIL,No build system detected,-
82,7bc75f2a,NOT_FOUND,FAIL,No build system detected,-
83,c9b7d56a,NOT_FOUND,FAIL,No build system detected,-
84,87097b0b,NOT_FOUND,FAIL,No build system detected,-
85,b547187c,NOT_FOUND,FAIL,No build system detected,-
86,31853409,NOT_FOUND,FAIL,No build system detected,-
87,fc36d966,NOT_FOUND,FAIL,No build system detected,-
88,0a69c4e3,NOT_FOUND,FAIL,No build system detected,-
89,66f34f9b,NOT_FOUND,FAIL,No build system detected,-
90,d132f109,NOT_FOUND,FAIL,No build system detected,-
91,c869c2a7,NOT_FOUND,FAIL,No build system detected,-
92,7772d7a1,NOT_FOUND,FAIL,No build system detected,-
93,e2b67415,NOT_FOUND,FAIL,No build system detected,-
94,1b5a237c,NOT_FOUND,FAIL,No build system detected,-
95,979d876e,NOT_FOUND,FAIL,No build system detected,-
96,34b48b29,NOT_FOUND,FAIL,No build system detected,-
97,69630e27,NOT_FOUND,FAIL,No build system detected,-
98,cc15bc75,NOT_FOUND,FAIL,No build system detected,-
99,5bf2eac6,NOT_FOUND,FAIL,No build system detected,-
100,128457d5,NOT_FOUND,FAIL,No build system detected,-
101,d5c3d9e3,NOT_FOUND,FAIL,No build system detected,-
102,5f6990ed,NOT_FOUND,FAIL,No build system detected,-
103,f5f7cc59,NOT_FOUND,FAIL,No build system detected,-
104,523b94ad,NOT_FOUND,FAIL,No build system detected,-
105,14edf4c2,NOT_FOUND,FAIL,No build system detected,-
