INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,6b026a40,Maven,SUCCESS,,
1,6743bae2,Maven,FAIL,DependencyResolutionException,Resolution
2,c5ea4b23,Maven,FAIL,DependencyResolutionException,Resolution
3,eeaf8407,Maven,FAIL,DependencyResolutionException,Resolution
4,83cd8580,Maven,FAIL,DependencyResolutionException,Resolution
5,7a439a04,Maven,FAIL,DependencyResolutionException,Resolution
6,75715dfd,Maven,SUCCESS,,
7,9352a0b2,Maven,SUCCESS,,
8,7cce2b10,Maven,SUCCESS,,
9,a936bdbc,Maven,SUCCESS,,
10,69eae3f7,Maven,SUCCESS,,
11,264a8c54,Maven,SUCCESS,,
12,1d7caf48,Maven,SUCCESS,,
13,869c4697,Maven,SUCCESS,,
14,f2811999,Maven,SUCCESS,,
15,78165624,Maven,SUCCESS,,
16,fc9c69a7,Maven,SUCCESS,,
17,d34c1536,Maven,SUCCESS,,
18,90bc55ee,Maven,SUCCESS,,
19,5c8dc02d,Maven,SUCCESS,,
20,7ef74344,Maven,SUCCESS,,
21,dc8a61e9,Maven,SUCCESS,,
22,f44df6ab,Maven,SUCCESS,,
23,074a1aab,Maven,SUCCESS,,
24,035f3135,Maven,SUCCESS,,
25,43a9cd85,Maven,FAIL,InternalErrorException,Other
26,531e3252,Maven,SUCCESS,,
27,ae8d844e,Maven,SUCCESS,,
28,4f6fa467,Maven,SUCCESS,,
29,447aab88,Maven,SUCCESS,,
30,8be84852,Maven,SUCCESS,,
31,463acdde,Maven,SUCCESS,,
32,570c895c,Maven,SUCCESS,,
33,c0bbbf7e,Maven,SUCCESS,,
34,eb990843,Maven,SUCCESS,,
35,d8afd1b0,Maven,SUCCESS,,
36,61978372,Maven,SUCCESS,,
37,2f20f911,Maven,SUCCESS,,
38,b1ac7b30,Maven,SUCCESS,,
39,90223518,Maven,SUCCESS,,
40,efebabad,Maven,SUCCESS,,
41,87e28c8e,Maven,SUCCESS,,
42,9fe20ee1,Maven,SUCCESS,,
43,cb4c4fb3,Maven,SUCCESS,,
44,14ca3e6c,Maven,SUCCESS,,
45,2b08c776,Maven,SUCCESS,,
46,e6022ece,Maven,SUCCESS,,
47,e95f1849,Maven,SUCCESS,,
48,e621352e,Maven,FAIL,InternalErrorException,Other
49,4d3f6047,Maven,FAIL,InternalErrorException,Other
50,dc46d2e4,Maven,FAIL,InternalErrorException,Other
51,82b5bbda,Maven,SUCCESS,,
52,c50e0c21,Maven,SUCCESS,,
53,0f625f5f,Maven,FAIL,Other Maven error,Other
54,2cda7e0e,Maven,SUCCESS,,
55,209b8526,Maven,SUCCESS,,
56,fd2b368f,Maven,SUCCESS,,
57,5384786c,Maven,SUCCESS,,
58,49778f31,Maven,SUCCESS,,
59,0a183e02,Maven,FAIL,InternalErrorException,Other
60,a67efd8f,Maven,SUCCESS,,
61,02003ef0,Maven,SUCCESS,,
62,96e7e694,Maven,FAIL,InternalErrorException,Other
63,7e8743e3,Maven,FAIL,InternalErrorException,Other
64,a510a1c5,Maven,FAIL,InternalErrorException,Other
65,bf75cdad,Maven,FAIL,InternalErrorException,Other
66,06eb9b7a,Maven,FAIL,InternalErrorException,Other
67,6dae741e,Maven,FAIL,InternalErrorException,Other
68,7ff6c8e6,Maven,FAIL,InternalErrorException,Other
69,b6d342ac,Maven,FAIL,InternalErrorException,Other
70,8dc114d1,Maven,FAIL,InternalErrorException,Other
71,51bb7410,Maven,FAIL,InternalErrorException,Other
72,e633d8ae,Maven,FAIL,InternalErrorException,Other
73,6f24fcd8,Maven,FAIL,InternalErrorException,Other
74,764b2809,Maven,FAIL,InternalErrorException,Other
75,6bc5001b,Maven,FAIL,InternalErrorException,Other
76,b83eb48a,Maven,FAIL,InternalErrorException,Other
77,b35b0ba4,Maven,FAIL,InternalErrorException,Other
78,bd24ae41,Maven,FAIL,ArtifactResolutionException,Resolution
79,8bb5b7e7,Maven,FAIL,InternalErrorException,Other
80,862d3cee,Maven,FAIL,InternalErrorException,Other
81,7e909595,Maven,FAIL,InternalErrorException,Other
82,4a138d46,Maven,FAIL,InternalErrorException,Other
83,49f19ee7,Maven,FAIL,InternalErrorException,Other
84,e892e91c,Maven,FAIL,InternalErrorException,Other
85,faa14826,Maven,FAIL,InternalErrorException,Other
86,a70df058,Maven,FAIL,InternalErrorException,Other
87,a3a2c56f,Maven,FAIL,InternalErrorException,Other
88,a875cf04,Maven,FAIL,InternalErrorException,Other
89,28d3fc4e,Maven,FAIL,InternalErrorException,Other
90,fc36e92b,Maven,FAIL,InternalErrorException,Other
91,8d0a1be0,Maven,FAIL,InternalErrorException,Other
92,6f9b19c0,Maven,FAIL,InternalErrorException,Other
93,0d067a13,Maven,FAIL,InternalErrorException,Other
94,8cee0c9f,Maven,FAIL,InternalErrorException,Other
95,50eeb459,Maven,FAIL,InternalErrorException,Other
96,a1f59d07,Maven,FAIL,InternalErrorException,Other
97,7fbb5ff4,Maven,FAIL,InternalErrorException,Other
98,e348de5b,Maven,FAIL,InternalErrorException,Other
99,439c2879,Maven,FAIL,InternalErrorException,Other
100,85fd661b,Maven,FAIL,InternalErrorException,Other
101,e64eb275,Maven,FAIL,InternalErrorException,Other
102,13f431c2,Maven,FAIL,InternalErrorException,Other
103,2d0c9140,Maven,FAIL,InternalErrorException,Other
104,8ab73f5c,Maven,FAIL,InternalErrorException,Other
105,958255b2,Maven,FAIL,InternalErrorException,Other
106,df47d15e,Maven,FAIL,InternalErrorException,Other
107,b7c8ac2c,Maven,FAIL,InternalErrorException,Other
108,c8b8e608,Maven,FAIL,InternalErrorException,Other
109,65f66751,Maven,FAIL,InternalErrorException,Other
110,b4992d1b,Maven,FAIL,InternalErrorException,Other
111,33c2a2c2,Maven,FAIL,InternalErrorException,Other
112,252778cd,Maven,SUCCESS,,
113,a9a7e48a,Maven,FAIL,InternalErrorException,Other
114,1a6be5cd,Maven,SUCCESS,,
115,045c79bc,Maven,SUCCESS,,
116,33699ce7,Maven,SUCCESS,,
117,4c926d25,Maven,SUCCESS,,
118,d7f5d1de,Maven,SUCCESS,,
119,334ebcd0,Maven,SUCCESS,,
120,9a300c98,Maven,SUCCESS,,
121,041722b5,Maven,SUCCESS,,
122,d1821e97,Maven,SUCCESS,,
123,70840d08,Maven,SUCCESS,,
124,da0d8a55,Maven,SUCCESS,,
125,d18d5954,Maven,SUCCESS,,
126,30eb6d04,Maven,SUCCESS,,
127,5d590178,Maven,SUCCESS,,
128,b9ca95db,Maven,SUCCESS,,
129,2491dbbf,Maven,SUCCESS,,
130,ef31f490,Maven,SUCCESS,,
131,a401dbf0,Maven,SUCCESS,,
132,0c799e6d,Maven,SUCCESS,,
133,c94e9c0d,Maven,SUCCESS,,
134,f9ea4c3c,Maven,SUCCESS,,
135,18e99a12,Maven,SUCCESS,,
136,54857e8a,Maven,SUCCESS,,
137,8b10a3cf,Maven,SUCCESS,,
138,87908e3a,Maven,SUCCESS,,
139,009a7e5c,Maven,SUCCESS,,
140,eb3be25b,Maven,SUCCESS,,
141,ed85bab7,Maven,SUCCESS,,
142,c02db444,Maven,SUCCESS,,
143,c2f2e516,Maven,SUCCESS,,
144,b15a82ce,Maven,SUCCESS,,
145,745a6b22,Maven,SUCCESS,,
146,efcef0cf,Maven,SUCCESS,,
147,e9bdf120,Maven,SUCCESS,,
148,003e91a4,Maven,SUCCESS,,
149,e2883be4,Maven,SUCCESS,,
150,3463cca2,Maven,SUCCESS,,
151,c8f9fcab,Maven,SUCCESS,,
152,858a98c0,Maven,SUCCESS,,
153,2c0b2b7c,Maven,SUCCESS,,
154,495ff100,Maven,SUCCESS,,
155,bd32544f,Maven,SUCCESS,,
156,cf49d27c,Maven,SUCCESS,,
157,2bec8752,Maven,SUCCESS,,
158,97e1d1f0,Maven,SUCCESS,,
159,40ed493a,Maven,SUCCESS,,
160,cd9cac6a,Maven,SUCCESS,,
161,26bd0f3e,Maven,SUCCESS,,
162,6d56fea6,Maven,SUCCESS,,
163,96a4c021,Maven,SUCCESS,,
164,379f8d59,Maven,SUCCESS,,
165,44af5e95,Maven,SUCCESS,,
166,6ec3d648,Maven,SUCCESS,,
167,5577ce32,Maven,SUCCESS,,
168,172c614e,Maven,SUCCESS,,
169,76aa01d4,Maven,SUCCESS,,
