INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,c654ee66,Maven,SUCCESS,,
1,a9ca30aa,Maven,SUCCESS,,
2,aa0002fa,Maven,SUCCESS,,
3,b7cacfde,Maven,SUCCESS,,
4,386962e0,Maven,SUCCESS,,
5,27116030,Maven,SUCCESS,,
6,bc371bc1,Maven,SUCCESS,,
7,a430061b,Maven,SUCCESS,,
8,62441281,Maven,SUCCESS,,
9,413c3a29,Maven,SUCCESS,,
10,782ccfa6,Maven,SUCCESS,,
11,ea9ee0ac,Maven,SUCCESS,,
12,33721efa,Maven,SUCCESS,,
13,df84c84b,Maven,SUCCESS,,
14,3208edce,Maven,SUCCESS,,
15,bd29fc2a,Maven,SUCCESS,,
16,6d59b9f1,NOT_FOUND,FAIL,No build system detected,-
17,cd2afa72,NOT_FOUND,FAIL,No build system detected,-
18,25f313ac,Maven,SUCCESS,,
19,c4991f09,Maven,SUCCESS,,
20,74163d6d,Maven,SUCCESS,,
21,0aeaa9cd,Maven,SUCCESS,,
22,e8513f78,Maven,SUCCESS,,
23,d9344478,Maven,SUCCESS,,
24,bc34974d,Maven,SUCCESS,,
25,1112c0b2,Maven,SUCCESS,,
26,8226e58e,Maven,SUCCESS,,
27,32e82dca,Maven,SUCCESS,,
28,ef72786e,Maven,SUCCESS,,
29,05d408c1,Maven,SUCCESS,,
30,6df7490b,Maven,SUCCESS,,
31,5aa37882,Maven,SUCCESS,,
32,5f8f31b3,Maven,SUCCESS,,
33,8f75c366,Maven,SUCCESS,,
34,15793851,Maven,SUCCESS,,
35,d0d0f1d4,Maven,SUCCESS,,
36,56c58994,Maven,SUCCESS,,
37,77d837ac,Maven,SUCCESS,,
38,e588abd1,Maven,SUCCESS,,
39,4ac5c20b,Maven,SUCCESS,,
40,ce86127e,Maven,SUCCESS,,
41,7f297e9c,Maven,SUCCESS,,
42,d218e7e6,Maven,SUCCESS,,
43,bf8e86cc,Maven,SUCCESS,,
44,f06c83ce,Maven,SUCCESS,,
45,1d0a40f7,Maven,SUCCESS,,
46,22fe6b0e,Maven,SUCCESS,,
47,ca1010fc,Maven,SUCCESS,,
48,f47e0dbd,Maven,SUCCESS,,
49,fc9892a3,Maven,SUCCESS,,
50,c9fa125d,Maven,SUCCESS,,
51,265029e7,Maven,SUCCESS,,
52,98ba871a,Maven,SUCCESS,,
53,b76858db,Maven,SUCCESS,,
54,df0a2e6e,Maven,SUCCESS,,
55,75037c8f,Maven,SUCCESS,,
56,fb20fd23,Maven,SUCCESS,,
57,dddc1048,Maven,SUCCESS,,
58,0680f8ba,Maven,SUCCESS,,
59,d6a872ac,Maven,SUCCESS,,
60,3ed5d33c,Maven,SUCCESS,,
61,9133f868,Maven,SUCCESS,,
62,c135651c,Maven,SUCCESS,,
63,5425d100,Maven,SUCCESS,,
64,313adebd,Maven,SUCCESS,,
65,f5ccfef2,Maven,SUCCESS,,
66,d2a45d31,Maven,FAIL,MojoFailureException,Other
67,b613c762,Maven,SUCCESS,,
68,141452b0,Maven,FAIL,MojoFailureException,Other
69,c8ec77a7,Maven,FAIL,MojoFailureException,Other
70,3e339874,Maven,FAIL,MojoFailureException,Other
71,0485b269,Maven,FAIL,MojoFailureException,Other
72,46b531ee,Maven,SUCCESS,,
73,711158ae,Maven,FAIL,MojoFailureException,Other
74,21be1e5e,Maven,SUCCESS,,
75,4f15e227,Maven,SUCCESS,,
76,04cd7612,Maven,SUCCESS,,
77,be1f67af,Maven,SUCCESS,,
78,3f41b5f7,Maven,SUCCESS,,
79,eb6538e1,Maven,SUCCESS,,
80,89362e07,Maven,SUCCESS,,
81,4b1df76a,Maven,SUCCESS,,
82,8158f451,Maven,SUCCESS,,
83,3cc681b5,Maven,SUCCESS,,
84,e59364f8,Maven,SUCCESS,,
85,9b575066,Maven,SUCCESS,,
86,dca7749f,Maven,SUCCESS,,
87,08e65dd5,Maven,SUCCESS,,
88,84b63a95,Maven,SUCCESS,,
89,d329de53,Maven,SUCCESS,,
90,1708b2ab,Maven,SUCCESS,,
91,9f85aa83,Maven,SUCCESS,,
92,f723b7f5,Maven,SUCCESS,,
93,32eaf8cc,Maven,SUCCESS,,
94,8c6c8ccc,Maven,SUCCESS,,
95,76b507b4,Maven,SUCCESS,,
96,d84d72b3,Maven,SUCCESS,,
97,177d9075,Maven,SUCCESS,,
98,fed864db,Maven,SUCCESS,,
99,d668b52d,Maven,SUCCESS,,
100,e189683d,Maven,SUCCESS,,
101,9b874abb,Maven,SUCCESS,,
102,db70ab64,Maven,SUCCESS,,
103,456359b3,Maven,SUCCESS,,
104,2f16f532,Maven,SUCCESS,,
105,2bac3bd2,Maven,SUCCESS,,
106,72ebcc25,Maven,SUCCESS,,
107,55c41b5c,Maven,SUCCESS,,
108,7f20830d,Maven,SUCCESS,,
109,c0285892,Maven,SUCCESS,,
110,5fa138dd,Maven,SUCCESS,,
111,9e536cb8,Maven,SUCCESS,,
112,32cfdbd3,Maven,SUCCESS,,
113,187497e3,Maven,SUCCESS,,
114,2c303e49,Maven,SUCCESS,,
115,dbd2477f,Maven,SUCCESS,,
116,6546cd99,Maven,SUCCESS,,
117,2ff26d95,Maven,SUCCESS,,
118,a976d5df,Maven,SUCCESS,,
