INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,765b061b,NOT_FOUND,FAIL,No build system detected,-
1,4be3f66c,Maven,SUCCESS,,
2,2f9bd2a5,Maven,SUCCESS,,
3,b3ec84c7,Maven,SUCCESS,,
4,5d6cb90d,Maven,SUCCESS,,
5,e73ed78d,Maven,SUCCESS,,
6,bba5127f,Maven,SUCCESS,,
7,7f3df5b9,Maven,SUCCESS,,
8,8b03eba1,Maven,SUCCESS,,
9,7544b60d,Maven,SUCCESS,,
10,f63a0e97,Maven,SUCCESS,,
11,25a27b9d,Maven,SUCCESS,,
12,529d2248,Maven,SUCCESS,,
13,2b0cf097,Maven,SUCCESS,,
14,d67dce17,Maven,SUCCESS,,
15,99c70ce5,Maven,SUCCESS,,
16,a2813102,Maven,SUCCESS,,
17,b81c6e43,Maven,SUCCESS,,
18,465a935e,Maven,SUCCESS,,
19,b70ed459,Maven,SUCCESS,,
20,ed7985da,Maven,SUCCESS,,
21,c94e2742,Maven,SUCCESS,,
22,1aa02427,Maven,SUCCESS,,
23,6703de81,Maven,SUCCESS,,
24,6b625e00,Maven,SUCCESS,,
25,26168759,Maven,SUCCESS,,
26,52f8996d,Maven,SUCCESS,,
27,f93cd24b,Maven,SUCCESS,,
28,3f99dc1f,Maven,SUCCESS,,
29,914777fb,Maven,SUCCESS,,
30,7379e8fc,Maven,SUCCESS,,
31,f8edfff2,Maven,SUCCESS,,
32,84663448,Maven,SUCCESS,,
33,a19aa436,Maven,SUCCESS,,
34,02ec81c6,Maven,SUCCESS,,
35,5395edb5,Maven,SUCCESS,,
36,3fda34cc,Maven,FAIL,MojoFailureException,Other
37,61f0d506,Maven,FAIL,MojoFailureException,Other
38,330beb79,Maven,FAIL,MojoFailureException,Other
39,5f5a100d,Maven,FAIL,MojoFailureException,Other
40,96d91a5e,Maven,SUCCESS,,
41,d1ff671f,Maven,SUCCESS,,
42,dfc7505e,Maven,SUCCESS,,
43,76c86f4a,Maven,SUCCESS,,
