INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,fc7003ca,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
1,a4f7060f,NOT_FOUND,FAIL,No build system detected,-
2,2bb2e203,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
3,eac002d4,Gradle,FAIL,Could not find, Resolution
4,795de033,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
5,4dc11948,NOT_FOUND,FAIL,No build system detected,-
6,53939453,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
7,f2f3fcb1,Gradle,FAIL,Could not find, Resolution
8,7937cc79,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
9,cfb7b48c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
10,fa6ea738,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
11,e6e92c9d,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
12,336d91fe,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
13,b6fef97f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
14,002410dc,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
15,76ed462a,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
16,ee2e003c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
17,012bfb58,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
18,6dc501f4,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
19,bdf4309e,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
20,52517722,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
21,38e296a3,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
22,90116973,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
23,d767239c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
24,9bf31566,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
25,2722f1ff,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
26,416e5287,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
27,34335e24,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
28,64a83b55,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
29,b406e757,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
30,eb87827a,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
31,2011928c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
32,9d3f83f5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
33,af2e636f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
34,c757ba43,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
35,7de6ec85,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
36,450e5097,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
37,c5193c82,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
38,0863184a,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
39,582edbcf,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
40,ca329b54,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
41,1832c153,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
42,b4a0c4c6,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
43,ab7dfdb6,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
44,4ac445cf,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
45,a8a86bf5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
46,ffb108de,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
47,dc4171e1,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
48,b7b14ed2,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
49,d9123232,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
50,70001cb3,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
