INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,e047bf68,Maven,FAIL,ArtifactResolutionException,Resolution
1,daf5ed75,Maven,FAIL,ArtifactResolutionException,Resolution
2,c8a54466,Maven,FAIL,ArtifactResolutionException,Resolution
3,40821956,Maven,FAIL,ArtifactResolutionException,Resolution
4,3f7d85d7,Maven,FAIL,ArtifactResolutionException,Resolution
5,8de6b2a9,Maven,FAIL,ArtifactResolutionException,Resolution
6,fb97744d,Maven,FAIL,ArtifactResolutionException,Resolution
7,2c11eb1d,Maven,FAIL,ArtifactResolutionException,Resolution
8,2a733392,Maven,FAIL,ArtifactResolutionException,Resolution
9,252cf638,Maven,FAIL,ArtifactResolutionException,Resolution
10,2dec5dfd,Maven,FAIL,ArtifactResolutionException,Resolution
11,2c7c07ba,Maven,FAIL,ArtifactResolutionException,Resolution
12,a530af6e,Maven,FAIL,ArtifactResolutionException,Resolution
13,ab6942a6,Maven,FAIL,ArtifactResolutionException,Resolution
14,58486c5f,Maven,FAIL,ArtifactResolutionException,Resolution
15,9558d94b,Maven,FAIL,ArtifactResolutionException,Resolution
16,a89cf707,Maven,FAIL,ArtifactResolutionException,Resolution
17,7480d293,Maven,FAIL,ArtifactResolutionException,Resolution
18,b2e1fe93,Maven,FAIL,ArtifactResolutionException,Resolution
19,8ff73f8a,Maven,FAIL,ArtifactResolutionException,Resolution
20,badbac39,Maven,FAIL,ArtifactResolutionException,Resolution
21,9994edb1,Maven,FAIL,ArtifactResolutionException,Resolution
22,e9622784,Maven,FAIL,ArtifactResolutionException,Resolution
23,8c620ae8,Maven,FAIL,ArtifactResolutionException,Resolution
24,dae03cb1,Maven,FAIL,ArtifactResolutionException,Resolution
25,37ea37b8,Maven,FAIL,ArtifactResolutionException,Resolution
26,5baac7cc,Maven,FAIL,ArtifactResolutionException,Resolution
27,ad33d302,Maven,FAIL,ArtifactResolutionException,Resolution
28,9155e5f4,Maven,FAIL,ArtifactResolutionException,Resolution
29,a1e9d064,Maven,FAIL,ArtifactResolutionException,Resolution
30,58d2a2ec,Maven,FAIL,ArtifactResolutionException,Resolution
31,db794496,Maven,FAIL,ArtifactResolutionException,Resolution
32,58c9e5f0,Maven,FAIL,ArtifactResolutionException,Resolution
33,dc117fb9,Maven,FAIL,ArtifactResolutionException,Resolution
34,dccf2bec,Maven,FAIL,ArtifactResolutionException,Resolution
