INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,5fa78e18,NOT_FOUND,FAIL,No build system detected,-
1,247e9eb9,Ant,FAIL,Unable to find property file, Other
2,582262f4,Ant,FAIL,Unable to find property file, Other
3,ede214b8,Ant,FAIL,Unable to find property file, Other
4,415a08af,Ant,FAIL,Unable to find property file, Other
5,b2a018e4,Ant,FAIL,Unable to find property file, Other
6,497f6ddf,Ant,FAIL,Unable to find property file, Other
7,8566ceff,Ant,FAIL,Unable to find property file, Other
8,21ef3cab,Ant,FAIL,Unable to find property file, Other
9,a390a7c5,Ant,FAIL,Unable to find property file, Other
10,83d600bc,Ant,FAIL,Unable to find property file, Other
11,9dfec317,Ant,FAIL,Unable to find property file, Other
12,10826be9,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/hibernate-validator/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/hibernate-validator/build.xml with URI = file:/home/bugs/projects/hibernate-validator/build.xml\nProject base dir set to: /home/bugs/projects/hibernate-validator\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n [property] Loading /home/bugs/projects/hibernate-validator/build.properties\n [property] Unable to find property file: /home/bugs/projects/hibernate-validator/build.properties\n [property] Loading /root/.ant.properties\n [property] Unable to find property file: /root/.ant.properties\nImporting file /home/bugs/projects/hibernate-validator/common-build.xml from /home/bugs/projects/hibernate-validator/build.xml\nOverriding previous definition of reference to ant.projectHelper\nparsing buildfile /home/bugs/projects/hibernate-validator/common-build.xml with URI = file:/home/bugs/projects/hibernate-validator/common-build.xml\nAlready defined in main or a previous import, ignore init\nAlready defined in main or a previous import, ignore compile\nAlready defined in main or a previous import, ignore compiletest\nAlready defined in main or a previous import, ignore jar\nAlready defined in main or a previous import, ignore dist\nAlready defined in main or a previous import, ignore junitsingle\n [property] Loading /home/bugs/projects/hibernate-validator/build.properties\n [property] Unable to find property file: /home/bugs/projects/hibernate-validator/build.properties\n [property] Loading /root/.ant.properties\n [property] Unable to find property file: /root/.ant.properties\nOverride ignored for property ""javac.source""\nOverride ignored for property ""javac.target""\n\nBUILD FAILED\n/home/bugs/projects/hibernate-validator/build.xml:49: The following error occurred while executing this line:\n/home/bugs/projects/hibernate-validator/common-build.xml:72: /home/bugs/projects/hibernate-3.2/lib does not exist", Other
