INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,96f4f90,NOT_FOUND,FAIL,No build system detected,-
1,4111354,Maven,SUCCESS,,
2,e68ff64,Maven,SUCCESS,,
3,4f7aa68,Maven,SUCCESS,,
4,6a49b1e,Maven,SUCCESS,,
5,d0c20ce,Maven,SUCCESS,,
6,a7ffe05,Maven,SUCCESS,,
7,3a7a7c9,Maven,SUCCESS,,
8,f3e570a,Maven,SUCCESS,,
9,f10d5fc,Maven,SUCCESS,,
10,d3b5941,Maven,SUCCESS,,
11,89081fc,Maven,SUCCESS,,
12,94611c2,Maven,SUCCESS,,
13,798d5cf,Maven,SUCCESS,,
14,44f5c69,Maven,SUCCESS,,
15,4706cf1,Maven,SUCCESS,,
16,5396505,Maven,SUCCESS,,
17,0fa7611,Maven,SUCCESS,,
18,d5d6547,Maven,SUCCESS,,
19,b4f3fce,Maven,SUCCESS,,
20,3c54088,Maven,SUCCESS,,
21,d30c697,Maven,FAIL,MojoFailureException,Other
22,08d6200,Maven,SUCCESS,,
23,e464765,Maven,SUCCESS,,
24,2d57433,Maven,SUCCESS,,
25,9fee09b,Maven,SUCCESS,,
26,8545921,Maven,SUCCESS,,
27,af51e9d,Maven,SUCCESS,,
28,0e56f82,Maven,SUCCESS,,
29,396fe86,Maven,SUCCESS,,
30,0c02d33,Maven,SUCCESS,,
31,535d243,Maven,SUCCESS,,
32,8d6bef2,Maven,SUCCESS,,
33,88656e7,Maven,SUCCESS,,
34,28b0930,Maven,SUCCESS,,
35,9b45cf8,Maven,SUCCESS,,
36,c3b9ea7,Maven,SUCCESS,,
37,28b8c98,Maven,SUCCESS,,
38,c179655,Maven,SUCCESS,,
39,18f520d,Maven,SUCCESS,,
40,014afdd,Maven,SUCCESS,,
41,81949ab,Maven,SUCCESS,,
42,e6a1bf0,Maven,SUCCESS,,
43,6477d5a,Maven,SUCCESS,,
44,18a2d0a,Maven,SUCCESS,,
45,f372ba3,Maven,SUCCESS,,
46,397f6e6,Maven,SUCCESS,,
47,089a8f7,Maven,SUCCESS,,
48,09efeff,Maven,SUCCESS,,
49,668016e,Maven,SUCCESS,,
50,23ab106,Maven,SUCCESS,,
51,1d790e7,Maven,SUCCESS,,
52,3063a8b,Maven,SUCCESS,,
53,47dbf82,Maven,SUCCESS,,
54,b668320,Maven,SUCCESS,,
55,084e192,Maven,SUCCESS,,
56,52cce37,Maven,FAIL,MojoFailureException,Other
57,e5b2fbb,Maven,SUCCESS,,
58,37d0a0e,Maven,SUCCESS,,
59,89d00cf,Maven,SUCCESS,,
60,aab067d,Maven,SUCCESS,,
61,d01a723,Maven,SUCCESS,,
62,2000932,Maven,SUCCESS,,
63,912c76c,Maven,SUCCESS,,
64,980467a,Maven,SUCCESS,,
65,35c99cc,Maven,SUCCESS,,
66,0b773d3,Maven,SUCCESS,,
67,99238ac,Maven,SUCCESS,,
