INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,d7f0a4ed,NOT_FOUND,FAIL,No build system detected,-
1,0f520dfb,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
2,d01a280d,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
3,918e566c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
4,baa14e9d,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
5,d3c2496f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
6,79114520,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
7,478d186a,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
8,291b898c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
9,a968de0f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
10,326b1979,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
11,29840e03,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
12,772c664d,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
13,3bd11fa5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
14,1eb3555f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
15,045a643b,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
16,62a28c8e,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
17,a617a77d,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
18,d662b2c5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
19,cc318b13,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
20,3b84aec5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
21,0ee499c5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
22,ba1524dc,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
23,550659d3,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
24,76feab3f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
25,c4f21199,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
26,87794d25,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
27,96e3e887,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
28,e60b5992,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
29,4e7ef9f4,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
30,a55f4c59,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
31,484e07df,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
32,0e04dc72,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
33,2e40ca17,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
34,533883b5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
35,a6f61151,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
36,c7ed9857,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
37,b4d08bdc,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
38,56eac437,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
39,3fcbca94,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
40,c363bea5,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
41,4e284c4c,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
42,210c8e54,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
43,d5737ade,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
44,81ee9e6b,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
45,8eae4236,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
46,b3fa8dbe,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
47,dfe97b76,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
48,b0bcea95,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
49,59292a2b,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
50,26800fb7,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
51,cb6ff606,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
52,60615d01,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
53,35ee0a25,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
54,8da0ba82,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
55,e3a10391,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
56,69eb57cb,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
57,d6a468f0,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
58,5a40d960,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
59,3598a127,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
60,fb43d716,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
61,17c0fd21,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
62,bca90c1f,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
63,f51d6337,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
64,cbbb7335,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
65,ce7d6f01,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
66,7eb5defc,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
67,571b5590,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
68,36da79fe,Gradle,FAIL,IOException: Server returned HTTP response code,Resolution
