INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,7b2741cf,NOT_FOUND,FAIL,No build system detected,-
1,2d4decaf,NOT_FOUND,FAIL,No build system detected,-
2,c8994f77,NOT_FOUND,FAIL,No build system detected,-
3,5e5a850b,NOT_FOUND,FAIL,No build system detected,-
4,43e6f7bf,Maven,SUCCESS,,
5,9eef622a,Maven,SUCCESS,,
6,6f070b8d,Maven,SUCCESS,,
7,d3db3f06,Maven,SUCCESS,,
8,25d7620e,Maven,SUCCESS,,
9,1926cd51,Maven,FAIL,MojoFailureException,Other
10,d1ef188a,Maven,FAIL,MojoFailureException,Other
11,b4d9ca5e,Maven,FAIL,MojoFailureException,Other
12,c0cdbdc4,Maven,FAIL,MojoFailureException,Other
13,5202f0f5,Maven,FAIL,MojoFailureException,Other
14,40dc8d37,Maven,SUCCESS,,
15,84bd3aaa,Maven,SUCCESS,,
16,d8df5383,Maven,SUCCESS,,
17,1d51507b,Maven,SUCCESS,,
18,fdf19fc9,Maven,SUCCESS,,
19,fd80caf1,Maven,SUCCESS,,
20,61aaa0d7,Maven,SUCCESS,,
21,4810cc95,Maven,SUCCESS,,
22,d4aa913f,Maven,SUCCESS,,
23,abf46857,Maven,SUCCESS,,
24,ee9ca8c0,Maven,SUCCESS,,
25,11958176,Maven,SUCCESS,,
26,39427b2d,Maven,SUCCESS,,
27,5a25436a,Maven,SUCCESS,,
28,807e77f3,Maven,SUCCESS,,
29,c22c70d5,Maven,SUCCESS,,
30,218dc947,Maven,SUCCESS,,
31,0b7fe1a4,Maven,SUCCESS,,
32,ac4bbd74,Maven,SUCCESS,,
33,1607b182,Maven,SUCCESS,,
34,f558cc2e,Maven,SUCCESS,,
35,300b3a71,Maven,SUCCESS,,
36,51e2097e,Maven,SUCCESS,,
37,65943eac,Maven,SUCCESS,,
38,478dba00,Maven,SUCCESS,,
39,0f51a408,Maven,SUCCESS,,
40,a27c8a84,Maven,SUCCESS,,
41,63427d56,Maven,SUCCESS,,
42,486c1ef9,Maven,SUCCESS,,
43,aefcd6f8,Maven,SUCCESS,,
44,515c9965,Maven,SUCCESS,,
45,dab28cbc,Maven,SUCCESS,,
46,ffeecba5,Maven,SUCCESS,,
47,d810d8e1,Maven,SUCCESS,,
48,aa844d85,Maven,SUCCESS,,
49,d127e448,Maven,SUCCESS,,
50,b63dc70b,Maven,SUCCESS,,
51,bcc0b4ab,Maven,SUCCESS,,
52,79069b03,Maven,SUCCESS,,
53,ce3598c7,Maven,SUCCESS,,
54,603d9667,Maven,SUCCESS,,
55,b5d6dad9,Maven,SUCCESS,,
56,d313c09d,Maven,SUCCESS,,
57,1af2f524,Maven,SUCCESS,,
58,51852bd1,Maven,SUCCESS,,
59,67dda6ae,Maven,SUCCESS,,
60,1b56075c,Maven,SUCCESS,,
61,eb45e227,Maven,SUCCESS,,
62,e9a207ee,Maven,SUCCESS,,
63,cfc05114,Maven,SUCCESS,,
64,19c23383,Maven,SUCCESS,,
65,9d60e624,Maven,SUCCESS,,
66,48e7e8a5,Maven,SUCCESS,,
67,692a0528,Maven,SUCCESS,,
68,cb7739a2,Maven,SUCCESS,,
69,e8a3df63,Maven,SUCCESS,,
70,1c6734ab,Maven,SUCCESS,,
71,4171d16c,Maven,SUCCESS,,
72,2cab70d3,Maven,SUCCESS,,
73,092f1e7c,Maven,SUCCESS,,
74,94d9a404,Maven,SUCCESS,,
75,5e2f37e6,Maven,SUCCESS,,
76,f8d46bc4,Maven,SUCCESS,,
77,a965d968,Maven,SUCCESS,,
78,59995475,Maven,SUCCESS,,
79,0cd6424e,Maven,SUCCESS,,
80,458f4c9f,Maven,SUCCESS,,
81,16b1771d,Maven,SUCCESS,,
82,3f2c603c,Maven,FAIL,MojoFailureException,Other
83,17229be0,Maven,SUCCESS,,
84,ce0d8c40,Maven,SUCCESS,,
85,05b1694f,Maven,SUCCESS,,
86,60a66e31,Maven,SUCCESS,,
87,2cc5f8a6,Maven,SUCCESS,,
88,5382b2ac,Maven,SUCCESS,,
89,d0cbdd23,Maven,SUCCESS,,
90,e613050b,Maven,SUCCESS,,
91,ca074f01,Maven,SUCCESS,,
92,57450355,Maven,SUCCESS,,
93,9e3a653c,Maven,SUCCESS,,
94,8b28b905,Maven,SUCCESS,,
95,f55cca94,Maven,SUCCESS,,
96,70d5ae57,Maven,SUCCESS,,
97,b0ef9c5d,Maven,SUCCESS,,
98,1faaafba,Maven,SUCCESS,,
99,b90d9945,Maven,SUCCESS,,
100,2388d18a,Maven,SUCCESS,,
101,39dfab17,Maven,SUCCESS,,
102,65a855da,Maven,SUCCESS,,
103,d4a22a8d,Maven,SUCCESS,,
104,cce25be8,Maven,SUCCESS,,
105,15145235,Maven,SUCCESS,,
106,ab54d6c6,Maven,SUCCESS,,
107,f26df1d9,Maven,SUCCESS,,
108,5e12a40a,Maven,SUCCESS,,
109,16b88ae0,Maven,SUCCESS,,
110,1f5c1ee2,Maven,SUCCESS,,
111,8b5e9f09,Maven,SUCCESS,,
112,bd93cc55,Maven,SUCCESS,,
113,392da9cc,Maven,SUCCESS,,
114,91b30557,Maven,SUCCESS,,
115,8a45e539,Maven,SUCCESS,,
116,ab8df80e,Maven,SUCCESS,,
117,1484fd3c,Maven,SUCCESS,,
118,238cd762,Maven,SUCCESS,,
119,920cc1e1,Maven,SUCCESS,,
120,9d7c37fb,Maven,SUCCESS,,
121,505d0975,Maven,SUCCESS,,
122,e7bd9778,Maven,SUCCESS,,
123,4f9fe8a8,Maven,SUCCESS,,
124,6d973047,Maven,SUCCESS,,
125,8b55a166,Maven,SUCCESS,,
126,580b12fc,Maven,SUCCESS,,
127,ea7609d3,Maven,SUCCESS,,
128,a1e714ea,Maven,SUCCESS,,
129,cf8d7b14,Maven,SUCCESS,,
130,2051f049,Maven,SUCCESS,,
131,4e705e23,Maven,SUCCESS,,
132,dfde655b,Maven,SUCCESS,,
133,eabbe4a5,Maven,SUCCESS,,
134,05f74f86,Maven,SUCCESS,,
135,1fa38a83,Maven,SUCCESS,,
136,41809ea6,Maven,SUCCESS,,
137,25b930ae,Maven,SUCCESS,,
138,f8ed0d2d,Maven,SUCCESS,,
139,d4d1ace9,Maven,SUCCESS,,
140,a4eabd15,Maven,SUCCESS,,
141,7b4c7b73,Maven,SUCCESS,,
142,0ce106cd,Maven,SUCCESS,,
143,5427f532,Maven,SUCCESS,,
144,7cc86e68,Maven,SUCCESS,,
145,b623be25,Maven,SUCCESS,,
146,13430511,Maven,SUCCESS,,
147,dcee6ce8,Maven,SUCCESS,,
148,9f47e014,Maven,SUCCESS,,
149,54cb05b2,Maven,SUCCESS,,
150,0bf897c1,Maven,SUCCESS,,
151,30d1a191,Maven,SUCCESS,,
152,38828063,Maven,SUCCESS,,
153,614a666f,Maven,SUCCESS,,
154,c992b220,Maven,FAIL,Timeout,
155,7cb02747,Maven,SUCCESS,,
156,df6c84c0,Maven,SUCCESS,,
157,38323f5e,Maven,SUCCESS,,
158,9c8c77d2,Maven,SUCCESS,,
159,c96f96db,Maven,SUCCESS,,
160,de380dc6,Maven,SUCCESS,,
161,2af42182,Maven,SUCCESS,,
162,0fea94bc,Maven,SUCCESS,,
163,8615a909,Maven,SUCCESS,,
164,1fcc2b64,Maven,SUCCESS,,
165,28e1d753,Maven,SUCCESS,,
166,1c8ad7ee,Maven,SUCCESS,,
167,fda4b643,Maven,SUCCESS,,
168,e4ee33da,Maven,SUCCESS,,
169,26c753d4,Maven,SUCCESS,,
170,c69265e3,Maven,SUCCESS,,
171,15a23ae2,Maven,SUCCESS,,
172,9aa175e5,Maven,SUCCESS,,
173,a4f1d6ad,Maven,SUCCESS,,
174,a886a31e,Maven,SUCCESS,,
175,ee0f65f2,Maven,SUCCESS,,
176,f31ec289,Maven,SUCCESS,,
177,32f58039,Maven,SUCCESS,,
178,4476cc59,Maven,SUCCESS,,
179,c4a7b85e,Maven,SUCCESS,,
180,9dc5f1bd,Maven,SUCCESS,,
181,e7649060,Maven,SUCCESS,,
182,74773d4e,Maven,SUCCESS,,
183,f29e0528,Maven,SUCCESS,,
184,0fc37892,Maven,SUCCESS,,
185,7a693327,Maven,SUCCESS,,
186,34edf159,Maven,SUCCESS,,
187,cd1296db,Maven,SUCCESS,,
188,3e6e6200,Maven,SUCCESS,,
189,646793d1,Maven,SUCCESS,,
190,774f1520,Maven,SUCCESS,,
191,d41589cf,Maven,SUCCESS,,
192,62e6118b,Maven,SUCCESS,,
193,79ee1a26,Maven,SUCCESS,,
194,6aee7d38,Maven,SUCCESS,,
195,24660b33,Maven,SUCCESS,,
196,ad6f1b46,Maven,SUCCESS,,
197,4eb0569c,Maven,SUCCESS,,
198,44bcbceb,Maven,SUCCESS,,
199,c1d0f166,Maven,SUCCESS,,
200,7a697232,Maven,SUCCESS,,
201,f3cf77e4,Maven,SUCCESS,,
202,04a81d47,Maven,SUCCESS,,
203,4079fa3e,Maven,SUCCESS,,
204,d33c6f50,Maven,SUCCESS,,
205,6f6fe58d,Maven,SUCCESS,,
206,826e709b,Maven,SUCCESS,,
207,7085bf17,Maven,SUCCESS,,
208,81852169,Maven,SUCCESS,,
209,f3ac4a8c,Maven,SUCCESS,,
210,35c014cd,Maven,SUCCESS,,
211,215e13f7,Maven,SUCCESS,,
212,fb06fce3,Maven,SUCCESS,,
213,1d9f32bd,Maven,SUCCESS,,
214,20fcf887,Maven,SUCCESS,,
215,6270f6ff,Maven,SUCCESS,,
216,6fe0b4dd,Maven,SUCCESS,,
217,1615e517,Maven,SUCCESS,,
218,40edcf55,Maven,SUCCESS,,
219,ddb20717,Maven,SUCCESS,,
220,25d2b78f,Maven,SUCCESS,,
221,5d95180e,Maven,SUCCESS,,
222,bbc1a2a5,Maven,SUCCESS,,
