INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,5d7a033f,Maven,SUCCESS,,
1,f6fdb50f,Maven,SUCCESS,,
2,740a1bc9,Maven,SUCCESS,,
3,b30d75f6,Maven,SUCCESS,,
4,31ea5459,Maven,SUCCESS,,
5,6f1798ac,Maven,SUCCESS,,
6,0d287d11,Maven,SUCCESS,,
7,7e84c591,Maven,SUCCESS,,
8,2a9c86ec,Maven,SUCCESS,,
9,e42592c4,Maven,SUCCESS,,
10,c4524751,Maven,SUCCESS,,
11,78ab248c,Maven,SUCCESS,,
12,a1cf5676,Maven,SUCCESS,,
13,8a5966ed,Maven,SUCCESS,,
14,2e362517,Maven,SUCCESS,,
15,e935e9f9,Maven,SUCCESS,,
16,8b800497,Maven,SUCCESS,,
17,e67131c1,Maven,SUCCESS,,
18,d5f228bb,Maven,SUCCESS,,
19,739f482a,Maven,SUCCESS,,
20,52f137c6,Maven,SUCCESS,,
21,2b599010,Maven,SUCCESS,,
22,38bbb6c3,Maven,SUCCESS,,
23,607b8992,Maven,SUCCESS,,
24,5dcb0328,Maven,SUCCESS,,
25,3ef32e5b,Maven,SUCCESS,,
26,c21155ce,Maven,SUCCESS,,
27,288ee580,Maven,SUCCESS,,
28,691a6b94,Maven,SUCCESS,,
29,a17b365c,Maven,SUCCESS,,
30,84ec69f0,Maven,SUCCESS,,
31,d53768b5,Maven,SUCCESS,,
32,2c167d81,Maven,SUCCESS,,
33,5a7e0f72,Maven,SUCCESS,,
34,ed0da9b8,Maven,SUCCESS,,
35,bcdb5495,Maven,SUCCESS,,
36,b7721f97,Maven,SUCCESS,,
37,6c350658,Maven,SUCCESS,,
38,b04e4088,Maven,SUCCESS,,
39,7c1a0793,Maven,SUCCESS,,
40,06f78f6f,Maven,SUCCESS,,
41,474a0e67,Maven,SUCCESS,,
42,b59fd0c2,Maven,SUCCESS,,
43,a22e4bd6,Maven,SUCCESS,,
44,650d6476,Maven,SUCCESS,,
45,5e354001,Maven,SUCCESS,,
46,574b398c,Maven,SUCCESS,,
47,82eae995,Maven,SUCCESS,,
48,a97ee5f3,Maven,SUCCESS,,
49,1bce4236,Maven,SUCCESS,,
50,34b8ab63,Maven,SUCCESS,,
51,0a71022e,Maven,SUCCESS,,
52,2f178a60,Maven,SUCCESS,,
53,f96ed593,Maven,SUCCESS,,
54,2e0ad78d,Maven,SUCCESS,,
55,eaf00199,Maven,SUCCESS,,
56,86743545,Maven,SUCCESS,,
57,043542df,Maven,SUCCESS,,
58,034bbfee,Maven,SUCCESS,,
59,54b20ed5,Maven,SUCCESS,,
60,8c091ddc,Maven,SUCCESS,,
61,cf4c0f15,Maven,SUCCESS,,
62,6c8a5f4c,Maven,SUCCESS,,
63,55db5913,Maven,SUCCESS,,
64,aad8be9c,Maven,SUCCESS,,
65,e4338a7f,Maven,SUCCESS,,
66,2896214d,Maven,SUCCESS,,
67,8a256436,Maven,SUCCESS,,
68,62452653,Maven,SUCCESS,,
69,9e65804f,Maven,SUCCESS,,
70,d6095e8b,Maven,SUCCESS,,
71,3520086f,Maven,SUCCESS,,
72,77736702,Maven,SUCCESS,,
73,e4ce8e19,Maven,FAIL,MojoFailureException,Other
74,4fee8fc5,Maven,FAIL,MojoFailureException,Other
75,fdcbf6aa,Maven,FAIL,MojoFailureException,Other
76,3c04e6a8,Maven,FAIL,MojoFailureException,Other
77,0489783f,Maven,SUCCESS,,
78,472e899e,Maven,SUCCESS,,
79,8a36f503,Maven,SUCCESS,,
80,cf9af2d9,Maven,SUCCESS,,
81,82314789,Maven,SUCCESS,,
82,38b981a4,Maven,SUCCESS,,
83,3fd4a23a,Maven,SUCCESS,,
84,b0bbd691,Maven,SUCCESS,,
85,7a2df26a,Maven,SUCCESS,,
86,cc3616db,Maven,SUCCESS,,
87,b70a31b4,Maven,SUCCESS,,
88,3ad95af9,Maven,SUCCESS,,
89,c658c412,Maven,SUCCESS,,
90,c9d4cad1,Maven,SUCCESS,,
91,cedcaf1a,Maven,SUCCESS,,
92,a713551e,Maven,SUCCESS,,
93,58c80de1,Maven,SUCCESS,,
94,d0486709,Maven,SUCCESS,,
95,9f333aeb,Maven,SUCCESS,,
96,a1868885,Maven,SUCCESS,,
97,982993a7,Maven,SUCCESS,,
98,002f6ae7,Maven,SUCCESS,,
99,676283ad,Maven,SUCCESS,,
100,2a4d181b,Maven,SUCCESS,,
101,592066cf,Maven,SUCCESS,,
102,be9ed64e,Maven,SUCCESS,,
103,754da2e2,Maven,SUCCESS,,
104,49cd7330,Maven,SUCCESS,,
105,d7d05e99,Maven,SUCCESS,,
106,dc6c0973,Maven,SUCCESS,,
107,471bf5e1,Maven,SUCCESS,,
108,772c48d5,Maven,SUCCESS,,
109,8a346937,Maven,SUCCESS,,
110,bb33e2b9,Maven,SUCCESS,,
111,88abbdbc,Maven,SUCCESS,,
112,ab113592,Maven,SUCCESS,,
113,4a999902,Maven,SUCCESS,,
114,3eb908f6,Maven,SUCCESS,,
115,9e35747d,Maven,SUCCESS,,
116,86ce5665,Maven,SUCCESS,,
117,006fc531,Maven,SUCCESS,,
118,8e823dd2,Maven,SUCCESS,,
119,daa1b694,Maven,SUCCESS,,
120,55dfa58f,Maven,SUCCESS,,
121,5cdad209,Maven,SUCCESS,,
122,963561e7,Maven,SUCCESS,,
123,531dfe9f,Maven,SUCCESS,,
124,a546b0ae,Maven,SUCCESS,,
125,a5e2a7e8,Maven,SUCCESS,,
126,390ef414,Maven,SUCCESS,,
127,88f81d51,Maven,SUCCESS,,
128,b9bcfcec,Maven,SUCCESS,,
129,5c4656a1,Maven,SUCCESS,,
130,d7940bb8,Maven,SUCCESS,,
131,4febf47d,Maven,SUCCESS,,
132,3e7d1d17,Maven,SUCCESS,,
133,ad56c8f1,Maven,SUCCESS,,
134,c1d0c781,Maven,SUCCESS,,
135,6b9233c5,Maven,SUCCESS,,
136,6abfe907,Maven,SUCCESS,,
137,ce6b4e1e,Maven,SUCCESS,,
138,b84f546c,Maven,SUCCESS,,
139,6218bba3,Maven,SUCCESS,,
140,19445550,Maven,SUCCESS,,
141,fad3418f,Maven,SUCCESS,,
142,c9d684ad,Maven,SUCCESS,,
143,8dfa9ccb,Maven,SUCCESS,,
144,f3ddfd4a,Maven,SUCCESS,,
145,12bef22d,Maven,SUCCESS,,
146,1ee9a1e7,Maven,FAIL,MojoFailureException,Other
147,e5b35e84,Maven,SUCCESS,,
148,22b3fccb,Maven,SUCCESS,,
149,98b40874,Maven,SUCCESS,,
150,961c6b26,Maven,SUCCESS,,
151,27ace29a,Maven,SUCCESS,,
152,461b0d0b,Maven,SUCCESS,,
153,c6d9e62f,Maven,SUCCESS,,
154,410da290,Maven,SUCCESS,,
155,c6ec0f5a,Maven,SUCCESS,,
156,029180af,Maven,SUCCESS,,
157,04a02219,Maven,SUCCESS,,
158,f3840dca,Maven,SUCCESS,,
159,9e2ac126,Maven,SUCCESS,,
160,4a7a63cd,Maven,SUCCESS,,
161,c9899bd2,Maven,SUCCESS,,
162,67c7f2e5,Maven,SUCCESS,,
163,51060d39,Maven,SUCCESS,,
164,8a826bdc,Maven,SUCCESS,,
165,fdddc273,Maven,SUCCESS,,
166,dc375217,Maven,SUCCESS,,
167,b5a4e21c,Maven,SUCCESS,,
168,3aebbd48,Maven,SUCCESS,,
169,87529ba0,Maven,SUCCESS,,
170,bf3cea57,Maven,SUCCESS,,
171,8a9cb3c2,Maven,SUCCESS,,
172,f5ebe9c4,Maven,SUCCESS,,
173,3655dbc5,Maven,FAIL,MojoFailureException,Other
174,cd742b09,Maven,SUCCESS,,
175,314a9d77,Maven,SUCCESS,,
176,aef67c74,Maven,SUCCESS,,
177,ad53e664,Maven,FAIL,MojoFailureException,Other
178,fd386456,Maven,FAIL,MojoFailureException,Other
179,18345a50,Maven,FAIL,MojoFailureException,Other
180,82dbf2d8,Maven,FAIL,MojoFailureException,Other
181,489432bf,Maven,SUCCESS,,
182,5d0ca5f7,Maven,SUCCESS,,
183,639f8c20,Maven,SUCCESS,,
184,4c20837e,Maven,SUCCESS,,
185,8fdd945b,Maven,SUCCESS,,
186,725a0194,Maven,SUCCESS,,
187,49bd1d8f,Maven,SUCCESS,,
188,ad7110d1,Maven,SUCCESS,,
189,3ba89754,Maven,SUCCESS,,
190,0fab96c0,Maven,SUCCESS,,
191,ee8ec2c7,Maven,SUCCESS,,
192,ee4b3273,Maven,SUCCESS,,
193,9b1cdfe7,Maven,SUCCESS,,
194,56c69bfb,Maven,SUCCESS,,
195,9aefa4d9,Maven,SUCCESS,,
