INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,bf15d7fe,NOT_FOUND,FAIL,No build system detected,-
1,9b3631bb,NOT_FOUND,FAIL,No build system detected,-
2,b883df65,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
3,26f8d8a8,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
4,4e7121c8,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
5,94751735,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
6,9344d069,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
7,8ed4ea15,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
8,89dd16cb,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
9,1f2f0206,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/log4j/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/log4j/build.xml with URI = file:/home/bugs/projects/log4j/build.xml\nProject base dir set to: /home/bugs/projects/log4j\nBuild sequence for target(s) `compile' is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile]\nComplete build sequence is [init, compile.core, compile.swing, compile.unitTests, compile.xml, compile, log4j.jar, log4j-full.jar, jar, javadoc, clean, ]\n\ninit:\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n[available] Unable to load class org.apache.xerces.parsers.DOMParser to set property xerces-present\n[available] Unable to load class test.framework.TestCase to set property junit-present\n\ncompile.core:\n    [mkdir] Created dir: /home/bugs/projects/log4j/classes\nProperty ""classpath"" has not been set\n    [javac] /home/bugs/projects/log4j/build.xml:43: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds\n    [javac] No sources found.\n [copyfile] DEPRECATED - The copyfile task is deprecated.  Use copy instead.\n\nBUILD FAILED\n/home/bugs/projects/log4j/build.xml:45: src /home/bugs/projects/log4j/org/log4j/xml/log4j.dtd does not exist", Other
