INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,9da9334f,Maven,FAIL,ProjectBuildingException,Other
1,56875ea0,Maven,FAIL,ProjectBuildingException,Other
2,d72e566d,Maven,FAIL,ArtifactResolutionException,Resolution
3,3a4e89c1,Maven,FAIL,ArtifactResolutionException,Resolution
4,5f2f44be,Maven,FAIL,ArtifactResolutionException,Resolution
5,3d4406c0,Maven,FAIL,ArtifactResolutionException,Resolution
6,5a0b1f78,Maven,FAIL,ArtifactResolutionException,Resolution
7,f562722a,Maven,FAIL,ArtifactResolutionException,Resolution
8,11dc3bfb,Maven,FAIL,ArtifactResolutionException,Resolution
9,60c30dca,Maven,FAIL,ArtifactResolutionException,Resolution
10,853c331a,Maven,FAIL,ArtifactResolutionException,Resolution
11,6e28cb05,Maven,FAIL,ArtifactResolutionException,Resolution
12,40e72b42,Maven,FAIL,ArtifactResolutionException,Resolution
13,e5387cf6,Maven,FAIL,ArtifactResolutionException,Resolution
14,5351ccfb,Maven,FAIL,ArtifactResolutionException,Resolution
15,794d4dc3,Maven,FAIL,ArtifactResolutionException,Resolution
16,f94d4e9c,Maven,FAIL,ArtifactResolutionException,Resolution
17,7117290e,Maven,FAIL,ArtifactResolutionException,Resolution
18,a0644eed,Maven,FAIL,ArtifactResolutionException,Resolution
19,795bf59a,Maven,FAIL,ArtifactResolutionException,Resolution
20,36a0fb88,Maven,FAIL,ArtifactResolutionException,Resolution
21,6ca54a99,Maven,FAIL,ArtifactResolutionException,Resolution
22,d5a92d15,Maven,FAIL,ArtifactResolutionException,Resolution
23,88cad3cb,Maven,FAIL,ArtifactResolutionException,Resolution
24,97f22438,Maven,FAIL,ArtifactResolutionException,Resolution
25,ad4ab62b,Maven,FAIL,ArtifactResolutionException,Resolution
26,c99f7401,Maven,FAIL,ArtifactResolutionException,Resolution
27,0479c195,Maven,FAIL,ArtifactResolutionException,Resolution
