INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,aef2ab45,Maven,SUCCESS,,
1,f812cde8,Maven,SUCCESS,,
2,1bc79ea2,Maven,SUCCESS,,
3,0202a01c,Maven,SUCCESS,,
4,94c91ee5,Maven,SUCCESS,,
5,79637909,Maven,SUCCESS,,
6,53cc6614,Maven,SUCCESS,,
7,fbf8ab5e,Maven,SUCCESS,,
8,44c5860d,Maven,SUCCESS,,
9,aff7cd89,Maven,SUCCESS,,
10,1eab0288,Maven,SUCCESS,,
11,7acc333d,Maven,SUCCESS,,
12,2740da7c,Maven,SUCCESS,,
13,d5d92ae0,Maven,SUCCESS,,
14,e50a736c,Maven,SUCCESS,,
15,7c2934c1,Maven,SUCCESS,,
16,88b7cf3e,Maven,SUCCESS,,
17,b33bbf7d,Maven,SUCCESS,,
18,289e84d6,Maven,SUCCESS,,
19,19fcbac5,Maven,SUCCESS,,
20,58599fe3,Maven,SUCCESS,,
21,4710fb93,Maven,SUCCESS,,
22,5590fe91,Maven,SUCCESS,,
23,cb88eb0a,Maven,SUCCESS,,
24,80ab091c,Maven,SUCCESS,,
25,ee62e8bb,Maven,SUCCESS,,
26,0c8361e2,Maven,SUCCESS,,
27,df5b82be,Maven,SUCCESS,,
28,2d49a467,Maven,SUCCESS,,
29,b3519dec,Maven,SUCCESS,,
30,aa2616cc,Maven,SUCCESS,,
31,fdde3ff7,Maven,SUCCESS,,
32,1ad95d74,Maven,SUCCESS,,
33,c58e224b,Maven,SUCCESS,,
34,a1c07e91,Maven,SUCCESS,,
35,6f30a4a7,Maven,SUCCESS,,
36,e7e22321,Maven,SUCCESS,,
37,c7da1869,Maven,SUCCESS,,
38,5cd1d725,Maven,SUCCESS,,
39,f34a0182,Maven,SUCCESS,,
40,298c9eda,Maven,SUCCESS,,
41,d882e4f2,Maven,SUCCESS,,
42,0a594a27,Maven,SUCCESS,,
43,b2cc6c26,Maven,SUCCESS,,
44,ad805a1f,Maven,SUCCESS,,
45,24b4db3f,Maven,SUCCESS,,
46,0d5657b9,Maven,SUCCESS,,
47,e5def24c,Maven,SUCCESS,,
48,27827068,Maven,SUCCESS,,
49,31aa4687,Maven,SUCCESS,,
50,7de02097,Maven,SUCCESS,,
51,5e99787d,Maven,SUCCESS,,
52,93f76ce5,Maven,SUCCESS,,
53,12dd5a35,Maven,SUCCESS,,
54,af2bcd29,Maven,SUCCESS,,
55,c92d4f72,Maven,SUCCESS,,
56,5f14fdd3,Maven,SUCCESS,,
57,1b40d714,Maven,SUCCESS,,
58,807f69ea,Maven,SUCCESS,,
59,1163a0ea,Maven,SUCCESS,,
60,166363d4,Maven,SUCCESS,,
61,7e0ac912,Maven,SUCCESS,,
62,8e9b51a4,Maven,SUCCESS,,
63,866a7430,Maven,SUCCESS,,
64,82f4d193,Maven,SUCCESS,,
65,a421f949,Maven,SUCCESS,,
66,bd51f12f,Maven,SUCCESS,,
67,a2eed846,Maven,SUCCESS,,
68,4fe7536d,Maven,SUCCESS,,
69,a05905f6,Maven,SUCCESS,,
70,a7c73d2e,Maven,SUCCESS,,
71,2d6cfe9a,Maven,SUCCESS,,
