INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,42bee554,NOT_FOUND,FAIL,No build system detected,-
1,2845d0ee,Maven,FAIL,MojoFailureException,Other
2,59233806,Maven,FAIL,MojoFailureException,Other
3,9c3c4b1a,Maven,FAIL,MojoFailureException,Other
4,1a2b6d72,Maven,FAIL,MojoFailureException,Other
5,1f780ea0,Maven,FAIL,MojoFailureException,Other
6,0234ce03,Maven,FAIL,MojoFailureException,Other
7,c6d3f49d,Maven,FAIL,MojoFailureException,Other
8,a9ddfeef,Maven,FAIL,MojoFailureException,Other
9,6a1d5d58,Maven,FAIL,MojoFailureException,Other
10,a9f16b26,Maven,FAIL,MojoFailureException,Other
11,80027d2a,Maven,FAIL,MojoFailureException,Other
12,1afbe91e,Maven,FAIL,MojoFailureException,Other
13,e47ae4df,Maven,FAIL,MojoFailureException,Other
14,156ee4e8,Maven,FAIL,MojoFailureException,Other
15,9490de73,Maven,FAIL,MojoFailureException,Other
16,8a5a2bcb,Maven,FAIL,MojoFailureException,Other
17,951140e1,Maven,FAIL,MojoFailureException,Other
18,0a788a37,Maven,FAIL,MojoFailureException,Other
19,6ad77e2a,Maven,FAIL,MojoFailureException,Other
20,97d3f7de,Maven,FAIL,MojoFailureException,Other
21,96d2f55c,Maven,FAIL,MojoFailureException,Other
22,ecb16d01,Maven,FAIL,ArtifactResolutionException,Resolution
23,6e9e523d,Maven,FAIL,ArtifactResolutionException,Resolution
24,4869f753,Maven,FAIL,ArtifactResolutionException,Resolution
25,e686a4e3,Maven,FAIL,ArtifactResolutionException,Resolution
26,4ae69469,Maven,FAIL,ArtifactResolutionException,Resolution
27,4f621e9a,Maven,FAIL,ArtifactResolutionException,Resolution
28,1e5bab5f,Maven,FAIL,ArtifactResolutionException,Resolution
29,a54224b2,Maven,FAIL,ArtifactResolutionException,Resolution
30,84e4de1c,Maven,FAIL,ArtifactResolutionException,Resolution
31,86985ab1,Maven,FAIL,ArtifactResolutionException,Resolution
32,850fec99,Maven,FAIL,ArtifactResolutionException,Resolution
33,7c74650b,Maven,FAIL,ArtifactResolutionException,Resolution
34,81a749c7,Maven,FAIL,ArtifactResolutionException,Resolution
35,17d9b80c,Maven,FAIL,ArtifactResolutionException,Resolution
36,c9508029,Maven,FAIL,ArtifactResolutionException,Resolution
37,6a56fe03,Maven,FAIL,ArtifactResolutionException,Resolution
38,56a9a100,Maven,FAIL,ArtifactResolutionException,Resolution
39,b32fccb8,Maven,FAIL,ArtifactResolutionException,Resolution
40,456fb8c9,Maven,FAIL,ArtifactResolutionException,Resolution
41,87923fea,Maven,FAIL,ArtifactResolutionException,Resolution
42,fb83cc82,Maven,FAIL,ArtifactResolutionException,Resolution
43,d800c464,Maven,FAIL,ArtifactResolutionException,Resolution
44,f2d7ef1d,Maven,FAIL,ArtifactResolutionException,Resolution
45,004057ea,Maven,FAIL,ArtifactResolutionException,Resolution
46,4095d82e,Maven,FAIL,ArtifactResolutionException,Resolution
47,9f53ea4b,Maven,FAIL,ArtifactResolutionException,Resolution
48,79263eb5,Maven,FAIL,ArtifactResolutionException,Resolution
49,de11aae4,Maven,FAIL,ArtifactResolutionException,Resolution
50,4783d58e,Maven,FAIL,ArtifactResolutionException,Resolution
51,251f9ee0,Maven,FAIL,ArtifactResolutionException,Resolution
52,13dde6de,Maven,FAIL,ArtifactResolutionException,Resolution
