INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,7c309bca,NOT_FOUND,FAIL,No build system detected,-
1,936bf022,Maven,SUCCESS,,
2,729e5d71,Maven,SUCCESS,,
3,cb85d55e,Maven,SUCCESS,,
4,0a7bca71,Maven,SUCCESS,,
5,056776dd,Maven,SUCCESS,,
6,21725e6b,Maven,SUCCESS,,
7,f1572fe4,Maven,SUCCESS,,
8,e1b21699,Maven,SUCCESS,,
9,865f7c67,Maven,SUCCESS,,
10,d3a931db,Maven,SUCCESS,,
11,6f1ffd83,Maven,SUCCESS,,
12,385a85c8,Maven,SUCCESS,,
13,5cdd4094,Maven,SUCCESS,,
14,8e60491d,Maven,SUCCESS,,
15,416bd9be,Maven,SUCCESS,,
16,98c5ea2a,Maven,SUCCESS,,
17,48733f58,Maven,SUCCESS,,
18,64e08090,Maven,SUCCESS,,
19,7a6ca6aa,Maven,SUCCESS,,
20,089659a6,Maven,SUCCESS,,
21,2188f292,Maven,SUCCESS,,
22,d2611947,Maven,SUCCESS,,
23,059e50c9,Maven,SUCCESS,,
24,d6be10fd,Maven,SUCCESS,,
25,f9730ffb,Maven,SUCCESS,,
26,b1c81dcd,Maven,SUCCESS,,
27,77448601,Maven,SUCCESS,,
28,4c69da96,Maven,SUCCESS,,
29,85f70012,Maven,SUCCESS,,
30,2346b0fe,Maven,SUCCESS,,
31,5a6b3aeb,Maven,SUCCESS,,
32,4b9e5113,Maven,SUCCESS,,
33,ecf46ba6,Maven,SUCCESS,,
34,c9584a33,Maven,SUCCESS,,
35,b27098ad,Maven,SUCCESS,,
36,9907cb72,Maven,SUCCESS,,
37,5df69c3b,Maven,SUCCESS,,
38,faefffdd,Maven,SUCCESS,,
39,6984e90e,Maven,SUCCESS,,
40,5ce06ce7,Maven,SUCCESS,,
41,970405cb,Maven,SUCCESS,,
42,818345f1,Maven,SUCCESS,,
43,4d358dd6,Maven,SUCCESS,,
44,40df03ab,Maven,SUCCESS,,
45,817d07e6,Maven,SUCCESS,,
46,f783b2ea,Maven,SUCCESS,,
47,217efcb2,Maven,SUCCESS,,
48,bed2772a,Maven,SUCCESS,,
49,9d583066,Maven,SUCCESS,,
50,7df79514,Maven,SUCCESS,,
51,2da83090,Maven,SUCCESS,,
52,15b6434e,Maven,SUCCESS,,
53,2c61853e,Maven,SUCCESS,,
54,2d159602,Maven,SUCCESS,,
55,63af9c43,Maven,SUCCESS,,
56,8069ad29,Maven,SUCCESS,,
57,352c3a78,Maven,SUCCESS,,
58,ae5ab406,Maven,SUCCESS,,
59,16f9ed87,Maven,SUCCESS,,
60,268d011c,Maven,SUCCESS,,
61,401dfb0a,Maven,SUCCESS,,
62,0b1517fc,Maven,SUCCESS,,
63,d5a841ab,Maven,SUCCESS,,
64,7d725bf6,Maven,SUCCESS,,
65,8ed6e236,Maven,SUCCESS,,
