INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,6f080842,Maven,SUCCESS,,
1,9fa7f08a,Maven,SUCCESS,,
2,bd77d2e4,Maven,SUCCESS,,
3,73b9009a,Maven,SUCCESS,,
4,d429c741,Maven,SUCCESS,,
5,5297128c,Maven,SUCCESS,,
6,0b75e15b,Maven,SUCCESS,,
7,b648c9d0,Maven,SUCCESS,,
8,534d3fe1,Maven,SUCCESS,,
9,a0550d20,Maven,SUCCESS,,
10,2738af37,Maven,SUCCESS,,
11,bc28be8a,Maven,SUCCESS,,
12,e879531c,Maven,SUCCESS,,
13,5636f63b,Maven,SUCCESS,,
14,e7baf6e7,Maven,SUCCESS,,
15,58efeb14,Maven,SUCCESS,,
16,94497f7e,Maven,SUCCESS,,
17,2e9cbf98,Maven,SUCCESS,,
18,99242d24,Maven,SUCCESS,,
19,7ae9e9c8,Maven,FAIL,ProjectBuildingException,Other
20,7d9dd361,Maven,FAIL,ArtifactResolutionException,Resolution
21,fe9c3b9f,Maven,FAIL,ArtifactResolutionException,Resolution
22,d0b83b21,Maven,FAIL,ArtifactResolutionException,Resolution
23,d03ebc07,Maven,FAIL,ProjectBuildingException,Other
24,2ebd847f,Maven,FAIL,ProjectBuildingException,Other
25,5f98b7dd,Maven,FAIL,ProjectBuildingException,Other
26,1f07bd98,Maven,FAIL,ProjectBuildingException,Other
27,a7f48152,Maven,FAIL,ProjectBuildingException,Other
28,676f04e6,Maven,FAIL,ProjectBuildingException,Other
29,685138ca,Maven,FAIL,ProjectBuildingException,Other
30,43753810,Maven,FAIL,ProjectBuildingException,Other
31,90125346,Maven,FAIL,ProjectBuildingException,Other
32,7862ef1d,Maven,FAIL,ProjectBuildingException,Other
33,6490b2e6,Maven,SUCCESS,,
34,00c91705,Maven,SUCCESS,,
35,80cf6435,Maven,SUCCESS,,
36,6e789c1d,Maven,SUCCESS,,
37,fc97aaca,Maven,SUCCESS,,
38,410f90ae,Maven,SUCCESS,,
39,08ad9e52,Maven,SUCCESS,,
40,116d9abb,Maven,SUCCESS,,
41,bc9e2cc4,Maven,SUCCESS,,
42,c536eee7,Maven,SUCCESS,,
43,f06b0efe,Maven,SUCCESS,,
44,d54c3c8c,Maven,SUCCESS,,
45,391aea90,Maven,FAIL,MojoFailureException,Other
46,7e5a8014,Maven,FAIL,MojoFailureException,Other
47,01677f9c,Maven,FAIL,MojoFailureException,Other
48,06e5a1b5,Maven,SUCCESS,,
49,9cc9c7c4,Maven,SUCCESS,,
50,aae01966,Maven,SUCCESS,,
51,c162a52b,Maven,SUCCESS,,
52,f036f88d,Maven,SUCCESS,,
53,d02b72c3,Maven,SUCCESS,,
54,353a0e89,Maven,SUCCESS,,
55,ef745620,Maven,SUCCESS,,
56,8f048004,Maven,SUCCESS,,
57,0f438dbc,Maven,SUCCESS,,
58,e69b2e32,Maven,SUCCESS,,
59,aa4540b3,Maven,SUCCESS,,
60,0d7994f8,Maven,SUCCESS,,
61,49b66139,Maven,SUCCESS,,
62,d3c2948b,Maven,SUCCESS,,
63,040faa2d,Maven,SUCCESS,,
64,25e7141c,Maven,SUCCESS,,
65,7767fd2e,Maven,SUCCESS,,
66,3df33fb3,Maven,SUCCESS,,
67,edec6c07,Maven,SUCCESS,,
68,fffa0e27,Maven,SUCCESS,,
69,09b20a47,Maven,SUCCESS,,
70,95a8225e,Maven,SUCCESS,,
71,1b133732,Maven,SUCCESS,,
72,68877ba2,Maven,SUCCESS,,
73,77ba130d,Maven,SUCCESS,,
74,ca96c9e9,Maven,SUCCESS,,
75,c717f487,Maven,SUCCESS,,
76,b16ab05f,Maven,SUCCESS,,
77,97b1e820,Maven,SUCCESS,,
78,99384378,Maven,SUCCESS,,
79,281aaf0d,Maven,SUCCESS,,
80,2df9556e,Maven,SUCCESS,,
81,a131a1cc,Maven,SUCCESS,,
82,f3cc49d3,Maven,SUCCESS,,
83,cc8ba244,Maven,SUCCESS,,
84,f60e0e44,Maven,SUCCESS,,
85,2bf3d8ad,Maven,SUCCESS,,
86,ca009baa,Maven,SUCCESS,,
87,d1e50a9c,Maven,SUCCESS,,
88,eb323ade,Maven,SUCCESS,,
89,173c7c6a,Maven,SUCCESS,,
90,fe3d8360,Maven,SUCCESS,,
91,014fda7a,Maven,SUCCESS,,
92,909cb4e4,Maven,SUCCESS,,
93,81cfe722,Maven,SUCCESS,,
94,2a427003,Maven,SUCCESS,,
95,0af6d962,Maven,SUCCESS,,
96,97750123,Maven,SUCCESS,,
97,88413530,Maven,SUCCESS,,
98,dd137be2,Maven,SUCCESS,,
99,1a9f7842,Maven,SUCCESS,,
100,c59da824,Maven,SUCCESS,,
101,ed51e6fe,Maven,SUCCESS,,
102,69b1ea74,Maven,SUCCESS,,
103,54dbe9b5,Maven,SUCCESS,,
104,416dd2f8,Maven,SUCCESS,,
105,c7b7cd10,Maven,SUCCESS,,
106,3ea64b4a,Maven,SUCCESS,,
107,7e8ac421,Maven,FAIL,MojoFailureException,Other
108,ef30b4e1,Maven,FAIL,MojoFailureException,Other
109,0b66a0ef,Maven,FAIL,MojoFailureException,Other
110,39ef4fef,Maven,FAIL,MojoFailureException,Other
111,44f78bce,Maven,FAIL,MojoFailureException,Other
112,afb241f6,Maven,FAIL,MojoFailureException,Other
113,fab9da85,Maven,FAIL,MojoFailureException,Other
114,847b1c15,Maven,FAIL,MojoFailureException,Other
115,b638b28e,Maven,FAIL,MojoFailureException,Other
116,f479f796,Maven,FAIL,MojoFailureException,Other
117,0189f3d6,Maven,FAIL,MojoFailureException,Other
118,179fa9b9,Maven,FAIL,MojoFailureException,Other
119,c25c9054,Maven,FAIL,MojoFailureException,Other
120,5b3cf7b0,Maven,FAIL,MojoFailureException,Other
121,46e0f35d,Maven,FAIL,MojoFailureException,Other
122,fa278ed1,Maven,FAIL,MojoFailureException,Other
123,373dd3e1,Maven,FAIL,MojoFailureException,Other
124,5d1dc6bf,Maven,FAIL,MojoFailureException,Other
125,c3043085,Maven,FAIL,MojoFailureException,Other
126,a0475279,Maven,FAIL,MojoFailureException,Other
127,ed555df5,Maven,FAIL,MojoFailureException,Other
128,beee6ed7,Maven,FAIL,MojoFailureException,Other
129,eaa41ddd,Maven,FAIL,MojoFailureException,Other
130,a276893c,Maven,FAIL,MojoFailureException,Other
131,4155bfc3,Maven,FAIL,MojoFailureException,Other
132,4595abb5,Maven,FAIL,MojoFailureException,Other
133,87703975,Maven,FAIL,MojoFailureException,Other
134,79071ab0,Maven,FAIL,MojoFailureException,Other
135,85a453a3,Maven,FAIL,MojoFailureException,Other
136,9076eedf,Maven,SUCCESS,,
137,b3a25d05,Maven,SUCCESS,,
138,e66f4ba1,Maven,SUCCESS,,
139,55a2c433,Maven,SUCCESS,,
140,0ba76f31,Maven,SUCCESS,,
141,31643f15,Maven,SUCCESS,,
142,27dfc877,Maven,SUCCESS,,
143,416936c1,Maven,SUCCESS,,
144,63ee0267,Maven,SUCCESS,,
145,a9ed3dfa,Maven,SUCCESS,,
146,d9ad352c,Maven,SUCCESS,,
147,ece6ea61,Maven,FAIL,ProjectBuildingException,Other
148,0df6e35c,Maven,FAIL,ProjectBuildingException,Other
149,ff12158d,Maven,FAIL,ProjectBuildingException,Other
150,aa18d91d,Maven,FAIL,ProjectBuildingException,Other
151,5609dff5,Maven,FAIL,ProjectBuildingException,Other
152,c88759d0,Maven,FAIL,ProjectBuildingException,Other
153,797243ed,Maven,FAIL,ProjectBuildingException,Other
154,fe826bad,Maven,FAIL,ProjectBuildingException,Other
155,51c31a26,Maven,FAIL,ProjectBuildingException,Other
156,c8882680,Maven,FAIL,ProjectBuildingException,Other
157,b6564d08,Maven,FAIL,ProjectBuildingException,Other
158,a6590f87,Maven,FAIL,ProjectBuildingException,Other
159,a1c4e3c3,Maven,FAIL,ProjectBuildingException,Other
160,156f3950,Maven,FAIL,ProjectBuildingException,Other
161,ce13c799,Maven,FAIL,ProjectBuildingException,Other
162,b8e253db,Maven,FAIL,ProjectBuildingException,Other
163,681d6f01,Maven,FAIL,ProjectBuildingException,Other
164,2c3a5321,Maven,FAIL,ProjectBuildingException,Other
165,870648b0,Maven,FAIL,ProjectBuildingException,Other
166,8f30b8e5,Maven,FAIL,ProjectBuildingException,Other
167,6bf11bd2,Maven,FAIL,ProjectBuildingException,Other
168,62e6b824,Maven,FAIL,ProjectBuildingException,Other
169,666b0347,Maven,FAIL,ProjectBuildingException,Other
170,fba487c2,Maven,FAIL,ProjectBuildingException,Other
171,87caac89,Maven,FAIL,ProjectBuildingException,Other
172,715ec158,Maven,FAIL,ProjectBuildingException,Other
173,d0589e36,Maven,FAIL,ProjectBuildingException,Other
174,7d9edb4b,Maven,FAIL,ProjectBuildingException,Other
175,f4d31897,Maven,FAIL,ProjectBuildingException,Other
176,a13f445c,Maven,FAIL,ProjectBuildingException,Other
177,360d45b9,Maven,FAIL,ProjectBuildingException,Other
178,156cbf1b,Maven,FAIL,ProjectBuildingException,Other
179,25f9fa1e,Maven,FAIL,ProjectBuildingException,Other
180,5fc1369e,Maven,FAIL,ProjectBuildingException,Other
181,c679ddae,Maven,FAIL,ProjectBuildingException,Other
182,27ea0705,Maven,FAIL,ProjectBuildingException,Other
183,4660a174,Maven,FAIL,ProjectBuildingException,Other
184,5963e350,Maven,FAIL,ProjectBuildingException,Other
185,d1da0642,Maven,SUCCESS,,
186,99296917,Maven,SUCCESS,,
187,fac4d1ee,Maven,SUCCESS,,
188,e2925166,Maven,FAIL,MojoFailureException,Other
189,6c02a051,Maven,FAIL,MojoFailureException,Other
190,861a60ee,Maven,FAIL,MojoFailureException,Other
191,47abaa59,Maven,FAIL,MojoFailureException,Other
192,b6c34505,Maven,FAIL,MojoFailureException,Other
193,c2ab399b,Maven,FAIL,MojoFailureException,Other
194,81690740,Maven,FAIL,MojoFailureException,Other
195,804d3240,Maven,FAIL,MojoFailureException,Other
196,e51f7324,Maven,FAIL,MojoFailureException,Other
197,e3ca926a,Maven,FAIL,MojoFailureException,Other
198,5391192a,Maven,FAIL,MojoFailureException,Other
199,f3b9cc3a,Maven,FAIL,MojoFailureException,Other
200,13bc3228,Maven,FAIL,MojoFailureException,Other
201,07c24d02,Maven,FAIL,MojoFailureException,Other
202,e77708af,Maven,FAIL,MojoFailureException,Other
203,a0c1bfa4,Maven,FAIL,MojoFailureException,Other
204,c732e3d2,Maven,FAIL,MojoFailureException,Other
205,ef6f1bbb,Maven,FAIL,MojoFailureException,Other
206,cde3f837,Maven,FAIL,MojoFailureException,Other
207,11ab7fcc,Maven,FAIL,MojoFailureException,Other
208,48eaaaaf,Maven,FAIL,MojoFailureException,Other
209,51f32538,Maven,FAIL,MojoFailureException,Other
210,6289b489,Maven,FAIL,MojoFailureException,Other
211,e7e32dbe,Maven,FAIL,MojoFailureException,Other
212,ba4e6240,Maven,FAIL,MojoFailureException,Other
213,c5483a80,Maven,FAIL,MojoFailureException,Other
214,17d6c747,Maven,FAIL,MojoFailureException,Other
215,9df53386,Maven,FAIL,MojoFailureException,Other
216,0814fe7c,Maven,FAIL,MojoFailureException,Other
217,2349a8b8,Maven,FAIL,MojoFailureException,Other
218,56b06419,Maven,FAIL,MojoFailureException,Other
219,9c2f6238,Maven,FAIL,MojoFailureException,Other
220,1e4b18f8,Maven,FAIL,MojoFailureException,Other
221,9cf9ba71,Maven,FAIL,MojoFailureException,Other
222,f1435469,Maven,FAIL,MojoFailureException,Other
223,293e7b57,Maven,FAIL,MojoFailureException,Other
224,2dc6a115,Maven,FAIL,MojoFailureException,Other
225,5f163b99,Maven,FAIL,MojoFailureException,Other
226,68ebdc13,Maven,FAIL,MojoFailureException,Other
227,de79b6a7,Maven,FAIL,ModelParseException,Parsing
228,746e7a5e,Maven,FAIL,MojoFailureException,Other
229,95dcc5ee,Maven,FAIL,MojoFailureException,Other
230,c6703e79,Maven,FAIL,MojoFailureException,Other
231,485f604b,Maven,FAIL,MojoFailureException,Other
232,e90230c3,Maven,FAIL,MojoFailureException,Other
233,b84b1225,Maven,FAIL,MojoFailureException,Other
234,a0cbd0a8,Maven,FAIL,MojoFailureException,Other
235,3c30ed34,Maven,FAIL,MojoFailureException,Other
236,d37cb1cb,Maven,FAIL,MojoFailureException,Other
237,7ad4309a,Maven,FAIL,MojoFailureException,Other
238,0cf91deb,Maven,FAIL,MojoFailureException,Other
239,00e3416e,Maven,FAIL,ProjectBuildingException,Other
240,9e08cb35,Maven,FAIL,ProjectBuildingException,Other
241,ace23292,Maven,FAIL,MojoFailureException,Other
242,5914ccea,Maven,FAIL,MojoFailureException,Other
243,398a1b92,Maven,FAIL,MojoFailureException,Other
244,66fd2bf9,Maven,FAIL,MojoFailureException,Other
245,f24efbb8,Maven,FAIL,MojoFailureException,Other
246,de125920,Maven,FAIL,MojoFailureException,Other
247,ab0868ac,Maven,FAIL,MojoFailureException,Other
248,3626d45f,Maven,FAIL,MojoFailureException,Other
249,f10a63ef,Maven,FAIL,MojoFailureException,Other
250,e8854183,Maven,FAIL,MojoFailureException,Other
251,96e43c6a,Maven,FAIL,MojoFailureException,Other
252,2b73548c,Maven,FAIL,MojoFailureException,Other
253,aebf9a59,Maven,FAIL,MojoFailureException,Other
254,c854348d,Maven,FAIL,MojoFailureException,Other
255,549acd40,Maven,FAIL,MojoFailureException,Other
256,ac8ca8d9,Maven,FAIL,MojoFailureException,Other
257,f7867f2d,Maven,FAIL,MojoFailureException,Other
258,de24171e,Maven,FAIL,MojoFailureException,Other
259,d6a4f0f0,Maven,FAIL,MojoFailureException,Other
260,cae04c05,Maven,FAIL,MojoFailureException,Other
261,6b0bdace,Maven,FAIL,MojoFailureException,Other
262,66de88c9,Maven,FAIL,MojoFailureException,Other
263,94ac8f9a,Maven,FAIL,MojoFailureException,Other
264,063f0238,Maven,FAIL,MojoFailureException,Other
265,c981a61d,Maven,FAIL,MojoFailureException,Other
266,14b13a9d,Maven,FAIL,MojoFailureException,Other
267,a54e83bb,Maven,FAIL,MojoFailureException,Other
268,b69d4bde,Maven,FAIL,MojoFailureException,Other
269,2b65320a,Maven,FAIL,MojoFailureException,Other
270,04079aaa,Maven,FAIL,MojoFailureException,Other
271,c226b7a0,Maven,FAIL,MojoFailureException,Other
272,75220906,Maven,FAIL,MojoFailureException,Other
273,83b1e40a,Maven,FAIL,MojoFailureException,Other
274,a19ce052,Maven,FAIL,MojoFailureException,Other
275,a3ffc34f,Maven,FAIL,MojoFailureException,Other
276,271eccce,Maven,FAIL,MojoFailureException,Other
277,6cab6993,Maven,FAIL,MojoFailureException,Other
278,866d28eb,Maven,FAIL,MojoFailureException,Other
279,33b1ec55,Maven,FAIL,MojoFailureException,Other
280,610e63bb,Maven,FAIL,ArtifactResolutionException,Resolution
281,ee756bf8,Maven,FAIL,ArtifactResolutionException,Resolution
282,c59aa4bb,Maven,FAIL,ArtifactResolutionException,Resolution
283,e486531f,Maven,FAIL,ArtifactResolutionException,Resolution
284,e47a1631,Maven,FAIL,ArtifactResolutionException,Resolution
285,d4ae153f,Maven,FAIL,ArtifactResolutionException,Resolution
286,9f3d81ae,Maven,FAIL,ArtifactResolutionException,Resolution
287,b4c7dbb5,Maven,FAIL,ArtifactResolutionException,Resolution
288,3359930c,Maven,FAIL,ArtifactResolutionException,Resolution
289,c8f96eea,Maven,FAIL,ArtifactResolutionException,Resolution
290,41a47e8a,Maven,FAIL,ArtifactResolutionException,Resolution
291,c880c98f,Maven,FAIL,ArtifactResolutionException,Resolution
292,2d8b6a8a,Maven,FAIL,ArtifactResolutionException,Resolution
293,2dffba6e,Maven,FAIL,ArtifactResolutionException,Resolution
294,99deb1e5,Maven,FAIL,ArtifactResolutionException,Resolution
295,3187296d,Maven,FAIL,ArtifactResolutionException,Resolution
296,950f0d51,Maven,FAIL,ArtifactResolutionException,Resolution
297,d9b9f253,Maven,FAIL,ArtifactResolutionException,Resolution
298,593722ef,Maven,FAIL,ArtifactResolutionException,Resolution
299,a4376472,Maven,FAIL,ArtifactResolutionException,Resolution
300,5118c4ed,Maven,FAIL,ArtifactResolutionException,Resolution
301,2a6dd2a5,Maven,FAIL,ArtifactResolutionException,Resolution
