INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,b03c6214,NOT_FOUND,FAIL,No build system detected,-
1,6bbda624,NOT_FOUND,FAIL,No build system detected,-
2,5b168781,NOT_FOUND,FAIL,No build system detected,-
3,47e3eaa4,NOT_FOUND,FAIL,No build system detected,-
4,74133c9e,NOT_FOUND,FAIL,No build system detected,-
5,72259258,NOT_FOUND,FAIL,No build system detected,-
6,b4179725,NOT_FOUND,FAIL,No build system detected,-
7,69402cef,NOT_FOUND,FAIL,No build system detected,-
8,f49fd93b,NOT_FOUND,FAIL,No build system detected,-
9,068c1c04,NOT_FOUND,FAIL,No build system detected,-
10,b0dec53d,NOT_FOUND,FAIL,No build system detected,-
11,02a51864,NOT_FOUND,FAIL,No build system detected,-
12,658a8067,NOT_FOUND,FAIL,No build system detected,-
13,c8712292,NOT_FOUND,FAIL,No build system detected,-
14,76bd86c7,NOT_FOUND,FAIL,No build system detected,-
15,4a9deeb6,NOT_FOUND,FAIL,No build system detected,-
16,1ded04d7,NOT_FOUND,FAIL,No build system detected,-
17,b5c91899,NOT_FOUND,FAIL,No build system detected,-
18,7bbb1ca7,Maven,SUCCESS,,
19,91559a87,Maven,SUCCESS,,
20,da93debd,Maven,SUCCESS,,
21,9460546b,Maven,SUCCESS,,
22,2aeea2a9,Maven,SUCCESS,,
23,d1ed947f,Maven,SUCCESS,,
24,d4bb348d,Maven,SUCCESS,,
25,41e3ee1e,Maven,SUCCESS,,
26,8db73625,Maven,FAIL,MojoFailureException,Other
27,fd672030,Maven,FAIL,MojoFailureException,Other
28,aa13a5d0,Maven,FAIL,MojoFailureException,Other
29,cd8b9311,Maven,FAIL,MojoFailureException,Other
30,c7285fe9,Maven,FAIL,MojoFailureException,Other
31,242e44fb,Maven,FAIL,MojoFailureException,Other
32,6e12e964,Maven,FAIL,MojoFailureException,Other
33,65b155d6,Maven,FAIL,MojoFailureException,Other
34,93c55755,Maven,FAIL,MojoFailureException,Other
35,2b66f6d7,Maven,FAIL,MojoFailureException,Other
36,cc81b893,Maven,FAIL,MojoFailureException,Other
37,ea658c71,Maven,FAIL,MojoFailureException,Other
38,58d91aab,Maven,FAIL,MojoFailureException,Other
39,17aaff1a,Maven,FAIL,MojoFailureException,Other
40,0d153a78,Maven,FAIL,MojoFailureException,Other
41,6f4d1728,Maven,FAIL,MojoFailureException,Other
42,de11c080,Maven,FAIL,MojoFailureException,Other
43,035fa3ab,Maven,FAIL,MojoFailureException,Other
44,7cc1ceae,Maven,FAIL,MojoFailureException,Other
45,041aa4f9,Maven,FAIL,MojoFailureException,Other
46,ce52cdc2,Maven,FAIL,MojoFailureException,Other
47,c2b87d07,Maven,FAIL,MojoFailureException,Other
48,cedeaf03,Maven,FAIL,MojoFailureException,Other
49,33bc293a,Maven,FAIL,MojoFailureException,Other
50,54642825,Maven,FAIL,MojoFailureException,Other
51,b65a6d81,Maven,FAIL,MojoFailureException,Other
52,4e8c2ab1,Maven,FAIL,MojoFailureException,Other
53,6aee65d4,Maven,FAIL,MojoFailureException,Other
54,ea591ae3,Maven,FAIL,MojoFailureException,Other
55,e8eb14fc,Maven,FAIL,MojoFailureException,Other
56,274f391f,Maven,FAIL,MojoFailureException,Other
57,e6319197,Maven,FAIL,MojoFailureException,Other
58,06826e34,Maven,FAIL,MojoFailureException,Other
59,9fb60e79,Maven,FAIL,MojoFailureException,Other
60,74290716,Maven,FAIL,MojoFailureException,Other
61,87c23d73,Maven,FAIL,MojoFailureException,Other
62,caba6e50,Maven,FAIL,MojoFailureException,Other
63,ba055124,Maven,FAIL,MojoFailureException,Other
64,b276d93d,Maven,FAIL,MojoFailureException,Other
65,0d1b3423,Maven,FAIL,MojoFailureException,Other
66,5f9461eb,Maven,FAIL,MojoFailureException,Other
67,7be00374,Maven,FAIL,MojoFailureException,Other
68,409c1a70,Maven,FAIL,MojoFailureException,Other
69,a1c56d7b,Maven,FAIL,MojoFailureException,Other
70,e134cf80,Maven,FAIL,MojoFailureException,Other
71,680520cc,Maven,FAIL,MojoFailureException,Other
72,f82154f6,Maven,FAIL,MojoFailureException,Other
73,9aa40394,Maven,FAIL,MojoFailureException,Other
74,40911986,Maven,FAIL,MojoFailureException,Other
75,de6228a4,Maven,FAIL,MojoFailureException,Other
76,6860057f,Maven,FAIL,MojoFailureException,Other
77,cfd2339c,Maven,FAIL,MojoFailureException,Other
78,bf25c0d9,Maven,FAIL,MojoFailureException,Other
79,f6166d57,Maven,FAIL,MojoFailureException,Other
80,124cb4d9,Maven,FAIL,MojoFailureException,Other
81,651b7c7d,Maven,FAIL,MojoFailureException,Other
82,3f9c05b9,Maven,FAIL,MojoFailureException,Other
83,de41d438,Maven,FAIL,MojoFailureException,Other
84,7b8885d5,Maven,FAIL,MojoFailureException,Other
85,6936de77,Maven,FAIL,MojoFailureException,Other
86,adffbe94,Maven,FAIL,MojoFailureException,Other
87,fbea1a24,Maven,FAIL,MojoFailureException,Other
88,75ea3b26,Maven,FAIL,MojoFailureException,Other
89,593ea6a7,Maven,FAIL,MojoFailureException,Other
90,4219aabc,Maven,FAIL,MojoFailureException,Other
91,a3014a46,Maven,FAIL,MojoFailureException,Other
92,21a73f5f,Maven,FAIL,MojoFailureException,Other
93,33dad7f1,Maven,FAIL,MojoFailureException,Other
94,990de446,Maven,FAIL,MojoFailureException,Other
95,091c4d34,Maven,FAIL,MojoFailureException,Other
96,15b71ea0,Maven,FAIL,MojoFailureException,Other
97,52299646,Maven,FAIL,MojoFailureException,Other
98,075b2672,Maven,FAIL,MojoFailureException,Other
99,997decbc,Maven,FAIL,MojoFailureException,Other
100,717a8d87,Maven,FAIL,MojoFailureException,Other
101,4a637904,Maven,FAIL,MojoFailureException,Other
102,ab20074a,Maven,FAIL,MojoFailureException,Other
103,4ee1f027,Maven,FAIL,MojoFailureException,Other
104,0a5e72d5,Maven,FAIL,MojoFailureException,Other
105,db68da2d,Maven,FAIL,MojoFailureException,Other
106,d1acef73,Maven,FAIL,MojoFailureException,Other
107,25646f19,Maven,FAIL,MojoFailureException,Other
108,2f1c517a,Maven,FAIL,MojoFailureException,Other
109,a228c558,Maven,FAIL,MojoFailureException,Other
110,106a78a4,Maven,FAIL,MojoFailureException,Other
111,1c3daf40,Maven,FAIL,MojoFailureException,Other
112,f4e04aa1,Maven,FAIL,MojoFailureException,Other
113,a9abd794,Maven,FAIL,MojoFailureException,Other
114,4b8ae0b7,Maven,FAIL,MojoFailureException,Other
115,8f2ddba7,Maven,FAIL,MojoFailureException,Other
116,66e7d0b9,Maven,FAIL,MojoFailureException,Other
117,a0ace996,Maven,FAIL,MojoFailureException,Other
118,59435757,Maven,FAIL,MojoFailureException,Other
119,97e7676f,Maven,FAIL,MojoFailureException,Other
120,fba4bd63,Maven,FAIL,MojoFailureException,Other
121,c921037d,Maven,FAIL,MojoFailureException,Other
122,9a5515e2,Maven,FAIL,MojoFailureException,Other
123,a529673b,Maven,FAIL,MojoFailureException,Other
124,1f4c885f,Maven,FAIL,MojoFailureException,Other
125,8c8750fe,Maven,FAIL,MojoFailureException,Other
126,a1026939,Maven,FAIL,MojoFailureException,Other
127,7d88e2ca,Maven,FAIL,MojoFailureException,Other
128,2afa2d7f,Maven,FAIL,MojoFailureException,Other
129,7b2663aa,Maven,FAIL,MojoFailureException,Other
130,d1315c0e,Maven,FAIL,MojoFailureException,Other
131,bf4b8228,Maven,FAIL,MojoFailureException,Other
132,c6a8f467,Maven,FAIL,MojoFailureException,Other
133,4cbc5d5d,Maven,FAIL,MojoFailureException,Other
134,9236a8ce,Maven,FAIL,MojoFailureException,Other
135,800bde8f,Maven,FAIL,MojoFailureException,Other
136,81dc88f6,Maven,FAIL,MojoFailureException,Other
137,2f2fd541,Maven,FAIL,MojoFailureException,Other
138,ea07acb7,Maven,FAIL,MojoFailureException,Other
139,656c09c4,Maven,FAIL,MojoFailureException,Other
140,8d29f71e,Maven,FAIL,MojoFailureException,Other
141,6ec025f0,Maven,FAIL,MojoFailureException,Other
142,212f5f3c,Maven,FAIL,MojoFailureException,Other
143,32b1c6ae,Maven,FAIL,MojoFailureException,Other
144,b4963a26,Maven,FAIL,MojoFailureException,Other
145,2926c572,Maven,FAIL,MojoFailureException,Other
146,a12ae212,Maven,FAIL,MojoFailureException,Other
147,4f04cca4,Maven,FAIL,MojoFailureException,Other
148,cc01bbe1,Maven,FAIL,MojoFailureException,Other
149,3069e40f,Maven,FAIL,MojoFailureException,Other
150,ccc0abf0,Maven,FAIL,MojoFailureException,Other
151,01fb8a54,Maven,FAIL,MojoFailureException,Other
152,dca71d9e,Maven,FAIL,MojoFailureException,Other
153,0748b268,Maven,FAIL,MojoFailureException,Other
154,b33f4411,Maven,FAIL,MojoFailureException,Other
155,643bc087,Maven,FAIL,MojoFailureException,Other
156,3c850278,Maven,FAIL,MojoFailureException,Other
157,a42d0f13,Maven,FAIL,MojoFailureException,Other
158,12536901,Maven,FAIL,MojoFailureException,Other
159,4948939e,Maven,FAIL,MojoFailureException,Other
160,24c3e963,Maven,FAIL,MojoFailureException,Other
161,9e23fb09,Maven,FAIL,MojoFailureException,Other
162,6e56d01d,Maven,FAIL,MojoFailureException,Other
163,6a2ee846,Maven,FAIL,MojoFailureException,Other
164,7570cf15,Maven,FAIL,MojoFailureException,Other
165,a48029be,Maven,FAIL,MojoFailureException,Other
166,e4cbe944,Maven,FAIL,MojoFailureException,Other
167,cf158dbe,Maven,FAIL,MojoFailureException,Other
168,21459900,Maven,FAIL,MojoFailureException,Other
169,3e829792,Maven,FAIL,MojoFailureException,Other
170,84959843,Maven,FAIL,MojoFailureException,Other
171,b7411f79,Maven,FAIL,MojoFailureException,Other
172,8cdaf80e,Maven,FAIL,MojoFailureException,Other
173,10eadd3a,Maven,FAIL,MojoFailureException,Other
174,1e3ea1e5,Maven,FAIL,MojoFailureException,Other
175,8fa53773,Maven,FAIL,MojoFailureException,Other
176,0dfce9df,Maven,FAIL,MojoFailureException,Other
177,f9c3b887,Maven,FAIL,MojoFailureException,Other
178,f94a3a6c,Maven,FAIL,MojoFailureException,Other
179,c6eaf27c,Maven,FAIL,MojoFailureException,Other
180,e2b984a4,Maven,FAIL,MojoFailureException,Other
181,d1f7bbf8,Maven,FAIL,MojoFailureException,Other
182,22e756bc,Maven,FAIL,MojoFailureException,Other
183,16987d47,Maven,FAIL,MojoFailureException,Other
184,034ac827,Maven,FAIL,MojoFailureException,Other
185,6181e63c,Maven,FAIL,MojoFailureException,Other
186,e94190c5,Maven,FAIL,MojoFailureException,Other
187,2109b97e,Maven,FAIL,MojoFailureException,Other
188,0b086eac,Maven,FAIL,MojoFailureException,Other
189,7a04b992,Maven,FAIL,MojoFailureException,Other
190,2d24caf4,Maven,FAIL,MojoFailureException,Other
191,0deaa3e9,Maven,FAIL,MojoFailureException,Other
192,b214c3e5,Maven,FAIL,MojoFailureException,Other
193,59ded047,Maven,FAIL,MojoFailureException,Other
194,e591ff7b,Maven,FAIL,MojoFailureException,Other
195,74518536,Maven,FAIL,MojoFailureException,Other
196,7df81cde,Maven,FAIL,MojoFailureException,Other
197,b34e860e,Maven,FAIL,MojoFailureException,Other
198,3d1a2739,Maven,FAIL,MojoFailureException,Other
199,11b1d9e1,Maven,FAIL,MojoFailureException,Other
200,3033a3df,Maven,FAIL,MojoFailureException,Other
