INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,9f4a1fcd,NOT_FOUND,FAIL,No build system detected,-
1,6529c9ba,NOT_FOUND,FAIL,No build system detected,-
2,9284a5d5,NOT_FOUND,FAIL,No build system detected,-
3,11101703,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/simple-binary-encoding/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/simple-binary-encoding/build.xml with URI = file:/home/bugs/projects/simple-binary-encoding/build.xml\nProject base dir set to: /home/bugs/projects/simple-binary-encoding\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n [property] Loading /home/bugs/projects/simple-binary-encoding/build.properties\nProperty ""CLASSPATH"" has not been set\nBuild sequence for target(s) `compile' is [init, compile]\nComplete build sequence is [init, compile, clean, dist, test, all, ]\n\ninit:\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/main/java/classes\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/test/java/classes\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/dist\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/reports\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/reports/unit\n\ncompile:\n\nBUILD FAILED\n/home/bugs/projects/simple-binary-encoding/build.xml:45: srcdir ""/home/bugs/projects/simple-binary-encoding/main/java"" does not exist", Other
4,c5fc78fd,Ant,FAIL,"b'Apache Ant(TM) version 1.10.11 compiled on July 10 2021\nBuildfile: /home/bugs/projects/simple-binary-encoding/build.xml\nDetected Java version: 1.8 in: /usr/local/openjdk-8/jre\nDetected OS: Linux\nparsing buildfile /home/bugs/projects/simple-binary-encoding/build.xml with URI = file:/home/bugs/projects/simple-binary-encoding/build.xml\nProject base dir set to: /home/bugs/projects/simple-binary-encoding\nparsing buildfile jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml with URI = jar:file:/etc/ant-1.10.11/lib/ant.jar!/org/apache/tools/ant/antlib.xml from a zip file\n [property] Loading /home/bugs/projects/simple-binary-encoding/build.properties\nProperty ""CLASSPATH"" has not been set\nBuild sequence for target(s) `compile' is [init, compile]\nComplete build sequence is [init, compile, clean, dist, test, all, ]\n\ninit:\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/main/java/classes\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/test/java/classes\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/dist\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/reports\n    [mkdir] Created dir: /home/bugs/projects/simple-binary-encoding/target/reports/unit\n\ncompile:\n\nBUILD FAILED\n/home/bugs/projects/simple-binary-encoding/build.xml:45: srcdir ""/home/bugs/projects/simple-binary-encoding/main/java"" does not exist", Other
5,7e35d869,Ant,SUCCESS,,
6,a8bfa3c2,Ant,SUCCESS,,
7,e146f59e,Ant,SUCCESS,,
8,7e36e271,Ant,FAIL,Compile failed,Compilation
9,babdd60c,Ant,FAIL,Compile failed,Compilation
