INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,06a26914,NOT_FOUND,FAIL,No build system detected,-
1,f10d1a35,Maven,FAIL,MojoExecutionException,Other
2,d367a0d0,Maven,FAIL,MojoExecutionException,Other
3,487deca1,Maven,FAIL,MojoExecutionException,Other
4,82884f44,Maven,FAIL,MojoExecutionException,Other
5,b759a665,Maven,FAIL,MojoExecutionException,Other
6,e170edc5,Maven,FAIL,MojoExecutionException,Other
7,8e019f3a,Maven,FAIL,MojoExecutionException,Other
8,becf535a,Maven,FAIL,MojoExecutionException,Other
9,bf29ac12,Maven,FAIL,MojoExecutionException,Other
10,e933da35,Maven,FAIL,MojoExecutionException,Other
11,3b5ada2a,Maven,FAIL,MojoExecutionException,Other
12,2b66dd23,Maven,FAIL,MojoExecutionException,Other
13,32a79f0f,Maven,FAIL,MojoExecutionException,Other
14,9e7550f0,Maven,FAIL,MojoExecutionException,Other
15,a0c2e964,Maven,FAIL,MojoExecutionException,Other
16,e0f6ab76,Maven,FAIL,MojoExecutionException,Other
17,3f8ceb60,Maven,FAIL,MojoExecutionException,Other
18,ee5ca54d,Maven,FAIL,MojoExecutionException,Other
19,eb4e4cd8,Maven,FAIL,MojoExecutionException,Other
20,092ca420,Maven,FAIL,MojoExecutionException,Other
21,68d72351,Maven,FAIL,MojoExecutionException,Other
22,7a0895de,Maven,FAIL,MojoExecutionException,Other
23,7c63c048,Maven,FAIL,MojoExecutionException,Other
24,f61f3789,Maven,FAIL,MojoExecutionException,Other
25,eb4521d6,Maven,FAIL,MojoExecutionException,Other
26,a999b912,Maven,FAIL,MojoExecutionException,Other
27,28f2923f,Maven,FAIL,MojoExecutionException,Other
28,92a6a2e1,Maven,FAIL,MojoExecutionException,Other
29,e3dab889,Maven,FAIL,MojoExecutionException,Other
30,bc670e3f,Maven,FAIL,MojoExecutionException,Other
31,dc7bac4d,Maven,FAIL,MojoExecutionException,Other
32,e414fa55,Maven,FAIL,MojoExecutionException,Other
33,b44d0728,Maven,FAIL,MojoExecutionException,Other
34,061ba3a7,Maven,FAIL,MojoExecutionException,Other
35,8a116bba,Maven,FAIL,MojoExecutionException,Other
36,edb11ae9,Maven,FAIL,MojoExecutionException,Other
37,698a11d2,Maven,FAIL,MojoExecutionException,Other
38,a77aba80,Maven,FAIL,MojoExecutionException,Other
