commitID;commit-type;time-to-next-release;commit-message
e5daaed749b5a604a0d7e79d75f880fe43edcfb0;BREAKING_FIX;45;JCR-3615 Move source code to final place git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1512568 13f79535-47bb-0310-9956-ffa450edef68
c4e0e13adc684ad68df9b239cc713b2652110844;BREAKING_CHANGES;181;@releng reverting 3.0.0 release git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1526600 13f79535-47bb-0310-9956-ffa450edef68
ebd94df2e3192ed60b6431f08fb1a5a1e2b19509;BREAKING_FIX;181;@releng add better release management git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1526613 13f79535-47bb-0310-9956-ffa450edef68
b4d554d5e61d51d3ebe4f410cedefd44f5fd5352;BREAKING_CHANGES;120;JCRVLT-22 Import of SNS content on not supporting repositories git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1545669 13f79535-47bb-0310-9956-ffa450edef68
eada212e9cea622027fe71241e290e2392fd2244;BREAKING_FIX;119;Fix failing tests with oak git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1545967 13f79535-47bb-0310-9956-ffa450edef68
343652e6cc59323a5f058e24c402d4bb04a4b4c1;BREAKING_CHANGES;68;@trivial fix maven setup for oak git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1559283 13f79535-47bb-0310-9956-ffa450edef68
92d4f9e79b0c7d5d91d0171c281123ca602299eb;BREAKING_FIX;2;@trivial use stable oak versiob git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1581147 13f79535-47bb-0310-9956-ffa450edef68
426ec4259361a01893c3862d85d0ecde19619b7a;BREAKING_CHANGES;4;@trivial create proper filevault docu site git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1582932 13f79535-47bb-0310-9956-ffa450edef68
e1f0aaa132447aef50919ec63c8a5ee90efb8794;BREAKING_FIX;0;JCRVLT-43 vault-doc has duplicate artifactId git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1583742 13f79535-47bb-0310-9956-ffa450edef68
91c9e2168a8f942247c8ee47f2125ef318a6d475;BREAKING_CHANGES;10;JCRVLT-67 rep:authorizableId might be removed on package install causing error in oak - adding test casesgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1634422 13f79535-47bb-0310-9956-ffa450edef68
3a89c3872a09d194a6ab613893af000132b0f71c;BREAKING_FIX;0;@trivial use non SNAPSHOT version git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/commons/filevault/trunk@1637260 13f79535-47bb-0310-9956-ffa450edef68
