commitID;commit-type;time-to-next-release;commit-message
fea4970bc28987264360f37dd51121baabd42d45;BREAKING_FIX;23;OAK-1: Setup basic build structure Initial multi-module setup.git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1297458 13f79535-47bb-0310-9956-ffa450edef68
64208751673faea04863a2223f28ccf40eeb3581;BREAKING_CHANGES;23;OAK-1: Setup basic build structure Bootstrap oak-core with sources from sandbox/microkernelgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1297505 13f79535-47bb-0310-9956-ffa450edef68
7ebf68c063351cebd6752b8437c2d7790b4d9784;BREAKING_FIX;23;OAK-1: Setup basic build structure Add microkernel dependenciesgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1297510 13f79535-47bb-0310-9956-ffa450edef68
42a4db22c54c3abb28c13577e9149d377307598c;BREAKING_CHANGES;15;JCR-5: JCR bindings for Oak - add component to project pomgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1300504 13f79535-47bb-0310-9956-ffa450edef68
e65b817056c031aced37a4f4df93ce308ef1c236;BREAKING_FIX;15;JCR-5: JCR bindings for Oak Resolve concurrent commits (no need for a duplicate oak-jcr module reference)git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1300517 13f79535-47bb-0310-9956-ffa450edef68
b116bd974e615ce0d33497b17489eda4dcf3827b;BREAKING_CHANGES;13;OAK-24: Separate component for the microkernel Drop .oak.model now that it was merged into .mk.modelgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1301558 13f79535-47bb-0310-9956-ffa450edef68
9cf706c8f48de4160ff1a777e404a5b06d0d77e1;BREAKING_FIX;13;OAK-24: Separate component for the microkernel Fix references in oak-core. TODO: replace these with a higher-level Oak APIgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1301598 13f79535-47bb-0310-9956-ffa450edef68
b64f641b459f3db7a1446eaf929728691cc4d913;BREAKING_CHANGES;6;cleanup git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1304484 13f79535-47bb-0310-9956-ffa450edef68
f3a571c207af51a5891ca9ea813d061ef39caffe;BREAKING_FIX;6;cleanup mk git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1304506 13f79535-47bb-0310-9956-ffa450edef68
410044df2dee6632bf2fcf60d7fed22230ffe3b2;BREAKING_CHANGES;0;OAK-18: Define Oak API add method to acquire a repository connection git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1306786 13f79535-47bb-0310-9956-ffa450edef68
