STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,605d3495b6d329c6232bf02f97acad943039b386,605d3495b6d329c6232bf02f97acad943039b386,0, 
BUILD_SUCCESSFUL,1,6,6,fea4970bc28987264360f37dd51121baabd42d45,d7a2810f3f01afa9041a3d24dfe08a6f35972fda,0, 
BUILD_FAILURE,7,7,1,64208751673faea04863a2223f28ccf40eeb3581,64208751673faea04863a2223f28ccf40eeb3581,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,8,49,42,7ebf68c063351cebd6752b8437c2d7790b4d9784,e16bdd50acc387ff9206de3754a4fff1beb9b893,0, 
BUILD_FAILURE,50,51,2,42a4db22c54c3abb28c13577e9149d377307598c,48da085e778c98648481f1e315d7242f75bce358,1,ProjectBuildingException1:2;
BUILD_SUCCESSFUL,52,119,68,e65b817056c031aced37a4f4df93ce308ef1c236,840d2359a0aa87cf0d514442662fd2be893857dc,0, 
BUILD_FAILURE,120,126,7,b116bd974e615ce0d33497b17489eda4dcf3827b,53f88e66ad7ee5041517660e8ae09b4c03ad665a,1,MojoFailureException1:7;
BUILD_SUCCESSFUL,127,164,38,9cf706c8f48de4160ff1a777e404a5b06d0d77e1,82f6ccca0585fdcf2db4b758466bd4816d3063da,0, 
BUILD_FAILURE,165,166,2,b64f641b459f3db7a1446eaf929728691cc4d913,a757c5cb89590941f13dba89b4d3c43e58d3cd4a,1,MojoFailureException1:2;
BUILD_SUCCESSFUL,167,202,36,f3a571c207af51a5891ca9ea813d061ef39caffe,b08d11d4d0728612cfa5ae5c194c2c5cc42ed07b,0, 
BUILD_FAILURE,203,203,1,410044df2dee6632bf2fcf60d7fed22230ffe3b2,410044df2dee6632bf2fcf60d7fed22230ffe3b2,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,204,258,55,eeb62cb3bbae4b18d8bb7f8c453b2762a0dc44eb,d8e07936fadba6a78ff1a937bd535f4f8d6e385d,0, 
BUILD_FAILURE,259,260,2,57e0a23a9a4e20665e6a2320c22ae49af2af512c,c4d74ce5390aa35e6d9d8b9ef6e7d53338b362a7,1,MojoFailureException1:2;
BUILD_SUCCESSFUL,261,340,80,8eaf0a4be0599b73d9af193999b7b078d6dcad2d,7a4d619d3147476e96797287a1fb4638a8720132,0, 
BUILD_FAILURE,341,345,5,1a1ccbc4313a6b0a8adb79d771964635c1b07ef7,6646f4029d67113d34caf4c9fbad54ed92130b4d,1,MojoFailureException1:5;
BUILD_SUCCESSFUL,346,435,90,dd36fd50945c6c2b8c381dd653cba146da5a786b,5ec98f4891e7be4d57897bece08cc2dc42a0bb75,0, 
