commitID;commit-type;time-to-next-release;commit-message
1705ce976541ae66dcc84f7cc3022bcef2c58907;BREAKING_CHANGES;998;git-svn-id: https://svn.apache.org/repos/asf/labs/hupa/trunk@811312 13f79535-47bb-0310-9956-ffa450edef68 
ae0d5340224e8e6cd6e148aa48a025230d578f10;BREAKING_FIX;223;Use most recent versions of libraries and gwt. Add support for RequestFactory (initial stuff: dependencies, tests). Increase snapshot version git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1186004 13f79535-47bb-0310-9956-ffa450edef68
82a1722e97aea540aa956bf76212843985c427c5;BREAKING_CHANGES;136;Bump to james parent pom 1.9-SNAPSHOT (HUPA-82) git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1231488 13f79535-47bb-0310-9956-ffa450edef68
7b3d357c92c36d216a8bd4bc1681ddb490e96c38;BREAKING_FIX;75;dependencies changed from current snapshots to last released versions git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1301152 13f79535-47bb-0310-9956-ffa450edef68
82ef7a1307e380e65fc4c3893f973177bfa28d64;BREAKING_CHANGES;68;Make Hupa compile: fix repository order and remove unused ones git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1303686 13f79535-47bb-0310-9956-ffa450edef68
b1633d56cdbc7d9213ca273021eebdb6f055eee5;BREAKING_FIX;68;Update gwt-upload version git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1303694 13f79535-47bb-0310-9956-ffa450edef68
f753c5fdac3b48eeadfb01a8ccd4552c8c6601d3;BREAKING_CHANGES;-;Merge branch 'gs' into gsvn git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1516164 13f79535-47bb-0310-9956-ffa450edef68
643857f08db5291861a2fee8870d9492c91b3255;BREAKING_FIX;-;Remove unused source files git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1526135 13f79535-47bb-0310-9956-ffa450edef68
7c707ffae36155154289e1c4abce9bdfc9f9f672;BREAKING_CHANGES;-;Complete refactor of HUPA so as many pieces can be reusable. Adding the ability to support multiple imap/smtp servers, and autodiscovering of server configuration. Adding client side caching infra based on localStorage. Improved performance, and removed repeated calls. Fixing a lot of issues which makes Hupa almost ready for production environments. Now client is a separated module which produce a reusable jar artifact. etc, etc. git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1573291 13f79535-47bb-0310-9956-ffa450edef68
13c10dbb3c800f2bc1c543022b03e3f6516ec67a;BREAKING_FIX;-;Change gQuery version to the latest 1.4.1 git-svn-id: https://svn.apache.org/repos/asf/james/hupa/trunk@1579882 13f79535-47bb-0310-9956-ffa450edef68
