STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,8,9,a6735c968bc1afbb7cdcf463ce27e5915230fbc9,f316ef9fe0052b15f345eb904f3214a9909fb416,0, 
BUILD_FAILURE,9,243,235,1705ce976541ae66dcc84f7cc3022bcef2c58907,87faf8a053e382254678e866454250bd5cb8b0f8,2,DependencyResolutionException1:195;ModelParseException2:40;
BUILD_SUCCESSFUL,244,248,5,ae0d5340224e8e6cd6e148aa48a025230d578f10,d2e797339f1940bac54fdccea978a06f3dde4977,0, 
BUILD_FAILURE,249,252,4,82a1722e97aea540aa956bf76212843985c427c5,dce57a00ea8b13335eafbb94aff6f8b7d25a022d,1,ArtifactResolutionException1:4;
BUILD_SUCCESSFUL,253,253,1,7b3d357c92c36d216a8bd4bc1681ddb490e96c38,7b3d357c92c36d216a8bd4bc1681ddb490e96c38,0, 
BUILD_FAILURE,254,254,1,82ef7a1307e380e65fc4c3893f973177bfa28d64,82ef7a1307e380e65fc4c3893f973177bfa28d64,1,ProjectBuildingException1:1;
BUILD_SUCCESSFUL,255,324,70,b1633d56cdbc7d9213ca273021eebdb6f055eee5,1315ef299e991f0018d8274d526a373aa4478c05,0, 
BUILD_FAILURE,325,652,328,f753c5fdac3b48eeadfb01a8ccd4552c8c6601d3,4ff419f9a766b42b870cf51fbf5203eeaa04bcab,4,MojoFailureException1:3;ArtifactResolutionException2:1;ModelParseException3:322;MojoFailureException4:2;
BUILD_SUCCESSFUL,653,661,9,643857f08db5291861a2fee8870d9492c91b3255,65efdf6086d0fe6af2d84bea44218e17eb92479b,0, 
BUILD_FAILURE,662,674,13,7c707ffae36155154289e1c4abce9bdfc9f9f672,ce52225ca67f1be4aa77d28b8c0a5b4a845a327b,4,ProjectBuildingException1:1;DependencyResolutionException2:5;MojoFailureException3:2;DependencyResolutionException4:5;
BUILD_SUCCESSFUL,675,685,11,13c10dbb3c800f2bc1c543022b03e3f6516ec67a,3c012724b025040d23197df47b929514b9aa0b30,0, 
