STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,44cc55ac27ffac08e69429f2d4062ab889dad718,44cc55ac27ffac08e69429f2d4062ab889dad718,0, 
BUILD_FAILURE,1,709,709,b466b6f519af5437123285a8def1c744ee688128,2028debc0f0c411e5e46c705093440c93d7c6b6e,20,ProjectBuildingException1:2;ArtifactResolutionException2:11;ProjectBuildingException3:12;DependencyResolutionException4:41;ProjectBuildingException5:1;DependencyResolutionException6:287;ArtifactResolutionException7:6;DependencyResolutionException8:13;ArtifactResolutionException9:9;DependencyResolutionException10:2;ArtifactResolutionException11:44;ProjectBuildingException12:1;ArtifactResolutionException13:38;MojoFailureException14:2;ArtifactResolutionException15:63;MojoExecutionException16:9;ArtifactResolutionException17:157;MojoExecutionException18:8;ArtifactResolutionException19:1;MojoExecutionException20:2;
BUILD_SUCCESSFUL,710,710,1,ed910e33d2c7e3c159bd3df2f4e23b772a3f528b,ed910e33d2c7e3c159bd3df2f4e23b772a3f528b,0, 
BUILD_FAILURE,711,757,47,4d821d08b959018349f8c52819b897d6be6605da,081225529f7da7dacbe0b16ff35bb4214a3dc8b4,1,MojoExecutionException1:47;
BUILD_SUCCESSFUL,758,758,1,39780a36f52e39214e682c7238cf2a7bd955430b,39780a36f52e39214e682c7238cf2a7bd955430b,0, 
BUILD_FAILURE,759,768,10,3f3871b58c39555aef420a73c2f18b807362da9b,6cccc21d5673f842485b3e22d474fba474ba3718,3,MojoExecutionException1:5;ModelParseException2:3;MojoExecutionException3:2;
BUILD_SUCCESSFUL,769,782,14,ffb80f4864dd13e28d71df5558b2c677f2d1e660,d2c963a612fc2b383739811e10f84fbe470d8747,0, 
BUILD_FAILURE,783,941,159,55a20c661836c7e78b6fad81d60e42ace2d36895,92cbf87543c0659ffa205e791ddda20edff67ed7,6,ProjectBuildingException1:9;MojoFailureException2:10;ProjectBuildingException3:1;MojoFailureException4:58;ArtifactResolutionException5:15;MojoFailureException6:66;
BUILD_SUCCESSFUL,942,964,23,af246dae83237ffb7890a5103be63b9523902c2d,fa19be2fdcbb7c99dc41ff8c128ce687b6fc449b,0, 
BUILD_FAILURE,965,970,6,8559f29d8d2e4753de292e23a39cdc2ba8b352f0,83827ed0fc547849c298e40c3a3c5b38fb3feeb3,1,MojoExecutionException1:6;
BUILD_SUCCESSFUL,971,971,1,c06d43243e2de0b58472e20c77879d1c2d86637d,c06d43243e2de0b58472e20c77879d1c2d86637d,0, 
BUILD_FAILURE,972,987,16,5b42c5cd3a12530390e7e25dcc21f4ebe87fd8bf,53db59561f7bb2fa39955c756e549e8cbd46d87f,1,MojoExecutionException1:16;
BUILD_SUCCESSFUL,988,988,1,a990587c8c514b6ddc89f13f74baf04ffebcae09,a990587c8c514b6ddc89f13f74baf04ffebcae09,0, 
BUILD_FAILURE,989,1091,103,83f58ee41a1ae5e1590d699daa9df39e97b3b7e2,d15bbac67bd7335c5cc94e2aaccba12b89cb3f55,7,MojoExecutionException1:3;DependencyResolutionException2:8;MojoExecutionException3:29;DependencyResolutionException4:52;ArtifactResolutionException5:1;DependencyResolutionException6:9;MojoExecutionException7:1;
BUILD_SUCCESSFUL,1092,1093,2,ebb086aec832f54d2afb13dc4e615e32651a407b,7583ca17c7c4c91108b5f906078afdfcdc9fd3f3,0, 
BUILD_FAILURE,1094,1094,1,fe7406ed2f920feb6d867d24aa0e388d50c9890f,fe7406ed2f920feb6d867d24aa0e388d50c9890f,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1095,1099,5,7e482beca5be0ba7c6ce5b399a7e71e5a8b9ff29,0ff83268576a98178550759879a2ac006fab8eb3,0, 
