INDEX,COMMIT_ID,POM_FILE,BUILD_SUCCESSFUL,EXCEPTION,COMPONENT,ACTION
0,56014e4674fa082dd9d9bc53b100316673a360dd,false,false,,,
1,7049cf68c84703c4cf8e6331d248824c4df8fbef,true,false,ProjectBuildingException,project_descriptor,execution
2,fabb9b46788efc85df1f5ddd7d49ebfb92ba59bb,true,false,DependencyResolutionException,dependency,resolution
3,afcac5dc6629abfa918b93491dfe41a6d1104d1a,true,false,DependencyResolutionException,dependency,resolution
4,95159b7ed4cc2dc63725088cb3f657c1cf01f06c,true,false,DependencyResolutionException,dependency,resolution
5,6a5dd3c5132482db89e712dbd0d9151022d2a420,true,false,DependencyResolutionException,dependency,resolution
6,6aa5514e5a004d17753fda2e90fdf333100fcac4,true,false,DependencyResolutionException,dependency,resolution
7,1cbdc01dd6c1b18c52122623a6b04978191abb42,true,false,DependencyResolutionException,dependency,resolution
8,9cae8077034e1c671cdced225d560e8e743d5945,true,false,DependencyResolutionException,dependency,resolution
9,fb66032b36af840fcb9124ca24762634ae6d208d,true,false,DependencyResolutionException,dependency,resolution
10,7fd606840cda3352b9dcd217f8a1929788873e90,true,false,DependencyResolutionException,dependency,resolution
11,2e6d96c66e0dadc96500550f99f51a595d0f9c8c,true,false,DependencyResolutionException,dependency,resolution
12,3e2e2782d26373708d7e20f84aa70b006b83db1d,true,false,DependencyResolutionException,dependency,resolution
13,71f45e9a10a1b992874dac4cc084ef131097712d,true,false,DependencyResolutionException,dependency,resolution
14,20abcb975775120d54dd1f8a55f5d8490fbd9684,true,false,DependencyResolutionException,dependency,resolution
15,366991050d745a0a629216e4f75faaab5c94ef70,true,false,DependencyResolutionException,dependency,resolution
16,9730bc0b40e651fecd62a33c73021279bb090ef2,true,false,DependencyResolutionException,dependency,resolution
17,12149f083e2f9de79154f3a1ecba181a69dc85c9,true,false,DependencyResolutionException,dependency,resolution
18,803f411afa9343e9edf8eba6828a2428d9cf6d21,true,false,DependencyResolutionException,dependency,resolution
19,1316fc7071f278a8db714214f4cf6b41565ec3ba,true,false,DependencyResolutionException,dependency,resolution
20,33fc46425462a05d6b64f102f18d7253314f5a6e,true,false,DependencyResolutionException,dependency,resolution
21,ac7fc8a0e47dafe2001403ad50d3517725312bce,true,false,DependencyResolutionException,dependency,resolution
22,cca2adf08feb719a7caa6ec7079ef8e431386524,true,false,DependencyResolutionException,dependency,resolution
23,5e1a5a8acf73d6511e59744a58569b1f6c68f57a,true,false,DependencyResolutionException,dependency,resolution
24,86c14b68d72d3fc6d3715fa6fcebc7cc438917a5,true,false,DependencyResolutionException,dependency,resolution
25,b96011ea5584578ff990f18bf9b70e9b7822546c,true,false,MojoExecutionException,phase_descriptor,execution
26,b6f5c0fdb757203e7d5a6ab8610096bef5ae8903,true,false,MojoExecutionException,phase_descriptor,execution
27,0155af2c4a348cb861f45a9bc8268a9e98084d29,true,false,MojoExecutionException,phase_descriptor,execution
28,eb6c675cd20b8166a8869951b027fc4fbd361025,true,false,MojoExecutionException,phase_descriptor,execution
29,26bc2bd19531272faa7c407e943f688be1ba0975,true,false,MojoExecutionException,phase_descriptor,execution
30,ed3ec57b74a221f988e1b93ba8453d515d00325e,true,false,MojoExecutionException,phase_descriptor,execution
31,bbbe5858b2a0052fdffe15c9648410592bb2243b,true,false,MojoExecutionException,phase_descriptor,execution
32,71632e31b2b62145f95fae327a2d49fcce4e2636,true,false,MojoExecutionException,phase_descriptor,execution
33,1effeac0ec4168d8913cb5ad4b998d9f8850f47a,true,false,MojoExecutionException,phase_descriptor,execution
34,df60acb6edad8242e433675225577c9005fb6745,true,false,MojoExecutionException,phase_descriptor,execution
35,63857f885045c71937cb10a10775481764bc4e80,true,false,MojoExecutionException,phase_descriptor,execution
36,3abfbc3775f454986b44fee7954c012e51fb28e4,true,false,MojoExecutionException,phase_descriptor,execution
37,257ec55e49948fdab7f145ceb11cc3b70968b345,true,false,MojoExecutionException,phase_descriptor,execution
38,edd7ee4f3c52bf7bb6177259edd972e122f89d2c,true,false,MojoExecutionException,phase_descriptor,execution
39,466cdf3a7dd260dd0732e89cc2e54da8e81ed080,true,false,MojoExecutionException,phase_descriptor,execution
40,ae5fcecc934603ada2dd1f47fda2d3431e4955b7,true,false,MojoExecutionException,phase_descriptor,execution
41,dd451ed265b9786bc1b65c2c3a2f8bf3ed896271,true,false,MojoExecutionException,phase_descriptor,execution
42,b0a3272965e463155d5e70935fe6dcd8798986dc,true,false,MojoExecutionException,phase_descriptor,execution
43,2c7c903105f374344b38dea041a293691690baf4,true,false,MojoExecutionException,phase_descriptor,execution
44,6973c3d5ab9f4e1c52e5545f2b743ddcda116347,true,false,MojoExecutionException,phase_descriptor,execution
45,13dc028d0210f4346e72d14aa00fc67dcd91fa38,true,false,MojoExecutionException,phase_descriptor,execution
46,1445bcad3b8d923a2a5a9713b8e32ef320d028a2,true,false,MojoExecutionException,phase_descriptor,execution
47,dc598aaed26ea05c55ecf7a59a870e28f6cfff2a,true,false,MojoExecutionException,phase_descriptor,execution
48,317516241fbb0458f0a57df0e0669e618368cac7,true,false,MojoExecutionException,phase_descriptor,execution
49,1d8bbd4c98a41029c35dce504065c3b8cef148c4,true,false,ArtifactResolutionException,artifact,resolution
50,19d8d4e8e61d1beacfdd2f34dcc511a4849087db,true,false,ArtifactResolutionException,artifact,resolution
51,9137861694139b808d2181022aa5c6cab1e00325,true,false,ArtifactResolutionException,artifact,resolution
52,b3f753692e57f3d0c8ca0fe122b0cd84484db04c,true,false,ArtifactResolutionException,artifact,resolution
53,6952e7b77781221a3008e976038834dd1e82c5bc,true,false,ArtifactResolutionException,artifact,resolution
54,0c7f04cccf7d0f78ce23dca40cb62b2a62e9ad86,true,false,ArtifactResolutionException,artifact,resolution
55,0985f2378f6c8e2bf740a187c618a1e9d1b2e6b2,true,false,ArtifactResolutionException,artifact,resolution
56,6ce3da20904bf83cbbba83340e742dd831395c46,true,false,MojoExecutionException,phase_descriptor,execution
57,833624a046bbd56eb18a9f56c5d893ac6220f204,true,false,MojoExecutionException,phase_descriptor,execution
58,754a7a29eda5a1ddd64f9dd078905c63f3160c4b,true,false,MojoExecutionException,phase_descriptor,execution
59,73b1815c06969029bcaf081c62966358788e5d19,true,false,MojoExecutionException,phase_descriptor,execution
60,99f5512d6e6cd921af41bcdf89a1b16dfbaba06e,true,false,MojoExecutionException,phase_descriptor,execution
61,e416dc13468b209d92e4edd255a22ec97d730a93,true,false,MojoExecutionException,phase_descriptor,execution
62,d122aaaecf36460a37b3a35bd88ce6fccfdcde5f,true,false,MojoExecutionException,phase_descriptor,execution
63,a1cf3abbc13aed3a55f9198d7845f20c4f889376,true,false,MojoExecutionException,phase_descriptor,execution
64,454c84fa117c433a5dc2c4e02b5136072182a233,true,false,MojoExecutionException,phase_descriptor,execution
65,29889e15b10ab0a7b96995629134bcf2f07e518d,true,false,MojoExecutionException,phase_descriptor,execution
66,c8e48f443ff94c1bd949fa2c3e9ab4a7e2764ac7,true,false,MojoExecutionException,phase_descriptor,execution
67,b9ff2e0b4a757f17b3b2e1b21684e405dce7a476,true,false,MojoExecutionException,phase_descriptor,execution
68,9b13485666a68591c8397b3a8901107399b37921,true,false,MojoExecutionException,phase_descriptor,execution
69,dbe6d9bcaf75f3012261492fe3ce265172f4569f,true,false,MojoExecutionException,phase_descriptor,execution
70,0a850a38d9af7dab6bbee0b5e4b0a191c40b55aa,true,false,MojoExecutionException,phase_descriptor,execution
71,e2e150ad82a754a112b3a71ca994296135648150,true,false,MojoExecutionException,phase_descriptor,execution
72,b651c2ad521cbc413601a762978086056b1c1166,true,false,MojoExecutionException,phase_descriptor,execution
73,9bd4e53aa9c4dbf17948a21ed100d566d1a4635d,true,false,MojoExecutionException,phase_descriptor,execution
74,4aed68cf5d8289b820da160dcff05ec5e93b052e,true,false,DependencyResolutionException,dependency,resolution
75,0fb67dbcc098a0faa6a5f5f5edb7434ffdc9b188,true,false,DependencyResolutionException,dependency,resolution
76,e0884ac5f00fd0b6420eae73f28fdf202bf0f007,true,false,DependencyResolutionException,dependency,resolution
77,94d2e7e0b60194a898372dc0fb7d40de3653efb9,true,false,DependencyResolutionException,dependency,resolution
78,bb002e8a97a2bf546aa52bec5c8ec182d082e670,true,false,DependencyResolutionException,dependency,resolution
79,c63e951d954c80924d74226331ff8b64f1928159,true,false,DependencyResolutionException,dependency,resolution
80,6a0cf07af863c0a409de9bc6ecd6b638e57a2f85,true,false,DependencyResolutionException,dependency,resolution
81,d6adfbc7171835b8a4148b8fc9d4c76e30f4426e,true,false,DependencyResolutionException,dependency,resolution
82,208a4405b9fa1e018536bb4c3c5d269b146455dc,true,false,DependencyResolutionException,dependency,resolution
83,ffb54140ac4c7a1915f0e3a1821c8527201c85ba,true,false,DependencyResolutionException,dependency,resolution
84,a15b6ffa86f891d5b45965ccd927929d0b23f6e6,true,false,DependencyResolutionException,dependency,resolution
85,05e9c4c1d0c507c096a469ca36031107c73cd414,true,false,DependencyResolutionException,dependency,resolution
86,2399c52b62630739dbf909b8efcbe3d747762eb4,true,false,DependencyResolutionException,dependency,resolution
87,2143b10eb5eb5a151802478925380619eb499607,true,false,DependencyResolutionException,dependency,resolution
88,ec03eb08d23b300684dd92f87b3dd5e76f786b90,true,false,DependencyResolutionException,dependency,resolution
89,ab3b41af1838d7d6a86468362c79ce093bf77232,true,false,DependencyResolutionException,dependency,resolution
90,3bebe5d80ad2ca3417457d92f3a3fc71ec7ded6f,true,false,DependencyResolutionException,dependency,resolution
91,553614542548d7f2bf2cf48c35e009e853898495,true,false,DependencyResolutionException,dependency,resolution
92,bdd5a0926956a4fcf2f0068c93b4718999cc56f1,true,false,ArtifactResolutionException,artifact,resolution
93,bb136720426396e6269d3a4881efe4e793dc9558,true,false,ArtifactResolutionException,artifact,resolution
94,f3252dbf90d8b2c320b7357b1a676fb10ecb586f,true,false,ArtifactResolutionException,artifact,resolution
95,9451ca1777a1e5b686911096398511b571f18c1a,true,false,ArtifactResolutionException,artifact,resolution
96,e4378bc3aa0aa238b771f3e6c6d04eba986fc41e,true,false,ArtifactResolutionException,artifact,resolution
97,4c8fdf2d64e186baa26a01bc81778ab01f642a2c,true,false,ArtifactResolutionException,artifact,resolution
98,9d0ee553eabeef771abe33ffd26ce57f5da8f2f2,true,false,DependencyResolutionException,dependency,resolution
99,9efb10920a83d2a296b2eb19062fee41d2754d3f,true,false,DependencyResolutionException,dependency,resolution
100,46d15bc2b49583051debc9af522ae9b81e36cb25,true,false,DependencyResolutionException,dependency,resolution
101,2982fbb88de2d06d846d6b9dadcf8e69938c3765,true,false,DependencyResolutionException,dependency,resolution
102,82ddf085e959a36f40417048ea4370f3ba5116bd,true,false,DependencyResolutionException,dependency,resolution
103,d737f368bbf4bdb94c51ef1c07af9c78d255934e,true,false,DependencyResolutionException,dependency,resolution
104,238f780bdfae9899b22e0e1f0d9933a2c4885117,true,false,DependencyResolutionException,dependency,resolution
105,b684088c87b3cb015293ae8669aea707aaba20c1,true,false,DependencyResolutionException,dependency,resolution
106,317ba16c73eecbb2469ad868cea39852831dec6c,true,false,DependencyResolutionException,dependency,resolution
107,46ca2ccd3b03d60d079dc34d984dfba6edce12ff,true,false,DependencyResolutionException,dependency,resolution
108,d7623d51d21f8bb76ede748cc00f984e74f92006,true,false,DependencyResolutionException,dependency,resolution
109,b63d2ac7795603998a7670c94ab7b57ede746f2f,true,false,MojoExecutionException,phase_descriptor,execution
110,c5c9571e2fb5487363c01277b8177ee86cff07e1,true,false,MojoExecutionException,phase_descriptor,execution
111,770116e801a2851a4713a4ea2d02e956af3d09fd,true,false,MojoExecutionException,phase_descriptor,execution
112,0d5cbfa8a52ecf75956ea96091657333817a782d,true,false,MojoExecutionException,phase_descriptor,execution
113,83a84c4fc318db5ca420a2a9f69fe7851c999d42,true,true,,,
114,1c87afe189d120b281fc5af6c7f168dcfa219a71,true,true,,,
115,c70a068e6c3eddc10fd96f4ae7db936813a1caf1,true,true,,,
116,58155311d88ed4dead4cdd4306c48a34f315dcb2,true,true,,,
117,bd3e49eeb77b5ce4e776bd1dc6ba617096819bf3,true,true,,,
118,f869485574db3f91e78c11c6b862d2b40a4a8013,true,true,,,
119,08251ba1c8934b50a517ec9ba6e1681932b81869,true,true,,,
120,30fea10b58bb00668a17f31df1b9db9e5530003e,true,true,,,
121,7c83feb5b279f2e19d65f98039a8b6279e7195a6,true,false,DependencyResolutionException,dependency,resolution
122,272ba684fc0cae05a5692d34ffa1122340bea37e,true,false,DependencyResolutionException,dependency,resolution
123,1ddc138383dbdeccc7ecae94485dfd1314ebabe4,true,true,,,
