STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,26,27,7d7bd006902a117811e60d0a174ce6124b07a949,458f3aabe45a85d30c1723d0bcb7e14d7458a769,0, 
BUILD_FAILURE,27,104,78,11f9ebd3dffeeb9603fc31dc6ad7e0a3d03e3027,bfbe7095a942ace9c3e5f9bbf3deb7cd3f590680,2,ArtifactResolutionException1:39;DependencyResolutionException2:39;
BUILD_SUCCESSFUL,105,107,3,7aade020079729ca4318e2da66a9063c65631d52,560194aadb2516ca103f26c343a1c0a3a92b71c2,0, 
BUILD_FAILURE,108,116,9,9017c8368955a4f4c0a0492804e880ac2229e737,3229023981b2f3cafa7aa274cffd85df7ffcdc85,1,CompilationFailureException1:9;
BUILD_SUCCESSFUL,117,123,7,ed37016aee62eb939618f88a242b36bbfdbae04c,0b592024e5d765456a27c53315737025184195fe,0, 
BUILD_FAILURE,124,160,37,1d4c13ad70c1473cf12e5bd0be4e9dc78069647a,c3251687f3492172212b025f1e8d7dc4067422d1,1,CompilationFailureException1:37;
BUILD_SUCCESSFUL,161,213,53,792ab908c9b4180802191b8b40178282eeadb496,15392cd21154d20f979e83c9d718cad82f9a2f6a,0, 
NO_POM,214,240,27,33f181537ded466e43c4e1765ed81444e4476bcc,a23f69b2644529a44d93069be2b489962f26172a,0, 
BUILD_FAILURE,241,321,81,be98cb90ed2b20afdce653218ff8716681c47e78,2f4f7df72e5302e2be54b3d65eb47dea18d6ad03,4,ProjectBuildingException1:1;DependencyResolutionException2:73;ArtifactResolutionException3:1;DependencyResolutionException4:6;
BUILD_SUCCESSFUL,322,359,38,513558217a1aee1689cb1264f40f49004f7b2605,39c565107d1e4edb39978680be5fa727f352ede3,0, 
BUILD_FAILURE,360,453,94,4abd106f9163e8d665c6464767c48db939aad66d,7301a572916b6a69bfac9aea14f30f75b8b665b3,1,ArtifactResolutionException1:94;
BUILD_SUCCESSFUL,454,465,12,495fd5550237fd76bde91d8ddca65c8ced040e0e,911816be6893349585e37087da1227d660b10648,0, 
BUILD_FAILURE,466,468,3,02e2a28a7bf118c16e3b931701d72f8df1aae453,d4444c7fd0c3aaf588480bd74cffc73ad6e6640c,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,469,478,10,02b3b0abec3f7553a110747e4e21bc5b22d8df15,c4ff6f315b307146bd0c4724ef5f777543b7a4d7,0, 
BUILD_FAILURE,479,497,19,45b8904600c0c526b5f221653fe6ed49841bd6f4,7a6dc37b41754f9666bfb77213e03f9f12ccc9f8,4,ArtifactResolutionException1:14;MojoExecutionException2:3;DependencyResolutionException3:1;MojoExecutionException4:1;
BUILD_SUCCESSFUL,498,503,6,a46cd01c84ac3e41f277bb74630356fc044e2b48,08afe17a2346627a79533f17d425c9ff8269d8bb,0, 
BUILD_FAILURE,504,510,7,34868513221e7917309344142ae97b4e9b79e2ce,fb0b6623fb8b2bd6c932d5eb5de12e1e6c05ee8e,1,ArtifactResolutionException1:7;
BUILD_SUCCESSFUL,511,520,10,41a471f7abe043a45b8d9d58b14b4c68939b7ebd,280f97f08c487725eea17da22bfb666477bd3d5b,0, 
BUILD_FAILURE,521,525,5,34dc794ce86ccba27ddbe4805e718839590b91b3,8808744aee80d0f0b316ee9f6e85a55ea51981c2,1,DependencyResolutionException1:5;
BUILD_SUCCESSFUL,526,526,1,c894d3a8cec8d8d774cf220f5d25d5557ca2557c,c894d3a8cec8d8d774cf220f5d25d5557ca2557c,0, 
