STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,3cf420311b199d94fa531abe2adb97c9bb519835,3cf420311b199d94fa531abe2adb97c9bb519835,0, 
BUILD_SUCCESSFUL,1,1,1,0b9d6f13baf0b8faa34a1c70af807e5d3b43b902,0b9d6f13baf0b8faa34a1c70af807e5d3b43b902,0, 
NO_POM,2,167,166,33002f9fdeab3aeafccd8881e1b162c9762f9193,b2f111eb68bbd15e16dfabf603829100ec1a838e,0, 
BUILD_SUCCESSFUL,168,173,6,2508bb36525f70cd8990d5dab3f932f5103a45d9,dfdf1c134d29e3942a181e1945644f1ddd8d8213,0, 
BUILD_FAILURE,174,175,2,0cc80c973bde038c3a177ab4a7a795de46fe7ea8,d6934fafaf3529771938fe5edcac58de0fa9ac60,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,176,288,113,b23dfc651138cdb842c8f45234a409796d138c36,a75e41e74ec5f888d412f1cb62c8b075e5a55251,0, 
BUILD_FAILURE,289,516,228,38744ab0284b13991b5383e48bf8f722dc8ced94,f00a78607a63d34fa13113b71894bca269e537bc,2,ArtifactResolutionException1:129;DependencyResolutionException2:99;
NO_POM,517,524,8,41cd97baa1c41f6727ca018d098b81f69224989f,6ac94d594104c2ecdaabae410c37960432b659d6,0, 
BUILD_FAILURE,525,571,47,facbd652ff362fabc80983849cf8cc1776fd0c8a,c374f541b592287a43d0f9650dd6036804174458,2,ArtifactResolutionException1:13;DependencyResolutionException2:34;
BUILD_SUCCESSFUL,572,583,12,180b219acd9d93927b8c57e7127fabb35f68bc00,62f84b82a16089031e06dff6674ffed25657184b,0, 
BUILD_FAILURE,584,586,3,4db9b6d77413e8dc23eefebfa7f017521617233c,73b057469e6ae0ec6f73d27005df557c5a095550,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,587,620,34,ba4a671acb20c1ebdf8acfa6cc411fab10e7be15,2e148b9f82d72c7246f8197e608968694b4ecafc,0, 
