commitID;commit-type;time-to-next-release;commit-message
2b9e8027157ba507abb71669ad5d4bd75ffe4c2f;BREAKING_CHANGES;203;Initial commit of james mailbox web site project. git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1027054 13f79535-47bb-0310-9956-ffa450edef68
a9eea8f1fe0d931468045383cc5456a356f9fc0d;BREAKING_FIX;140;remove MBean stuff from copier and change the interface to take src and dst MailboxManager's as parameter git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1053106 13f79535-47bb-0310-9956-ffa450edef68
223d0fcd23f067f0bb3389e789bc8b7e41cad53d;BREAKING_CHANGES;129;Use 0.2-M2-SNAPSHOT for imap as temp solution for dependency cycle between imap and mailbox before real solution git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1056427 13f79535-47bb-0310-9956-ffa450edef68
83992b5f901f82af62c374b77c79a52ac7020022;BREAKING_FIX;128;Remove dependencies to mailbox-integration-tester in mailbox projects (MAILBOX-28) git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1056654 13f79535-47bb-0310-9956-ffa450edef68
42b94be597d8d80661ab3fac7e93505d33fd2a17;BREAKING_CHANGES;90;Add a new interface called MessageSearchIndex and an implementation which use lucene to index messages and make it possible to search within a mailbox in a performant way. This is just the first part of it as we need to think about howto invoke the MessageSearchIndex. See MAILBOX-10 git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1070933 13f79535-47bb-0310-9956-ffa450edef68
6f33a3ee48e7aab809e3936c1472092d41431720;BREAKING_FIX;90;Fix compile errors git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1071017 13f79535-47bb-0310-9956-ffa450edef68
a25062de62260a948c8ecf4ff990e1b17d23eeb3;BREAKING_CHANGES;78;Refactor parent/pom.xml into pom.xml. Thanks to Felix Knecht for the patch. See JAMES-1201 git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1075101 13f79535-47bb-0310-9956-ffa450edef68
5cfc69a700c12f4c12005ebbfb0b98401063bcc0;BREAKING_FIX;76;Bump up version to 0.2-M2-SNAPSHOT again git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1075969 13f79535-47bb-0310-9956-ffa450edef68
a7e3984eec047ce74052bda81140154eaf1040f8;BREAKING_CHANGES;68;Use SNAPSHOT of parent, fix site/report generation switch (JAMES-1041) git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1079745 13f79535-47bb-0310-9956-ffa450edef68
0ff065b41cdc69831b21026007b7c012b8045119;BREAKING_FIX;53;Update to james-project-1.6 git-svn-id: https://svn.apache.org/repos/asf/james/mailbox/trunk@1085084 13f79535-47bb-0310-9956-ffa450edef68
