commitID;commit-type;time-to-next-release;commit-message
8c5c3aa64c47a87a1b4b85916d7b74dab7418b35;BREAKING_CHANGES;6;Master POM (minimal) git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1338053 13f79535-47bb-0310-9956-ffa450edef68
776819644c890f5886570f0acb284d6712f49320;BREAKING_FIX;22;[maven-release-plugin] prepare release jena-2.7.X git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1340919 13f79535-47bb-0310-9956-ffa450edef68
bef8ff8437bd6b2d7a4d4d32ff356cc1120b25e6;BREAKING_CHANGES;22;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1340921 13f79535-47bb-0310-9956-ffa450edef68
c23551844a1ed81c11615e2e19756f040b1803ad;BREAKING_FIX;1;[maven-release-plugin] prepare release jena-2.7.1 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1348746 13f79535-47bb-0310-9956-ffa450edef68
0b33bef91905183074dcac96cc234767897dd19c;BREAKING_CHANGES;1;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1348748 13f79535-47bb-0310-9956-ffa450edef68
1ddd841dbce436094a54452add8e406790fa1628;BREAKING_FIX;14;Prepare for release (cycle 2) git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1349834 13f79535-47bb-0310-9956-ffa450edef68
e635698b5e5de7e8e9a1cca621409aa9e03f0a95;BREAKING_CHANGES;14;Prepare for release (cycle 2) git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1349838 13f79535-47bb-0310-9956-ffa450edef68
aab71617a837214c777ee72a48d1efdda0253027;BREAKING_FIX;14;[maven-release-plugin] prepare release jena-2.7.1 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1349853 13f79535-47bb-0310-9956-ffa450edef68
8e8ffabd09d59b27d88f35a0c4bd70d8e9c8b9b1;BREAKING_CHANGES;14;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1349855 13f79535-47bb-0310-9956-ffa450edef68
698bc57575a566cd9ed84ff20d3080a07c975f80;BREAKING_FIX;35;[maven-release-plugin] prepare release jena-2.7.2 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1355005 13f79535-47bb-0310-9956-ffa450edef68
a8cf54b855b3d037c2736f354436c0a59bc5e534;BREAKING_CHANGES;35;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1355007 13f79535-47bb-0310-9956-ffa450edef68
3459c3a822780fb7fae67fcf591fe551d0da8a65;BREAKING_FIX;4;[maven-release-plugin] prepare release jena-2.7.3 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369112 13f79535-47bb-0310-9956-ffa450edef68
e46b52ff2d83b66151e31d125528a5126c2ffb23;BREAKING_CHANGES;4;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369114 13f79535-47bb-0310-9956-ffa450edef68
f953efbe80d26fb0e5ad09e0d04019cd3077f49d;BREAKING_FIX;4;[maven-release-plugin] prepare release jena-2.7.3-RC1 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369121 13f79535-47bb-0310-9956-ffa450edef68
4d33e6043002705c82f03731f5afe97d92ec42eb;BREAKING_CHANGES;4;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369123 13f79535-47bb-0310-9956-ffa450edef68
59241c31e9986bd3c990b5c79e1975554606ceea;BREAKING_FIX;4;[maven-release-plugin] prepare release jena-2.7.3-RC2 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369141 13f79535-47bb-0310-9956-ffa450edef68
f6cb2151f0116ec7407a0ebe9aaf1de3458d4283;BREAKING_CHANGES;4;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369143 13f79535-47bb-0310-9956-ffa450edef68
329dbf6fac078a9f5312f692c49bfbb60b49d71f;BREAKING_FIX;4;[maven-release-plugin] prepare release 2.7.3-RC3 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369155 13f79535-47bb-0310-9956-ffa450edef68
65b5373aeb3336401ccaa2365b6ad6988bcc403a;BREAKING_CHANGES;4;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1369157 13f79535-47bb-0310-9956-ffa450edef68
db06d6f01415961ee81ab2ac0f537e77911166ea;BREAKING_FIX;0;[maven-release-plugin] prepare release jena-2.7.4 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400221 13f79535-47bb-0310-9956-ffa450edef68
7efc17c5584f091f4bfff47d1966299e5ff003f3;BREAKING_CHANGES;0;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400223 13f79535-47bb-0310-9956-ffa450edef68
2b7d28bb3886a83c6ba31b58261e727c2d8f72bb;BREAKING_FIX;122;[maven-release-plugin] prepare release jena-2.7.4 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400411 13f79535-47bb-0310-9956-ffa450edef68
eef6bc4e2e0cee4f67c34e1febab81bc0a6ab9d2;BREAKING_CHANGES;122;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400413 13f79535-47bb-0310-9956-ffa450edef68
179e53d2d25a16a5de0c4b410d32ede833246817;BREAKING_FIX;122;[maven-release-plugin] prepare release jena-2.7.4 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400479 13f79535-47bb-0310-9956-ffa450edef68
f6b730895fddcafe4f1aabe802286e63e0a2af13;BREAKING_CHANGES;122;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1400481 13f79535-47bb-0310-9956-ffa450edef68
6f3d21c8180fad27ebc1cb5b4637478007c2c88c;BREAKING_FIX;79;[maven-release-plugin] prepare release jena-2.10.0 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1448084 13f79535-47bb-0310-9956-ffa450edef68
735154844761963b3cbf4121b9a337e0e8b56794;BREAKING_CHANGES;79;Reset git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1448095 13f79535-47bb-0310-9956-ffa450edef68
05cf50016de8a4e678b971429c625bd05671a974;BREAKING_FIX;79;[maven-release-plugin] prepare release jena-2.10.0 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1448106 13f79535-47bb-0310-9956-ffa450edef68
265a6d424f4867be759b789bd85c45d540bf7534;BREAKING_CHANGES;79;Set POMs to next release SNAPSHOT git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1448180 13f79535-47bb-0310-9956-ffa450edef68
fe91ec4b155bd4bbf2877e080c1859bea9f5879a;BREAKING_FIX;13;[maven-release-plugin] prepare release jena-2.10.1 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1481409 13f79535-47bb-0310-9956-ffa450edef68
321f2642d90b945e3c09e00c60946c112860b3c5;BREAKING_CHANGES;13;Update to snapshot versions after release git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1481439 13f79535-47bb-0310-9956-ffa450edef68
aef0286b4b0f6edad5cb0d5548c0e7a4a64fa241;BREAKING_FIX;127;[maven-release-plugin] prepare release jena-2.11.0 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1522506 13f79535-47bb-0310-9956-ffa450edef68
4c5791ea78cb004efa610de55e77b7a764c43c7c;BREAKING_CHANGES;127;Advance POMs to development SNAPSHOT version git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1522548 13f79535-47bb-0310-9956-ffa450edef68
90dd7e2c2b3a749097def8b61cb4747d86b91d31;BREAKING_FIX;134;[maven-release-plugin] prepare release jena-2.11.1 git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1559356 13f79535-47bb-0310-9956-ffa450edef68
