STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,31,32,4298106f1ecabbe972d5a2f139eee2adb106bc62,e66befd22d792e0083ceadffc33b0d8cf6ade460,0, 
BUILD_FAILURE,32,48,17,8c5c3aa64c47a87a1b4b85916d7b74dab7418b35,d97a94b3e217c93731ac49b4fdf886ee46b12051,1,MojoExecutionException1:17;
BUILD_SUCCESSFUL,49,49,1,776819644c890f5886570f0acb284d6712f49320,776819644c890f5886570f0acb284d6712f49320,0, 
BUILD_FAILURE,50,131,82,bef8ff8437bd6b2d7a4d4d32ff356cc1120b25e6,be11b5cc68f39136f099fe5fd44fe97f69acb414,1,MojoExecutionException1:82;
BUILD_SUCCESSFUL,132,132,1,c23551844a1ed81c11615e2e19756f040b1803ad,c23551844a1ed81c11615e2e19756f040b1803ad,0, 
BUILD_FAILURE,133,148,16,0b33bef91905183074dcac96cc234767897dd19c,c2ced17ff222c8be28a745feb7aa3e9f3f7985f8,2,MojoExecutionException1:14;ArtifactResolutionException2:2;
BUILD_SUCCESSFUL,149,150,2,1ddd841dbce436094a54452add8e406790fa1628,6af2696ef7b640709f0035f9bd029de197979aae,0, 
BUILD_FAILURE,151,152,2,e635698b5e5de7e8e9a1cca621409aa9e03f0a95,82ee709377f8acd51feff7de0db5199c58ea50ff,1,MojoExecutionException1:2;
BUILD_SUCCESSFUL,153,153,1,aab71617a837214c777ee72a48d1efdda0253027,aab71617a837214c777ee72a48d1efdda0253027,0, 
BUILD_FAILURE,154,198,45,8e8ffabd09d59b27d88f35a0c4bd70d8e9c8b9b1,cc0f46994496c0901c9603d4b4bb0b7119cd477a,1,MojoExecutionException1:45;
BUILD_SUCCESSFUL,199,199,1,698bc57575a566cd9ed84ff20d3080a07c975f80,698bc57575a566cd9ed84ff20d3080a07c975f80,0, 
BUILD_FAILURE,200,306,107,a8cf54b855b3d037c2736f354436c0a59bc5e534,50cfa82d7153bbc038006fb0dc37eb3c9afeb5a8,1,MojoExecutionException1:107;
BUILD_SUCCESSFUL,307,307,1,3459c3a822780fb7fae67fcf591fe551d0da8a65,3459c3a822780fb7fae67fcf591fe551d0da8a65,0, 
BUILD_FAILURE,308,309,2,e46b52ff2d83b66151e31d125528a5126c2ffb23,58ed4836f7367d6bb4249baaaeb5b9df9cec00a2,1,MojoExecutionException1:2;
BUILD_SUCCESSFUL,310,310,1,f953efbe80d26fb0e5ad09e0d04019cd3077f49d,f953efbe80d26fb0e5ad09e0d04019cd3077f49d,0, 
BUILD_FAILURE,311,312,2,4d33e6043002705c82f03731f5afe97d92ec42eb,5ad9c6a870102891d3fff56fcf3be8cd35328ec8,1,MojoExecutionException1:2;
BUILD_SUCCESSFUL,313,313,1,59241c31e9986bd3c990b5c79e1975554606ceea,59241c31e9986bd3c990b5c79e1975554606ceea,0, 
BUILD_FAILURE,314,315,2,f6cb2151f0116ec7407a0ebe9aaf1de3458d4283,97ee51f2bcae5282db64022fd8243860a271d4e7,1,MojoExecutionException1:2;
BUILD_SUCCESSFUL,316,316,1,329dbf6fac078a9f5312f692c49bfbb60b49d71f,329dbf6fac078a9f5312f692c49bfbb60b49d71f,0, 
BUILD_FAILURE,317,603,287,65b5373aeb3336401ccaa2365b6ad6988bcc403a,77716260420e3cb270fb4ba0ad447b67ac6811ed,1,MojoExecutionException1:287;
BUILD_SUCCESSFUL,604,604,1,db06d6f01415961ee81ab2ac0f537e77911166ea,db06d6f01415961ee81ab2ac0f537e77911166ea,0, 
BUILD_FAILURE,605,610,6,7efc17c5584f091f4bfff47d1966299e5ff003f3,529435baafeba2e1e25d0ec9d3bab8c6523f78ef,3,MojoExecutionException1:1;ArtifactResolutionException2:3;MojoExecutionException3:2;
BUILD_SUCCESSFUL,611,611,1,2b7d28bb3886a83c6ba31b58261e727c2d8f72bb,2b7d28bb3886a83c6ba31b58261e727c2d8f72bb,0, 
BUILD_FAILURE,612,615,4,eef6bc4e2e0cee4f67c34e1febab81bc0a6ab9d2,f7c38120e6edc6b38d87c94bad5975f880bc7d98,1,MojoExecutionException1:4;
BUILD_SUCCESSFUL,616,616,1,179e53d2d25a16a5de0c4b410d32ede833246817,179e53d2d25a16a5de0c4b410d32ede833246817,0, 
BUILD_FAILURE,617,1032,416,f6b730895fddcafe4f1aabe802286e63e0a2af13,ada4cea8a06d4c57231f7aba9be7b2203119b92d,4,MojoExecutionException1:265;ProjectBuildingException2:1;MojoExecutionException3:131;DependencyResolutionException4:19;
