STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
BUILD_FAILURE,0,0,1,bcee7398c769bbd09a3cb551cc1bd40245640f30,bcee7398c769bbd09a3cb551cc1bd40245640f30,1,DependencyResolutionException1:1;
NO_POM,1,2,2,59123909d9e69a00150637d7ff65bae2fd7bf56f,fb0a26df11405494c25dadf6007882e7b7ed8f20,0, 
BUILD_SUCCESSFUL,3,3,1,4e810e90d6bb926d90bcce3b9ab03034b22a6b88,4e810e90d6bb926d90bcce3b9ab03034b22a6b88,0, 
BUILD_FAILURE,4,6,3,9e617dc8306de6f8e9fe436b0dcbe4d6926c8db8,d5ce6e03517f8545b9cd4fdabbb7f175e27cc65b,1,MojoFailureException1:3;
BUILD_SUCCESSFUL,7,8,2,d6c18ef95acfb390b1cd54e015dabe656dc8e24c,411d03ff8c339e60033de709f5dd316b5731e9d7,0, 
BUILD_FAILURE,9,15,7,77dd90a8c7f7c00d4f7ddd94db88f8d453e1524b,81892efbb9640ad7ca61dc50dff35aa04d8fe007,1,MojoFailureException1:7;
BUILD_SUCCESSFUL,16,17,2,97d3ffdca902a0ab232c4142ed6e6ce47958426e,faca20a3099fa42cd1db48fcb50d5165bdd7e600,0, 
BUILD_FAILURE,18,106,89,a8b893c491610556434c7279d79ef84d8167b73a,12faa18bdc6ae995402cc60b4a79ed302f33f257,2,DependencyResolutionException1:69;AetherClassNotFound2:20;
BUILD_SUCCESSFUL,107,163,57,38e8ec8d4f481b75bb45cfefba840eea3eec745d,b67c266587bc06147de8b7d66164dc902a0dcab0,0, 
BUILD_FAILURE,164,170,7,95170646f75894ddb25182e46f8ad67a09fd1058,c83ff45bc060b661f7f2263974146248e9bd9e9f,1,ArtifactResolutionException1:7;
BUILD_SUCCESSFUL,171,171,1,899505ebcceaa400e3003ba20b52db3e549df22d,899505ebcceaa400e3003ba20b52db3e549df22d,0, 
