commitID;commit-type;time-to-next-release;commit-message
6f320d75de13a19542613c35f96ade30369a80aa;BREAKING_CHANGES;748;MAHOUT-17, Maven project and module POM files. All dependencies without official Maven artifacts (Hadoop, kfs, xmlenc, jets3t) are copied from libs/ to local Maven repository. The purpose of this patch is not to replace the Ant build, it is to /support/ Maven users that wants to produce project files for their development environment. Perhaps it also could be used for us to produce official Maven artifacts.git-svn-id: https://svn.apache.org/repos/asf/lucene/mahout/trunk@650857 13f79535-47bb-0310-9956-ffa450edef68
ee910dfbfbeee2bcff9afd83f0bdcf4c9356e08b;BREAKING_FIX;3;[maven-release-plugin] prepare release mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348139 13f79535-47bb-0310-9956-ffa450edef68
caacd5c28d435d5ed45617ad3fc18623d3e2a318;BREAKING_CHANGES;3;[maven-release-plugin] rollback the release of mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348143 13f79535-47bb-0310-9956-ffa450edef68
abb4fe4c8c949fc310f086f4397fe0645d67ba29;BREAKING_FIX;3;[maven-release-plugin] prepare release mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348162 13f79535-47bb-0310-9956-ffa450edef68
159174ebfbeede79b9bcef3e1c3ade5aac24d6c1;BREAKING_CHANGES;3;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348164 13f79535-47bb-0310-9956-ffa450edef68
f692f7d69577ce6bb2e7e045c0ce9c3d72c76dd8;BREAKING_FIX;3;[maven-release-plugin] prepare release mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348216 13f79535-47bb-0310-9956-ffa450edef68
256c7a70a19243c6304c972a8a0c81463d798a56;BREAKING_CHANGES;3;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348220 13f79535-47bb-0310-9956-ffa450edef68
b8c11c6c9ce4777ace544427ef9685ce9c56864d;BREAKING_FIX;3;[maven-release-plugin] prepare release mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348238 13f79535-47bb-0310-9956-ffa450edef68
0596971048899c0243370e20104d12d24675a39f;BREAKING_CHANGES;3;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1348241 13f79535-47bb-0310-9956-ffa450edef68
1ac5f1af46bfd48b29d97f3663d0328f6d890b5d;BREAKING_FIX;390;[maven-release-plugin] prepare release mahout-0.7 git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1349170 13f79535-47bb-0310-9956-ffa450edef68
4c112817b845cdae6a1967a0680d5f7aa4c3b75e;BREAKING_CHANGES;390;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/mahout/trunk@1349172 13f79535-47bb-0310-9956-ffa450edef68
