STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,38,39,e6eaf50b5bf0bca7f435d61b3e8f54022c7cc238,119a39d4f35126ffd2921175e6a96367ef5adc46,0, 
BUILD_FAILURE,39,2383,2345,6f320d75de13a19542613c35f96ade30369a80aa,86b1196bb540df26fcb03ae5c03904779924face,50,DependencyResolutionException1:120;ArtifactResolutionException2:1;DependencyResolutionException3:27;ArtifactResolutionException4:2;DependencyResolutionException5:88;ArtifactResolutionException6:1;DependencyResolutionException7:60;CompilationFailureException8:6;DependencyResolutionException9:1;CompilationFailureException10:150;DependencyResolutionException11:147;MojoExecutionException12:2;DependencyResolutionException13:16;ArtifactResolutionException14:1;DependencyResolutionException15:51;ProjectBuildingException16:1;DependencyResolutionException17:42;MojoFailureException18:18;DependencyResolutionException19:1;MojoFailureException20:15;DependencyResolutionException21:52;MojoFailureException22:1;ArtifactResolutionException23:3;PluginDescriptorParsingException24:269;MojoExecutionException25:42;MojoFailureException26:3;MojoExecutionException27:201;ArtifactResolutionException28:1;MojoExecutionException29:273;DependencyResolutionException30:5;MojoFailureException31:2;DependencyResolutionException32:257;MojoFailureException33:1;DependencyResolutionException34:2;MojoFailureException35:1;DependencyResolutionException36:1;MojoFailureException37:1;DependencyResolutionException38:8;MojoFailureException39:1;DependencyResolutionException40:4;MojoFailureException41:1;DependencyResolutionException42:1;MojoFailureException43:1;DependencyResolutionException44:117;MojoFailureException45:1;DependencyResolutionException46:225;MojoFailureException47:1;DependencyResolutionException48:2;MojoFailureException49:1;DependencyResolutionException50:117;
BUILD_SUCCESSFUL,2384,2385,2,ee910dfbfbeee2bcff9afd83f0bdcf4c9356e08b,1f59d8ea289ffb8290e39f5b3fe2fec42e0a2591,0, 
BUILD_FAILURE,2386,2386,1,caacd5c28d435d5ed45617ad3fc18623d3e2a318,caacd5c28d435d5ed45617ad3fc18623d3e2a318,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,2387,2387,1,abb4fe4c8c949fc310f086f4397fe0645d67ba29,abb4fe4c8c949fc310f086f4397fe0645d67ba29,0, 
BUILD_FAILURE,2388,2389,2,159174ebfbeede79b9bcef3e1c3ade5aac24d6c1,a320da91873e98640378fd0afbf811d820526087,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,2390,2390,1,f692f7d69577ce6bb2e7e045c0ce9c3d72c76dd8,f692f7d69577ce6bb2e7e045c0ce9c3d72c76dd8,0, 
BUILD_FAILURE,2391,2392,2,256c7a70a19243c6304c972a8a0c81463d798a56,cb7e6cd5b4581c26a93edaa71fba54b35f11e79d,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,2393,2393,1,b8c11c6c9ce4777ace544427ef9685ce9c56864d,b8c11c6c9ce4777ace544427ef9685ce9c56864d,0, 
BUILD_FAILURE,2394,2403,10,0596971048899c0243370e20104d12d24675a39f,25c5e7aae291e5463178ec5a6d76e29a8859bc39,1,DependencyResolutionException1:10;
