commitID;commit-type;time-to-next-release;commit-message
60af082ea2ae229c782e560e45c260ff48a3c0c4;BREAKING_CHANGES;1856;o doing the pom.xml thing PR: Obtained from: Submitted by: Reviewed by: git-svn-id: https://svn.apache.org/repos/asf/maven/components/trunk@162739 13f79535-47bb-0310-9956-ffa450edef68
abe5a2ce99615be906e37532d68f9911e34910c2;BREAKING_FIX;1575;set the correct packaging git-svn-id: https://svn.apache.org/repos/asf/maven/components/trunk@163579 13f79535-47bb-0310-9956-ffa450edef68
7ff6992a044b56d73569cd297f23ab6172ca7fd4;BREAKING_CHANGES;1555;o Adding some modules. git-svn-id: https://svn.apache.org/repos/asf/maven/components/trunk@163784 13f79535-47bb-0310-9956-ffa450edef68
b4c041a567b0dd6a389e4324dd295357f895469a;BREAKING_FIX;1363;[maven-release-plugin] prepare for next development iteration git-svn-id: https://svn.apache.org/repos/asf/maven/components/trunk@321042 13f79535-47bb-0310-9956-ffa450edef68
ed662b21821a0f4832c85b017ece61f2a7135e2d;BREAKING_CHANGES;1356;Update doxia for support docbook documents git-svn-id: https://svn.apache.org/repos/asf/maven/components/trunk@327142 13f79535-47bb-0310-9956-ffa450edef68
d9867979e91711a2e5178abb3b9ac46c8211d90f;BREAKING_FIX;1196;fix the modello version git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390311 13f79535-47bb-0310-9956-ffa450edef68
a7ab8b8ae2afa1225a54c5c5ec909215562b7ea7;BREAKING_CHANGES;1175;Fixing site-generation aspects of the modello generator config. git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@395607 13f79535-47bb-0310-9956-ffa450edef68
9f7abb7383446de03fa4924f1f14f2f7aca97221;BREAKING_FIX;909;o use released version, running the bootstrap again ... git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@495408 13f79535-47bb-0310-9956-ffa450edef68
aed807cd7d8b99d4858e01e3c85ccd317492e066;BREAKING_CHANGES;901;Add a new buildSettings method that allow to not use the cached settings.xml git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@497769 13f79535-47bb-0310-9956-ffa450edef68
2cff9e50b4f33a904381bae832f44c5639094a6c;BREAKING_FIX;901;git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@497771 13f79535-47bb-0310-9956-ffa450edef68 
98c57ebd0a65900ddd8f9e5dafcd34a47ba438db;BREAKING_CHANGES;875;o use the one in shared git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@507646 13f79535-47bb-0310-9956-ffa450edef68
91e4d98dcd19270c5ce6c346c0a95ba2694671f7;BREAKING_FIX;875;o use maven-archiver from shared git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@507647 13f79535-47bb-0310-9956-ffa450edef68
924d651e9d0d1298a4a397f272b03bc95ab3ddeb;BREAKING_CHANGES;851;MNG-1577 dependencyManagement element is king! woo hoo! Thanks to Patrick, Mike and Ralph for helping with all the hard work. git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@516822 13f79535-47bb-0310-9956-ffa450edef68
69ae8b7754ef9920a6b9532d94405eac47d5d774;BREAKING_FIX;850;MNG-1577 new additions from the patch git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@516871 13f79535-47bb-0310-9956-ffa450edef68
4f33580f696fa34abcc0bcd737b751b82fea2a99;BREAKING_CHANGES;835;[maven-release-plugin] prepare release maven-2.0.6 git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@522700 13f79535-47bb-0310-9956-ffa450edef68
289c48d48627f84b94cc26812cf5ba4960650ee9;BREAKING_FIX;835;o rollback to 2.0.6-s, as the release failed git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@522704 13f79535-47bb-0310-9956-ffa450edef68
332963f20f0d9328e953632aad8535759684a85b;BREAKING_CHANGES;835;[maven-release-plugin] prepare release maven-2.0.6 git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@522707 13f79535-47bb-0310-9956-ffa450edef68
6c9135bf008ea58d11cd1da0c59985cfd49cf900;BREAKING_FIX;834;fix versions that didn't get updated in the release git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@522788 13f79535-47bb-0310-9956-ffa450edef68
cb26f396e827df358253b665781318677c87b401;BREAKING_CHANGES;757;[maven-release-plugin] prepare release maven-2.0.7 git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@546417 13f79535-47bb-0310-9956-ffa450edef68
f22411900f1546cd71ef54c6761823c1ac414aa3;BREAKING_FIX;757;o reverting POM changes and doing another release git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@546721 13f79535-47bb-0310-9956-ffa450edef68
098ad16d93dcc8d699738b5e240f38207e5d16bb;BREAKING_CHANGES;756;[maven-release-plugin] prepare release maven-2.0.7 git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@546726 13f79535-47bb-0310-9956-ffa450edef68
5e4813f3ad2769063a80b792fd0395d9ae2057e4;BREAKING_FIX;755;fix some dangling references git-svn-id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@547137 13f79535-47bb-0310-9956-ffa450edef68
