STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,230,231,3db476f1a2b6826d0aee4e9937cb73ae14cd7fae,62659b716c5ea5b9701929a3a46ec6366f610fea,0, 
BUILD_FAILURE,231,1019,789,60af082ea2ae229c782e560e45c260ff48a3c0c4,e9a93238125ddc73936679cb53a9a1254e13ff42,1,ModelParseException1:789;
BUILD_SUCCESSFUL,1020,1218,199,abe5a2ce99615be906e37532d68f9911e34910c2,b3b831ec31c01c88d1b909cb8991d1cf5d7cfa39,0, 
BUILD_FAILURE,1219,3712,2494,7ff6992a044b56d73569cd297f23ab6172ca7fd4,d783c5fc419c365d8c8799148db122122727212a,13,DependencyResolutionException1:4;ArtifactResolutionException2:1;DependencyResolutionException3:5;ModelParseException4:498;ArtifactResolutionException5:353;ModelParseException6:766;ArtifactResolutionException7:4;ModelParseException8:14;PluginParameterException9:1;ProjectBuildingException10:475;ArtifactResolutionException11:1;ProjectBuildingException12:314;PluginParameterException13:58;
BUILD_SUCCESSFUL,3713,3921,209,b4c041a567b0dd6a389e4324dd295357f895469a,0dd744766c334fa91c6578b114ab81c344eb84aa,0, 
BUILD_FAILURE,3922,4507,586,ed662b21821a0f4832c85b017ece61f2a7135e2d,8446133d06680a8156504bfd904929f186fbbfb0,12,DependencyResolutionException1:391;ArtifactResolutionException2:10;CompilationFailureException3:2;PluginParameterException4:9;DependencyResolutionException5:46;PluginParameterException6:56;CompilationFailureException7:4;PluginParameterException8:28;CompilationFailureException9:1;PluginParameterException10:31;ModelParseException11:1;PluginParameterException12:7;
BUILD_SUCCESSFUL,4508,4537,30,d9867979e91711a2e5178abb3b9ac46c8211d90f,654a9fd7033f4ba5c80eec56c3b35b7163467186,0, 
BUILD_FAILURE,4538,4659,122,a7ab8b8ae2afa1225a54c5c5ec909215562b7ea7,3e1d9b4f9dd0d5f382e0774d72a4c731cd0c4e2c,4,ModelParseException1:70;ArtifactResolutionException2:9;ModelParseException3:8;DependencyResolutionException4:35;
BUILD_SUCCESSFUL,4660,4671,12,9f7abb7383446de03fa4924f1f14f2f7aca97221,e8917f648956d11b6222bfbd68a1efce4731292e,0, 
BUILD_FAILURE,4672,4672,1,aed807cd7d8b99d4858e01e3c85ccd317492e066,aed807cd7d8b99d4858e01e3c85ccd317492e066,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,4673,4685,13,2cff9e50b4f33a904381bae832f44c5639094a6c,fddb310b23086b22bc1ff76084ebc38fafeff459,0, 
BUILD_FAILURE,4686,4686,1,98c57ebd0a65900ddd8f9e5dafcd34a47ba438db,98c57ebd0a65900ddd8f9e5dafcd34a47ba438db,1,ProjectBuildingException1:1;
BUILD_SUCCESSFUL,4687,4691,5,91e4d98dcd19270c5ce6c346c0a95ba2694671f7,5bd2c7a3c6d319273ed9b5b4c74f506a82398e72,0, 
BUILD_FAILURE,4692,4693,2,924d651e9d0d1298a4a397f272b03bc95ab3ddeb,de9d7a40ff19b957f3952d768ec0d0ab9fea8225,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,4694,4717,24,69ae8b7754ef9920a6b9532d94405eac47d5d774,85d263f0f285596e1f060ce869ed77cd9cdf83cd,0, 
BUILD_FAILURE,4718,4718,1,4f33580f696fa34abcc0bcd737b751b82fea2a99,4f33580f696fa34abcc0bcd737b751b82fea2a99,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,4719,4719,1,289c48d48627f84b94cc26812cf5ba4960650ee9,289c48d48627f84b94cc26812cf5ba4960650ee9,0, 
BUILD_FAILURE,4720,4721,2,332963f20f0d9328e953632aad8535759684a85b,d5df383b6645901f840ea09289b54bc2aedc4fec,2,ArtifactResolutionException1:1;DependencyResolutionException2:1;
BUILD_SUCCESSFUL,4722,4770,49,6c9135bf008ea58d11cd1da0c59985cfd49cf900,b7f3355206efa88c2d6bd8efccc45e884f606c51,0, 
BUILD_FAILURE,4771,4772,2,cb26f396e827df358253b665781318677c87b401,4f05560fb248fac7322a1b534995efd96e2facfb,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,4773,4773,1,f22411900f1546cd71ef54c6761823c1ac414aa3,f22411900f1546cd71ef54c6761823c1ac414aa3,0, 
BUILD_FAILURE,4774,4777,4,098ad16d93dcc8d699738b5e240f38207e5d16bb,a985987446471c33b1f478f8e6c2f5f01460c840,1,DependencyResolutionException1:4;
BUILD_SUCCESSFUL,4778,4780,3,5e4813f3ad2769063a80b792fd0395d9ae2057e4,6de924486afafe0ad71cfca96dddc0046552fe53,0, 
BUILD_FAILURE,4781,4785,5,3cbd9656092362779d5c099fed3c5f7a54cbf2b9,6c277e5466d412d0cb72e93c21c3c73410191625,2,ArtifactResolutionException1:4;DependencyResolutionException2:1;
BUILD_SUCCESSFUL,4786,4786,1,045cb558ef6f531bcba18d4a0232ec2f7b3a9d52,045cb558ef6f531bcba18d4a0232ec2f7b3a9d52,0, 
BUILD_FAILURE,4787,4787,1,d8c5f095d0257f53ab5a7caf4e2757268f8ebe3b,d8c5f095d0257f53ab5a7caf4e2757268f8ebe3b,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,4788,4788,1,6e6727a3083af31ccc487d13b9f608bbe38a395e,6e6727a3083af31ccc487d13b9f608bbe38a395e,0, 
BUILD_FAILURE,4789,4789,1,695f620e4b0dc7b1f72a805f4c608c4cae1fbc36,695f620e4b0dc7b1f72a805f4c608c4cae1fbc36,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,4790,4790,1,d8d140a5d7c43d3e8d37f23245d5744c0e69f2c8,d8d140a5d7c43d3e8d37f23245d5744c0e69f2c8,0, 
BUILD_FAILURE,4791,4792,2,7d14fba80d4bd400004f6a206610eb3b5426d0c0,f6d14934039f7f606305331eccd0ba3abb4d4a0b,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,4793,4814,22,e2c1c464b039cc7eb5076c82ad6dd5001f518716,83f5a67ff4400d2d9fb22cb51e41ac9a069b30a3,0, 
BUILD_FAILURE,4815,4815,1,7687d31e8d6e8c0ee19e35ba6442b66d4e49f5b5,7687d31e8d6e8c0ee19e35ba6442b66d4e49f5b5,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,4816,4923,108,9f478ad662281341c4650a86c9749c1d67033d36,73704e2289d2f1dc2f30272bb0ff15f9a5f4d194,0, 
BUILD_FAILURE,4924,4930,7,1fb1e75794ba29877316c54fd9d910be2cc91b67,ca0589101f5c5d39f9817bbb6ea95fcfbb419f7e,1,MojoExecutionException1:7;
BUILD_SUCCESSFUL,4931,4956,26,99d42143f04a5616f9075c36e70ed94bc77a9838,fe212b9c43f83268beb3bac3a7d94ba95a81ce15,0, 
BUILD_FAILURE,4957,4957,1,fde061a66951b87bf88494de7f32d61ee177340f,fde061a66951b87bf88494de7f32d61ee177340f,1,DependencyResolutionException1:1;
