STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,3543abfa84d2c455dc03fbdcfb453831e5cbdab6,3543abfa84d2c455dc03fbdcfb453831e5cbdab6,0, 
BUILD_FAILURE,1,2,2,6534d8eb39f228b0ef474800e90b35888261c1fc,480d8a07f785080128b163b74c1d93aebb81cebb,1,ProjectBuildingException1:2;
BUILD_SUCCESSFUL,3,10,8,cf9ee0031507bd7e803a2e4fb662131bfa8b4c42,b6ba883c0db47414e7926565bdb83d950a60d19d,0, 
BUILD_FAILURE,11,14,4,0685fb3412932e9d80fa6184351998b1d9e7347e,bf3db7b272c7beedde4562b032f8974ce6259feb,1,ArtifactResolutionException1:4;
BUILD_SUCCESSFUL,15,17,3,ba9dcc9bed63121198998ffb1296528a0fc251c9,7f662cfbb192693ec68f8731ae7e230879ac66b9,0, 
BUILD_FAILURE,18,18,1,9e352d544135155e4b2d70d9789528cb7b7ca31c,9e352d544135155e4b2d70d9789528cb7b7ca31c,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,19,48,30,efafb080780aab577be46b8d32609174fb7578c6,79e5dc31ecce106a9c818a5a4fe58323c8299761,0, 
BUILD_FAILURE,49,50,2,054cf7ebe4867e519568e6b8da63b10b1ac8620c,2ea13c28f3f699d407b2e34dccd4f6c5c8c9f894,1,ProjectBuildingException1:2;
BUILD_SUCCESSFUL,51,51,1,384f27b686995d7801edb516a84af7a8518a5b24,384f27b686995d7801edb516a84af7a8518a5b24,0, 
BUILD_FAILURE,52,53,2,df11d7c471efe3bbfc7994fee458f6555f021f42,28db51c75c0f083b55465ee5ae67792eb7d26811,1,ArtifactResolutionException1:2;
BUILD_SUCCESSFUL,54,56,3,b2d422aee6be8721e25766646ec128124a1c41ac,a7737573d0ca7e6d41825a28b723587f3033eef3,0, 
BUILD_FAILURE,57,61,5,c4968e09bd79589ff37bc9dac4cc6daee8bf095e,fc804d142c3bbae2f4ebe98ff5cd58f7a3599eff,1,ProjectBuildingException1:5;
NO_POM,62,66,5,ce2f5f85b80463e83d7e41e6184bf3311cbca9b4,20f9b17971014ff0e0aa7b310ed97fb4f44f92fd,0, 
BUILD_SUCCESSFUL,67,79,13,dea52b170f1cb47cbacb10f50395370acf7d91ec,39bf20342e4c3f4668aba6e8c51deeb082037a5f,0, 
BUILD_FAILURE,80,99,20,752bf6edff0788f16faefa63664e1c83ac71754a,727457d57e7922da61c26686ac3be952353bb157,3,DependencyResolutionException1:4;ArtifactResolutionException2:9;DependencyResolutionException3:7;
BUILD_SUCCESSFUL,100,103,4,d1ea3fe1afea6bd4d16ca068856b5adec3c2e41d,0ca266b844756f787faaee96c0a6f57e44354df6,0, 
BUILD_FAILURE,104,105,2,1ea11ea0d57619d1fb1e62f8f9985194825dc852,2f7943b9a0ac30ce0b5cb298d8abf8064ad117b3,1,ArtifactResolutionException1:2;
