STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,2,3,c618a23a8c347aae542dbd7c9ce06cb218fa4c9d,78fa58343ba44f81f638ce5d165f0de2ac4121e9,0, 
BUILD_FAILURE,3,124,122,b6449c2156bda859747ef4a5f5ee230a8c181e1f,5c6ab774aed4f08d4451f37b40e6a36a32f1386b,5,PluginParameterException1:63;ArtifactResolutionException2:9;DependencyResolutionException3:48;ArtifactResolutionException4:1;DependencyResolutionException5:1;
BUILD_SUCCESSFUL,125,135,11,5d3c375a135e23909f8e791d18694ae2f95112e8,b778bc43a5fda7557526e9817bf479788a81ea43,0, 
BUILD_FAILURE,136,144,9,5519fbbdd96c604e96bb6fd1d96f29acdd1b8f04,7beb3cd0451d6a578bef59e73ea670e4557d262f,1,DependencyResolutionException1:9;
BUILD_SUCCESSFUL,145,154,10,f61ed2562c32dbeebe7f373baeda853358a0b75f,09f2fbe1139d4235884376405ae5dad604cf0571,0, 
BUILD_FAILURE,155,159,5,b2be6d5f029846705f9cd5dd51bc6e7ba8ccef23,58ce156b71188eba313accd8ad8b95c0fd5c0c44,1,DependencyResolutionException1:5;
BUILD_SUCCESSFUL,160,178,19,7826a78b68870156919df1b9c60e0dffbff85b02,8f0b7ff51d1f509e2998dfcb515866be71f5d7b8,0, 
BUILD_FAILURE,179,183,5,15337d639095a45802d638d85a870527f78c47a3,75c60a4d86741fffa1c7b69a94d918fab5e0f15c,1,ArtifactResolutionException1:5;
BUILD_SUCCESSFUL,184,196,13,c4c5403224b1de470e667613bb8ab396a9f54ed2,8cb46614e0f3e4e172275c0928a4501d16f0bdf9,0, 
BUILD_FAILURE,197,217,21,949965395c5cf8a509c8906107700e112ed60a9e,4495e2f8f22cf9c7e8f680b5f0dc39d0c346d863,2,ArtifactResolutionException1:1;DependencyResolutionException2:20;
BUILD_SUCCESSFUL,218,225,8,78351057af8b2273a1b26bac6f92f47d1d90cda3,1988dff28c970f475266ec841480f6b9ab102359,0, 
BUILD_FAILURE,226,226,1,defbd4c0d630e69c3e58bc76af30e6871e15252b,defbd4c0d630e69c3e58bc76af30e6871e15252b,1,InvalidPluginDescriptorException1:1;
BUILD_SUCCESSFUL,227,241,15,1e8a0803b00c652954137b5d51710f001844074c,dd742d1d42847ca5d964d8020857ff22ec95aa47,0, 
BUILD_FAILURE,242,251,10,d70d98b31f5c71038760869ac396dd37a4ae3fad,2e31e7734b499be561273d0954cdd0e4161173de,3,MojoFailureException1:3;ArtifactResolutionException2:5;MojoFailureException3:2;
BUILD_SUCCESSFUL,252,275,24,5948342a477100a84149910fe553f7c01c014ae5,23c1de6180afbeb748e4cd4dd1580c6607add3f1,0, 
BUILD_FAILURE,276,286,11,639756c9ccfa73f69a7c7f363e4f6ce71c58355f,8582903f274d759037f5474ff3f8f874a9590cbe,2,DependencyResolutionException1:9;ArtifactResolutionException2:2;
BUILD_SUCCESSFUL,287,305,19,6c66500143b7af2f5329c7c1341a636b6671a980,07e5ac2f5aaeb5d7b7d4c974854d19a1e38386eb,0, 
