STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,1,2,8138f2fd6f358d973c62be9e57aacdf47927d541,cd4d0f640657229e76e44c4475aa9fd5239fa7ae,0, 
BUILD_FAILURE,2,35,34,fec0e23e8f698c29e32b17c670eea0ee826a1df7,34d4b1634ca3aba623e11865936671525a734d80,2,ProjectBuildingException1:6;DependencyResolutionException2:28;
BUILD_SUCCESSFUL,36,44,9,848245eecc1aec6e51c267c03f891d2b26747377,139b7848440d7ff6912bc8ec0eeda2117c91db2f,0, 
BUILD_FAILURE,45,62,18,487ac8a6f0691862d85e7a6407da8cb6b1fc7802,f0da51edfb1ada9f44d896ab9d1fbd22c2879032,2,CompilationFailureException1:1;ArtifactResolutionException2:17;
BUILD_SUCCESSFUL,63,68,6,0de18660da7ad77fcd59c916de02dbc7a8f1e8c5,a484d0ae3b81c8c05705d610709d1f4bad412ba3,0, 
BUILD_FAILURE,69,288,220,4a0831639a11f50e7cf53099131088beedb57904,b28eae584554450b82b218bbe3408f25e181d39f,9,ProjectBuildingException1:18;DependencyResolutionException2:68;ArtifactResolutionException3:50;ProjectBuildingException4:1;PluginParameterException5:29;CompilationFailureException6:8;ProjectBuildingException7:13;PluginParameterException8:4;DependencyResolutionException9:29;
BUILD_SUCCESSFUL,289,392,104,0d7d31500634087e83b3c3132d36c0958bca39ea,5703ad860cee87c611f9ddd74a9b57ca8c96b566,0, 
BUILD_FAILURE,393,921,529,e53c8655b31f1a8294706f5f0409e81db58ecb45,73b09464e86256d14f7e37da2a3745341ee787e6,13,PluginParameterException1:171;CompilationFailureException2:2;PluginParameterException3:37;CompilationFailureException4:4;PluginParameterException5:24;CompilationFailureException6:1;PluginParameterException7:26;ArtifactResolutionException8:11;DependencyResolutionException9:194;ProjectBuildingException10:10;DependencyResolutionException11:6;ArtifactResolutionException12:5;DependencyResolutionException13:38;
BUILD_SUCCESSFUL,922,922,1,76d4faa68ca89da801954c95c0da938d136f5022,76d4faa68ca89da801954c95c0da938d136f5022,0, 
BUILD_FAILURE,923,923,1,52b08b12f317819a1af9db43f8a507bd1fd52d1c,52b08b12f317819a1af9db43f8a507bd1fd52d1c,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,924,924,1,61c981d2764b69251724a3d8537c74bedb034f04,61c981d2764b69251724a3d8537c74bedb034f04,0, 
BUILD_FAILURE,925,970,46,71e02dc73fb042b0174c71dd7cf7a87f32f58264,57e12c2a3fae6b487a90f564a3de163999f73b9f,1,DependencyResolutionException1:46;
BUILD_SUCCESSFUL,971,971,1,389f1155a231d309cf8c640acc93fd539ca9baa3,389f1155a231d309cf8c640acc93fd539ca9baa3,0, 
BUILD_FAILURE,972,972,1,b388caaf12a594849629d135fbbc0ed767176e41,b388caaf12a594849629d135fbbc0ed767176e41,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,973,973,1,387be4bf17debba22e0ff11b109408dd3fc48fe2,387be4bf17debba22e0ff11b109408dd3fc48fe2,0, 
BUILD_FAILURE,974,1021,48,3dc37892ebef8d043a44f5f6bf432fac6432aef0,fdda8168302e4f127836ecb248ecd02ab0717aa7,1,DependencyResolutionException1:48;
BUILD_SUCCESSFUL,1022,1022,1,b8e9c6e7d2f2867675f4a5ea5362e30438fad032,b8e9c6e7d2f2867675f4a5ea5362e30438fad032,0, 
BUILD_FAILURE,1023,1212,190,ac6e74db7b964553030d9055759033846da1dbf4,a0c63eedf4d8670114611be52c8e9b3a0d006eea,1,DependencyResolutionException1:190;
BUILD_SUCCESSFUL,1213,1213,1,cabbf75920489fd17d66f10f1d6aa5102271c46e,cabbf75920489fd17d66f10f1d6aa5102271c46e,0, 
BUILD_FAILURE,1214,1218,5,4c7ef0a8bd940372fb91a3620a1191fc83ddd32f,4f9708ba7e0c5ca5ec60e3ca10d429ed0019fe62,1,DependencyResolutionException1:5;
BUILD_SUCCESSFUL,1219,1219,1,4786faed7744f4ff36c23837046d0bd25cc7b84a,4786faed7744f4ff36c23837046d0bd25cc7b84a,0, 
BUILD_FAILURE,1220,1273,54,65a31891aa148b8bc629c4648bd4d5dde5b90f03,3efc34e9673206e1dcdd0ecd642d5a9ce00b1acf,1,DependencyResolutionException1:54;
BUILD_SUCCESSFUL,1274,1274,1,7ddd59531aef87ac4c3f16f2f55d1e5a5bf6f716,7ddd59531aef87ac4c3f16f2f55d1e5a5bf6f716,0, 
BUILD_FAILURE,1275,1299,25,cd426810ae880b81759fb45adff9d4c6f74dee57,f1ab0565bcffc2cefec3714c0e48b3300197d172,2,DependencyResolutionException1:17;MojoExecutionException2:8;
BUILD_SUCCESSFUL,1300,1300,1,b489180962ad6d4eba05d828e35800a4938c726b,b489180962ad6d4eba05d828e35800a4938c726b,0, 
BUILD_FAILURE,1301,1312,12,1ac3b666fd17fdea114d07503a3c5411e89aa44b,d9dd74ba5db238576e43ab5d7b4cde3566df0116,1,MojoExecutionException1:12;
BUILD_SUCCESSFUL,1313,1313,1,b03e8de90073ce4940f7a9264a8eba6a388d7132,b03e8de90073ce4940f7a9264a8eba6a388d7132,0, 
BUILD_FAILURE,1314,1314,1,12f289147184d6d5f90fbd04b8db712b81622388,12f289147184d6d5f90fbd04b8db712b81622388,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1315,1315,1,245c229828547757715d49d4d05a7499f0cd5554,245c229828547757715d49d4d05a7499f0cd5554,0, 
BUILD_FAILURE,1316,1316,1,2e8fb30d2fee72b492ee3136b010aee1c64693f1,2e8fb30d2fee72b492ee3136b010aee1c64693f1,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1317,1317,1,636de9cb80428d7fcf74d76dae52912b49282ca5,636de9cb80428d7fcf74d76dae52912b49282ca5,0, 
BUILD_FAILURE,1318,1318,1,99692d714f43a6fd22dfad2c191ea25df9c51e62,99692d714f43a6fd22dfad2c191ea25df9c51e62,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1319,1319,1,08fbc85b8b448f164f3cc6cd709fcd9c33632629,08fbc85b8b448f164f3cc6cd709fcd9c33632629,0, 
BUILD_FAILURE,1320,1320,1,c7868129ed2a6099380e94fc54eb3075dad9cdc9,c7868129ed2a6099380e94fc54eb3075dad9cdc9,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1321,1326,6,d8c575041b3d5c54cf439068a14691f830a2cd49,b15bc2c792fcc197c520ad41d0d01bc8e78a1e61,0, 
BUILD_FAILURE,1327,1327,1,171b07d965b0ff0aa6fcc8fa7c1e23a99f0debbe,171b07d965b0ff0aa6fcc8fa7c1e23a99f0debbe,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1328,1328,1,95fb82c653f3a18b4e4ccb47c1b612261d15c70b,95fb82c653f3a18b4e4ccb47c1b612261d15c70b,0, 
BUILD_FAILURE,1329,1329,1,75c6b52cdae4e1d3284bf653a2fc2d75518ed042,75c6b52cdae4e1d3284bf653a2fc2d75518ed042,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,1330,1330,1,e24cc4092d3d909a563266b783a8b8a2d7c9bdad,e24cc4092d3d909a563266b783a8b8a2d7c9bdad,0, 
BUILD_FAILURE,1331,1331,1,127e8539fa916401d929abc577ed4bc63ef03628,127e8539fa916401d929abc577ed4bc63ef03628,1,MojoExecutionException1:1;
