STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,2,3,8bc1dee309f52c765e17fe42dc0ae43244ea4e5c,16b9240d2dfb46e20f28c8a7bb835dfe765e7ab4,0, 
BUILD_SUCCESSFUL,3,3,1,efd609b3dd48054c2ab83970901b70e2826115f2,efd609b3dd48054c2ab83970901b70e2826115f2,0, 
BUILD_FAILURE,4,10,7,23e0a7603c5934a607a4979085ac32e879c1d05c,c9258138de8ba51d4c6c4c88a0dc2a32e2d55462,3,ProjectBuildingException1:1;CompilationFailureException2:3;DependencyResolutionException3:3;
BUILD_SUCCESSFUL,11,75,65,100dca18879d5d3eac005aa89e8d0baaff88827f,c36b3c9b54419b66bef51287a99d3c5d815506b3,0, 
BUILD_FAILURE,76,86,11,52331879c09d59a300f7c44d5c1e19da134163ec,b84c930fa89a20d0436e09ba58df1c7c84932f5a,2,ArtifactResolutionException1:8;DependencyResolutionException2:3;
BUILD_SUCCESSFUL,87,87,1,444f66a408366fb46ff6ee5b7b3366b52be69f99,444f66a408366fb46ff6ee5b7b3366b52be69f99,0, 
BUILD_FAILURE,88,90,3,c002eaa60aaace2dac82103d2e764fc2c4140542,5523b3cfde7617cf85adfb540f3e2c9cb50ac0d1,1,DependencyResolutionException1:3;
BUILD_SUCCESSFUL,91,91,1,47de8c97903c4c366221d02c99769324f96ae893,47de8c97903c4c366221d02c99769324f96ae893,0, 
BUILD_FAILURE,92,121,30,7bcb7a43e1af8425184382e65cedc624256e5d24,0871f44096a91ea2d9b3a1e1e8c5cba54ff0b15d,2,DependencyResolutionException1:29;ArtifactResolutionException2:1;
BUILD_SUCCESSFUL,122,122,1,f5e573b866c51fe53a2cc4dafccf76a821b8cc2d,f5e573b866c51fe53a2cc4dafccf76a821b8cc2d,0, 
BUILD_FAILURE,123,128,6,8e719ca3493346469b5a197b328044c7ef23f8b8,0e2633cb7b9b9b1795ddac84c14b53196b4efbcd,2,ArtifactResolutionException1:4;DependencyResolutionException2:2;
BUILD_SUCCESSFUL,129,133,5,18bee13259a50aff324a7958b8cdfde05664a1d9,e2659e967803785b8a77a820f0e74f06183fd2f5,0, 
BUILD_FAILURE,134,135,2,638c6f2a97c2e42e7cb16b53c43466ba558330a9,f41f48baf56e123ba9f4c2b0d5c2a4a39e32afae,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,136,153,18,fc9b01fbfeffb3d0e44b16ec753da76ce2e2cd46,f90c9caf5c50b6ef54bde3c6d136fa329ae0d97b,0, 
BUILD_FAILURE,154,158,5,ac576f24665a1327df0bd4ff72ded01b62e093b5,ba9cb0d652442fc500dda826f36bc7eb35b32711,1,ArtifactResolutionException1:5;
