commitID;commit-type;time-to-next-release;commit-message
7e8c90ad4d8002bd2bee591b7507c1a640a8822f;BREAKING_FIX;14;o adding a parent POM for remote resources bundles o using parent in the apache resources bundle git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@476914 13f79535-47bb-0310-9956-ffa450edef68
21781640df275c7de23555b13df5c1a3e726e879;BREAKING_CHANGES;5;o separating out the license heading into a separate resource bundle git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@480171 13f79535-47bb-0310-9956-ffa450edef68
488b39eea0c547c846d525eafd4058c822a4d33a;BREAKING_FIX;5;git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@480173 13f79535-47bb-0310-9956-ffa450edef68 
649dae8a95d838567d63c3a2391922d6581925f2;BREAKING_CHANGES;184;new parent git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@744363 13f79535-47bb-0310-9956-ffa450edef68
e08d5c16befe8057940f6fcb1fb4189c344a3755;BREAKING_FIX;68;moving to maven-parent 12 and adding apache-source-release-assembly-descriptor to prepare for release vote for this POM. git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@805105 13f79535-47bb-0310-9956-ffa450edef68
da89f22f6b75cfe30bfed3e35e5e0957dcefb0ad;BREAKING_CHANGES;68;Prepare for release deployment git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@805106 13f79535-47bb-0310-9956-ffa450edef68
90328f429202d1e88e44c636301421761739427d;BREAKING_FIX;68;Rolling back until I can get permissions for deployment straightened out enough to stage a release and call a vote. git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@805110 13f79535-47bb-0310-9956-ffa450edef68
8874a312f1dba945cc9ba6fde08847f4dea45daf;BREAKING_CHANGES;68;updating groupId to get away from polluting org.apache groupId, and leave it to listing TLPs git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@805154 13f79535-47bb-0310-9956-ffa450edef68
e8aa707d48e37a310d9b8e716ccec3fd448f5d4d;BREAKING_FIX;68;moving IT dependencies to profile since they're still in snapshots. This is consistent with the way maven core's ITs are run. git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@805164 13f79535-47bb-0310-9956-ffa450edef68
efa3c56cd29a9b681abbdd4f852329e2ec2c81bd;BREAKING_CHANGES;1;add an aggregator pom git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1355887 13f79535-47bb-0310-9956-ffa450edef68
7107b951d830c7bdb1aa958c747d5d44d291b2c2;BREAKING_FIX;1;fix parent relative path git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1355892 13f79535-47bb-0310-9956-ffa450edef68
4ff9273a69723a5bfc66e061ba049b3531e47526;BREAKING_CHANGES;962;[maven-release-plugin] prepare release apache-resource-bundles-4 git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1356768 13f79535-47bb-0310-9956-ffa450edef68
d919e208c4208a78d685bfa4a4e2a1793538ad36;BREAKING_FIX;939;removed duplicate properties element git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1365976 13f79535-47bb-0310-9956-ffa450edef68
e2db6596dfab4d6d49d6325fd0cd3a2f5a4a7475;BREAKING_CHANGES;634;updated parent pom git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1486521 13f79535-47bb-0310-9956-ffa450edef68
1ca234ce2d449efa3443d67d9483503f71d3172e;BREAKING_FIX;160;Use a released version of maven-parent. git-svn-id: https://svn.apache.org/repos/asf/maven/resources/trunk@1624782 13f79535-47bb-0310-9956-ffa450edef68
