STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,392edef5b349d7cce3b8dce818e19723d9400124,392edef5b349d7cce3b8dce818e19723d9400124,0, 
BUILD_SUCCESSFUL,1,5,5,7e8c90ad4d8002bd2bee591b7507c1a640a8822f,dc902d234d531363ac4d55a2471eceee029def38,0, 
BUILD_FAILURE,6,6,1,21781640df275c7de23555b13df5c1a3e726e879,21781640df275c7de23555b13df5c1a3e726e879,1,ProjectBuildingException1:1;
BUILD_SUCCESSFUL,7,43,37,488b39eea0c547c846d525eafd4058c822a4d33a,702e366d654f18b5ca8834a01cc904a6962f0851,0, 
BUILD_FAILURE,44,52,9,649dae8a95d838567d63c3a2391922d6581925f2,dd16465d00260aec3f9235d0d7f4de38584fb710,1,ArtifactResolutionException1:9;
BUILD_SUCCESSFUL,53,53,1,e08d5c16befe8057940f6fcb1fb4189c344a3755,e08d5c16befe8057940f6fcb1fb4189c344a3755,0, 
BUILD_FAILURE,54,54,1,da89f22f6b75cfe30bfed3e35e5e0957dcefb0ad,da89f22f6b75cfe30bfed3e35e5e0957dcefb0ad,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,55,55,1,90328f429202d1e88e44c636301421761739427d,90328f429202d1e88e44c636301421761739427d,0, 
BUILD_FAILURE,56,58,3,8874a312f1dba945cc9ba6fde08847f4dea45daf,4c432256b730a6e6b458d3692bca00b958e15858,2,ArtifactResolutionException1:2;DependencyResolutionException2:1;
BUILD_SUCCESSFUL,59,92,34,e8aa707d48e37a310d9b8e716ccec3fd448f5d4d,2df96e71c34652b97fdda96dc22735f476503560,0, 
NO_POM,93,93,1,39589286f89d5b0ef24dfa697056c36c367daf31,39589286f89d5b0ef24dfa697056c36c367daf31,0, 
BUILD_FAILURE,94,96,3,efa3c56cd29a9b681abbdd4f852329e2ec2c81bd,361feae68e11523cf3f340f9cf65062318fdf243,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,97,105,9,7107b951d830c7bdb1aa958c747d5d44d291b2c2,44d241a412f3c5b3c3aa8b93f1ee173119dcd373,0, 
BUILD_FAILURE,106,126,21,4ff9273a69723a5bfc66e061ba049b3531e47526,6ae5f4f3e1f111d4c4145703c4f0e50d1bf84d4a,2,ArtifactResolutionException1:19;ModelParseException2:2;
BUILD_SUCCESSFUL,127,127,1,d919e208c4208a78d685bfa4a4e2a1793538ad36,d919e208c4208a78d685bfa4a4e2a1793538ad36,0, 
BUILD_FAILURE,128,146,19,e2db6596dfab4d6d49d6325fd0cd3a2f5a4a7475,ed7e1771680b318c75ad9b93b0a9d780dc554646,1,ArtifactResolutionException1:19;
BUILD_SUCCESSFUL,147,148,2,1ca234ce2d449efa3443d67d9483503f71d3172e,572d1b51923387c11c478057b10792c266dfe840,0, 
