STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,19,20,f1f2cb546a5a35518150aface0f287c4cf9c2fe6,1106b3aac0b16f42058f7dc0fb723b02f50e23ec,0, 
BUILD_FAILURE,20,212,193,c72a263c2495b63585ac5ef76de5c49d48671e41,4ecc03d92968297198b65d2ad21aaa1ced69e424,4,ModelParseException1:173;ArtifactResolutionException2:8;ModelParseException3:7;DependencyResolutionException4:5;
BUILD_SUCCESSFUL,213,214,2,3497fc17c11a179fe31ab6c1b5f7540b8bac846b,6a263bbe6f1148827d37efd51fe28fde242f4cc0,0, 
BUILD_FAILURE,215,227,13,91a4bb944d82abbaf0ddaeba72ac3eb954f70452,3b412df60e3b2e8d5d7b410dda14f15b0e8637ae,2,ArtifactResolutionException1:1;DependencyResolutionException2:12;
BUILD_SUCCESSFUL,228,301,74,22e35bf4df982c4e145e5a7e6553fcb3fa65fad7,02d30f2522568e71925a5acdae0d2091c2b26a15,0, 
BUILD_FAILURE,302,307,6,9edf9746987a3b631ab0ca6db622448aa6ed5482,eb2ee221b5c3dff2ab3c544f176c5bba2f8de7ad,1,DependencyResolutionException1:6;
BUILD_SUCCESSFUL,308,308,1,bdc2b31d93b6d5f62f5479280ef98ae50f0076b5,bdc2b31d93b6d5f62f5479280ef98ae50f0076b5,0, 
BUILD_FAILURE,309,310,2,afa2d879aa91ffe2fd5288b61b7880f3c269c8cf,f25341ac1767063271e79af1d21621748befe1cf,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,311,377,67,fcfd594bdbf2438f243cd1d8c82b2728a2edb050,749f0408d24f36324ba352174b17680a997a20d8,0, 
BUILD_FAILURE,378,380,3,573ce5508c729f2cdff2fc57634c6ad907675262,dbba1f22ceaf43f641a9767bde42f25527ba18dd,1,CompilationFailureException1:3;
BUILD_SUCCESSFUL,381,399,19,8811d33a0d00a4e36ede817b32c5d40fa88381f1,d06f9c63c153ce1939c78b8a716f40a090d33494,0, 
BUILD_FAILURE,400,404,5,44fbb6f1c129e7871fc21bfd7c90ae2e9df5df2b,518a9d9cffc067153810aec6ac787c72227ab6dc,1,CompilationFailureException1:5;
BUILD_SUCCESSFUL,405,416,12,580d250fd6eb77163c38dada501a7c02fc956ab7,12eb37cc580ab72d5ff51a66ef1cfd77d357af44,0, 
BUILD_FAILURE,417,417,1,2a69b4b01d696135e2b0a42174e32961a28c3adf,2a69b4b01d696135e2b0a42174e32961a28c3adf,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,418,428,11,8a68b1cc58ec3db015fac73ad6d032a75c974653,f87f96252bf38eccaf141707ce135657a05a3577,0, 
