commitID;commit-type;time-to-next-release;commit-message
60e0d8cadcba55ec6010182a5d2813e515688a67;BREAKING_CHANGES;36;make layout consistent git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@331622 13f79535-47bb-0310-9956-ffa450edef68
be04bfd496227de8f7a959091d3d2a3e1884fd90;BREAKING_FIX;19;move unreleased modules into a sandbox for now git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@348690 13f79535-47bb-0310-9956-ffa450edef68
611bf94d5838bd3b7602ae7102305045a1f38f62;BREAKING_CHANGES;9;o updating the groupId to reflect our best practices git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@353895 13f79535-47bb-0310-9956-ffa450edef68
60d131f864706ad4f91221545919f94f4b60cc2d;BREAKING_FIX;2;Use new groupid for surefire git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@356067 13f79535-47bb-0310-9956-ffa450edef68
c3dd03e6531d6f6524f072c630166ff394c58dfc;BREAKING_CHANGES;0;[maven-release-plugin] prepare release surefire-1.5 git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@356687 13f79535-47bb-0310-9956-ffa450edef68
dfb30428b98eb32f637006780b92555491e73502;BREAKING_FIX;0;o removing uneeded deps o using release of surefire git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@356691 13f79535-47bb-0310-9956-ffa450edef68
082ab05552b7fdf9a5a24408d6332ba2a522a434;BREAKING_CHANGES;84;[maven-release-plugin] prepare release surefire-1.5.2 git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@367326 13f79535-47bb-0310-9956-ffa450edef68
88d25b52e516344834e9c7c1690b68dda54e6028;BREAKING_FIX;84;removing snapshots git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@367329 13f79535-47bb-0310-9956-ffa450edef68
81ae68a80d50f829f7873d9abb3e1d88386f19a9;BREAKING_CHANGES;0;[maven-release-plugin] prepare release surefire-1.5.3 git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@391188 13f79535-47bb-0310-9956-ffa450edef68
19b206106f79c1ad66848715183460fd0bb0674c;BREAKING_FIX;0;Upgrade surefire dependency git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@391192 13f79535-47bb-0310-9956-ffa450edef68
2bf66c58181a85c4ae1260153f116c34a60a5810;BREAKING_CHANGES;39;Use maven parent pom git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@391460 13f79535-47bb-0310-9956-ffa450edef68
a74e1bf6ff76d3ffb8e2757b8d76f8084e850349;BREAKING_FIX;12;upgrade to release of test NG git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@398554 13f79535-47bb-0310-9956-ffa450edef68
393879d9d20cff9967a89377369dce72e7ee9a47;BREAKING_CHANGES;70;Moved maven-surefire-plugin and maven-surefire-report-plugin to surefire git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@489090 13f79535-47bb-0310-9956-ffa450edef68
b5bcccf7024be1bc3ae03033092b43768a08f629;BREAKING_FIX;0;fix versions git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@513093 13f79535-47bb-0310-9956-ffa450edef68
568a5701f0d7e09e3df048c4dc585e435fd99bb8;BREAKING_CHANGES;288;o prepare for 2.3.1 git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@513610 13f79535-47bb-0310-9956-ffa450edef68
73fb2d23c1292a8d482e710acb2def4e73bcccb6;BREAKING_FIX;288;update version git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@513611 13f79535-47bb-0310-9956-ffa450edef68
623ca78a1c3d5bd1df26a7580121e6bf3f3eef2a;BREAKING_CHANGES;287;Removing surefire-specific Commandline, since it duplicated plexus-utils version, and was dependent on a (deprecated) protected FIELD in the plexus-utils version. Tested this against a build of plexus-utils, and verified that the p-u build was using the newest build of the surefire plugin. git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@513934 13f79535-47bb-0310-9956-ffa450edef68
00f774691bb22f13b46b6b671d9631925142c75b;BREAKING_FIX;109;[SUREFIRE-316] Upgrade plexus-utils to solve an IllegalArgumentException git-svn-id: https://svn.apache.org/repos/asf/maven/surefire/trunk@570170 13f79535-47bb-0310-9956-ffa450edef68
