STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,88,89,51b1681a52e249b192da1176a268a6c3d77f7ca3,a8982a77564ab7a6c92ed9e84081a276c785732a,0, 
BUILD_FAILURE,89,94,6,60e0d8cadcba55ec6010182a5d2813e515688a67,08563517131d50eacbcdbd0a06e3c4d06240a509,1,ModelParseException1:6;
BUILD_SUCCESSFUL,95,115,21,be04bfd496227de8f7a959091d3d2a3e1884fd90,61ee83ead149af1c4a1a552b6b50df9ce8ce6b70,0, 
BUILD_FAILURE,116,121,6,611bf94d5838bd3b7602ae7102305045a1f38f62,96fb7635b817afb74b8b9b05a7bd85c98aa4a672,1,DependencyResolutionException1:6;
BUILD_SUCCESSFUL,122,128,7,60d131f864706ad4f91221545919f94f4b60cc2d,ca8d86440b474d6edd07f379c78f8de517c5561c,0, 
BUILD_FAILURE,129,130,2,c3dd03e6531d6f6524f072c630166ff394c58dfc,dbd5277d2e1696e610837d20fa4324ede9452135,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,131,153,23,dfb30428b98eb32f637006780b92555491e73502,fa87d391e14b79d701fac6c944452cedac4694ff,0, 
BUILD_FAILURE,154,155,2,082ab05552b7fdf9a5a24408d6332ba2a522a434,4776e7bdd80812f38c997a127b3e5da6c1e6a524,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,156,175,20,88d25b52e516344834e9c7c1690b68dda54e6028,43ec9ce00b24b70c541755e8e91ed90ff0100c8c,0, 
BUILD_FAILURE,176,177,2,81ae68a80d50f829f7873d9abb3e1d88386f19a9,e7421e7caed156e5cfdf71536ec4bbde2cb604a1,1,DependencyResolutionException1:2;
BUILD_SUCCESSFUL,178,180,3,19b206106f79c1ad66848715183460fd0bb0674c,81322b6b772fa038200e9d4e43faa48f3dde3381,0, 
BUILD_FAILURE,181,210,30,2bf66c58181a85c4ae1260153f116c34a60a5810,dedf88aaa540a598fc708a09af3420a6c9589b73,2,ArtifactResolutionException1:25;DependencyResolutionException2:5;
BUILD_SUCCESSFUL,211,245,35,a74e1bf6ff76d3ffb8e2757b8d76f8084e850349,30858ea92f7390e9d099515aac572ebf36b80a27,0, 
