STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,99373ab3a0abb5de9d8ab6f276a4ee666a7dd4bd,99373ab3a0abb5de9d8ab6f276a4ee666a7dd4bd,0, 
BUILD_FAILURE,1,538,538,6105e846f88d416f46026458a16f772d922d5a8e,2ddcadf2a86067ff24db66f5a04f646f5caa3961,13,PluginContainerException1:36;ModelParseException2:7;ArtifactResolutionException3:3;ProjectBuildingException4:3;PluginContainerException5:299;ProjectBuildingException6:2;PluginContainerException7:25;ProjectBuildingException8:10;PluginContainerException9:23;ProjectBuildingException10:67;DependencyResolutionException11:57;ArtifactResolutionException12:1;DependencyResolutionException13:5;
BUILD_SUCCESSFUL,539,547,9,3b5faa34303accfd05a135c20423f150c0009643,95643f4cc1fe92f3a6704bd2f7fa0c3c6deec5e4,0, 
BUILD_FAILURE,548,548,1,06b5e0be227b34a5a3ca82f8f47d138c04962e46,06b5e0be227b34a5a3ca82f8f47d138c04962e46,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,549,567,19,2c0dbb41784eb758b9156b17c67ec8a566a207ef,8dc241a8e44460796e56a4ff06c9103c9147d61d,0, 
BUILD_FAILURE,568,570,3,5ce977150d3dcb34e4a13cd5d5cb3222cc72bbb6,35496dd4951bc9b90312251f6164a0eaf8750c6e,1,MojoFailureException1:3;
BUILD_SUCCESSFUL,571,572,2,464de70d166f71b96a2526eaa0e071d8ff422b25,2398cced1fef201ec8d263d518505aa0cbf03d1f,0, 
BUILD_FAILURE,573,574,2,66c557637e032c7bb1460e9fc9a3b7d008b76ea4,b431befa79163d992cc05152866cce43a7929d9a,1,MojoFailureException1:2;
BUILD_SUCCESSFUL,575,599,25,8ec91fc6d9ec49cc2396ba54eac050cfd4b3689c,7045da807f7fc973259783c787c5ab96f9928044,0, 
BUILD_FAILURE,600,665,66,8bea48b980741c288a4a99995fc15b3c7a00e64d,544ebbe97cd57d8dd220f4675c148a11c81f0afe,5,MojoFailureException1:6;DependencyResolutionException2:6;MojoFailureException3:2;DependencyResolutionException4:20;ArtifactResolutionException5:32;
BUILD_SUCCESSFUL,666,674,9,662f1c87a6ee97ac93852b85b9eb760d45d21269,970ecf0bf876cbbf53301161b824fbc6b6cb162b,0, 
BUILD_FAILURE,675,677,3,da9c62b769e3a3912ade2b732e7295256521d4c7,4d1346d89615e92cd77914188fdb4da33a53b505,1,DependencyResolutionException1:3;
BUILD_SUCCESSFUL,678,684,7,66b621f546402221c6d81fe1cb52b74f665bda4e,79c0875564fa096b7d0489f21092cbf73564c5bb,0, 
BUILD_FAILURE,685,704,20,c66beccf0dd10be25a848c38bb4c7f4c9970c5ab,c90e6519dc973f23c70ef8633c704903e4aee2e4,1,DependencyResolutionException1:20;
BUILD_SUCCESSFUL,705,793,89,0d80652b182dae75ee3106406fd82d2a96799439,da88da573424cef2063a0ccd79fbd32e24d32c7c,0, 
BUILD_FAILURE,794,806,13,793d68ff39cb808392cfea3daf7ac5ab9deb19b7,947a197ea08dfcfb2c037b86967903252c1793cf,3,ProjectBuildingException1:1;DependencyResolutionException2:2;ProjectBuildingException3:10;
BUILD_SUCCESSFUL,807,809,3,7f9c3ff3eab6140588e3482aefbccd884baba2eb,72d96f13234ab9753aa7dd54b0757e901d8a7397,0, 
BUILD_FAILURE,810,817,8,9403562b03f6261e2f297650154147f23b1423b5,7b6fb91db1fe3eb33b73940d01ca18d31a9e6e9b,2,ProjectBuildingException1:1;DependencyResolutionException2:7;
BUILD_SUCCESSFUL,818,838,21,01da989c92abafa0585721e57a00b100ccbd3ed2,b10810790130f887d3a43dcc1fdc294c9744725b,0, 
BUILD_FAILURE,839,842,4,cf907c68d1fd58722144f71871aafe9e94c2da75,a42c1784922b2f76a2b9c4c0735007f9f8f6fb0c,1,DependencyResolutionException1:4;
