commitID;commit-type;time-to-next-release;commit-message
c5feb0b82365edcd5519ea65b7e510adc5379cbe;BREAKING_CHANGES;34;#ODFTOOLKIT-290# Consolidate build of ODFToolkit sub-projects.[Developer:Yegor Kozlov,Devin Reviewer:Devin]git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1185039 13f79535-47bb-0310-9956-ffa450edef68
0283dc49cf4b1d8e849a792b258c18d9746375a7;BREAKING_FIX;216;#ODFTOOLKIT-318# Fresh build of validator does work with Maven 3.0.4 git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1347582 13f79535-47bb-0310-9956-ffa450edef68
00dcddf293fdd4e02d50b7df78c77c950c451e33;BREAKING_CHANGES;153;Enable Table of Contents generation in Simple API. JIRA: ODFTOOLKIT-329 Patch by: DaLi Liu git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1371419 13f79535-47bb-0310-9956-ffa450edef68
c500afdc6bad63c2eaa1d68f3291fbee6260d6a9;BREAKING_FIX;148;Enable AbstractListContainer.getListIterator() to handle lists in sections, etc. JIRA: ODFTOOLKIT-331 Patch by: Nick de Graeve git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1372961 13f79535-47bb-0310-9956-ffa450edef68
2589f1671ad6425de3c94df366c8f8d50e179921;BREAKING_CHANGES;85;Fix for OFFICE-326 Patch by: Florian Hopf git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1398965 13f79535-47bb-0310-9956-ffa450edef68
9cc0de725c404594e9340bea56f006d107fbacd7;BREAKING_FIX;65;Fix for ODFTOOLKIT-338, The Value of VariableField always is "" when try to get a VariableField instance by TextDocument.getVariableFieldByName(String) https://issues.apache.org/jira/browse/ODFTOOLKIT-338 git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1406031 13f79535-47bb-0310-9956-ffa450edef68
2da9ebf749f8e8e4cab62397e7568d23520cbf31;BREAKING_CHANGES;47;prepare 0.6 RC1 git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1431222 13f79535-47bb-0310-9956-ffa450edef68
3a7268c02a7d5f44eee35211fd92a08a37e0c8e5;BREAKING_FIX;47;prepare for 0.6-incubating RC1 git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1431231 13f79535-47bb-0310-9956-ffa450edef68
a036562cb69aeefd5950a082fb5833f4f3761468;BREAKING_CHANGES;18;fix for ODFToolkit-351, patched by KeJiaYe git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1443861 13f79535-47bb-0310-9956-ffa450edef68
3a21bbef852ccfc0b0cd902a3817810625c8b641;BREAKING_FIX;18;missing files for 351 git-svn-id: https://svn.apache.org/repos/asf/incubator/odf/trunk@1444070 13f79535-47bb-0310-9956-ffa450edef68
