STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,570,571,3889242016ca4c61cb1e636816ef9e63f7d7b8cc,cfc5d4867f39e0a1ed5b5079eed0060b5e5a6bfd,0, 
BUILD_FAILURE,571,637,67,c5feb0b82365edcd5519ea65b7e510adc5379cbe,6a436b4640bbf7d1003b4a39f329708da4769b10,4,MojoFailureException1:5;ArtifactResolutionException2:1;MojoFailureException3:56;PluginExecutionException4:5;
BUILD_SUCCESSFUL,638,639,2,0283dc49cf4b1d8e849a792b258c18d9746375a7,d541a11e3f925a2ee5bbee9389c5c660ed875548,0, 
BUILD_FAILURE,640,640,1,00dcddf293fdd4e02d50b7df78c77c950c451e33,00dcddf293fdd4e02d50b7df78c77c950c451e33,1,MojoExecutionException1:1;
BUILD_SUCCESSFUL,641,649,9,c500afdc6bad63c2eaa1d68f3291fbee6260d6a9,8b4e9532272283022e884699b9e8e0cde4e50931,0, 
BUILD_FAILURE,650,650,1,2589f1671ad6425de3c94df366c8f8d50e179921,2589f1671ad6425de3c94df366c8f8d50e179921,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,651,671,21,9cc0de725c404594e9340bea56f006d107fbacd7,07e5215999039757db8bc918e449225af4719f4d,0, 
BUILD_FAILURE,672,672,1,2da9ebf749f8e8e4cab62397e7568d23520cbf31,2da9ebf749f8e8e4cab62397e7568d23520cbf31,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,673,676,4,3a7268c02a7d5f44eee35211fd92a08a37e0c8e5,b93a02fd47237d6049b00d59f142ebd051b56413,0, 
BUILD_FAILURE,677,677,1,a036562cb69aeefd5950a082fb5833f4f3761468,a036562cb69aeefd5950a082fb5833f4f3761468,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,678,725,48,3a21bbef852ccfc0b0cd902a3817810625c8b641,0610e68c062d9cddabe2e518d0ee0960cd50dcdf,0, 
