STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,e48a7fee48d290d5acf001572b5739fa532e3d85,e48a7fee48d290d5acf001572b5739fa532e3d85,0, 
BUILD_SUCCESSFUL,1,105,105,9c6e200edbeb1165b333cd698d51647d5a7184b8,cb07ded0cb722f9e57492cf0fdf04e58aa5cbcc3,0, 
BUILD_FAILURE,106,106,1,aa80231bcaf9275c747c35df0a301d7bfc888fc8,aa80231bcaf9275c747c35df0a301d7bfc888fc8,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,107,125,19,381b41703576dd08f04bca911f4b07d2fe2c3196,1a6a548863821a70d370827a2a5a74cc1a08ff66,0, 
BUILD_FAILURE,126,126,1,2e33a68bf4b52a8e573c8505c1199e99ae89f8f5,2e33a68bf4b52a8e573c8505c1199e99ae89f8f5,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,127,287,161,2f77689c720ad48f29a060364c7f476de98ad619,a57926bf8d76bbb8772079eaf3ae15ec89889de5,0, 
BUILD_FAILURE,288,288,1,259eb07851593ba863ac820c2fa2e40d5e792b56,259eb07851593ba863ac820c2fa2e40d5e792b56,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,289,309,21,f57c9f041cf31a861d0999df98c1988b5d4bac4e,46a34178253d4a9d106d4d728f8ad812db05592a,0, 
BUILD_FAILURE,310,310,1,70afb2acc50aef1270858bad75eb8dc125b08c3f,70afb2acc50aef1270858bad75eb8dc125b08c3f,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,311,337,27,634d75b7993d0b4ec6221ac6b2e13e6edd9d31de,32c113df0b88069f130c6ebb4d40cb8f54149579,0, 
BUILD_FAILURE,338,338,1,6383ab0b12ccc6a7caca0382d92980c8a524946c,6383ab0b12ccc6a7caca0382d92980c8a524946c,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,339,339,1,aff42fcee5e189d5cc506ff1cdc05421528fbeb5,aff42fcee5e189d5cc506ff1cdc05421528fbeb5,0, 
BUILD_FAILURE,340,340,1,811fff545c64364d66af0d8f4ba6e57f585479d3,811fff545c64364d66af0d8f4ba6e57f585479d3,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,341,370,30,233651a8bf9512592a1904f74c05d4b6071af0ba,dfe68e67f2b490a8641d26d013c2c05a559567e7,0, 
BUILD_FAILURE,371,371,1,aa0c5713c78385c633c1d2e4c144c0790e3b45de,aa0c5713c78385c633c1d2e4c144c0790e3b45de,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,372,384,13,95a13a4bb50017039e35a754074e5a36579edaea,a9ec75991f5c522bd57771e3fb48ff9d8e583b2c,0, 
BUILD_FAILURE,385,385,1,984ca3412b5fccc63c749b1a9f3fd8771e8342bf,984ca3412b5fccc63c749b1a9f3fd8771e8342bf,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,386,393,8,c58109466fec654dde0b29567d2b213a90a57b80,b8918211533fcf79162bf222caf18f8176c0b1e2,0, 
BUILD_FAILURE,394,531,138,5ab4bdc922720e45e26b126bc3979183ba7007eb,da4d754892c3227437f3c50dfd5de9777dc9631b,3,MojoExecutionException1:95;DependencyResolutionException2:1;MojoExecutionException3:42;
