commitID;commit-type;time-to-next-release;commit-message
579f5a16fa4acd735c1e2826b3e0811b3b58ebb5;BREAKING_FIX;1086;first checkin of the project dirs structure git-svn-id: https://svn.apache.org/repos/asf/labs/amber@903819 13f79535-47bb-0310-9956-ffa450edef68
1f795c4dca407a45233fb495d55f1204a5813aad;BREAKING_CHANGES;923;successfully integrated the API specifications in the concrete implementation tests started working -YAHOOOOOO!!! git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@962588 13f79535-47bb-0310-9956-ffa450edef68
651f3178fc81f5e81942e48df45252dd7e747629;BREAKING_FIX;869;[AMBER-5] Removing unused stale CredentialsStorage class git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@991452 13f79535-47bb-0310-9956-ffa450edef68
ecff605a41fa4b50bc1a5bb8de47f64dec1d66b4;BREAKING_CHANGES;372;updated spring framework version git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@1230074 13f79535-47bb-0310-9956-ffa450edef68
43bf61e865bdc7bb00bf89f7fb806437adc7c8ae;BREAKING_FIX;372;cleaned up oauth 2.0 POMs git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@1230083 13f79535-47bb-0310-9956-ffa450edef68
e2bb393c11a9934946ef34730f969b09a011c6f0;BREAKING_CHANGES;198;`sources-dist` module can now be managed git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@1356664 13f79535-47bb-0310-9956-ffa450edef68
1f6dc864f9b25bfe2cf7ff5236018e9597593f0a;BREAKING_FIX;196;fixed assembly version - thanks Antonio git-svn-id: https://svn.apache.org/repos/asf/incubator/amber/trunk@1357593 13f79535-47bb-0310-9956-ffa450edef68
f153671c0717ea451abaf568033522d829ed7d3b;BREAKING_CHANGES;44;[OLTU-88] Extract the parent pom from the reactor one git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1460720 13f79535-47bb-0310-9956-ffa450edef68
a499379c67711e53a9fd5cdcf69c1a4bc6271c0e;BREAKING_FIX;44;Fix build. git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1460896 13f79535-47bb-0310-9956-ffa450edef68
691a0296dcdb2b0285d98f0564b2e6e4fda504d9;BREAKING_CHANGES;31;OLTU-93 - Add OpenIdConnect flow to client demo git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1465421 13f79535-47bb-0310-9956-ffa450edef68
ecc537c797a6de4701a9074d7948f5b994d3e5be;BREAKING_FIX;30;releng: added openid-connect module in the reactor list git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1465564 13f79535-47bb-0310-9956-ffa450edef68
3f2c68ab9c80ee22ec61eabf182098775ce8e757;BREAKING_CHANGES;41;[maven-release-plugin] prepare release org.apache.oltu.parent-1 git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1480547 13f79535-47bb-0310-9956-ffa450edef68
5ccbf689e00cd71d0173d79068c3dd0fd68e9506;BREAKING_FIX;33;parent v1 already available on Maven git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1483858 13f79535-47bb-0310-9956-ffa450edef68
ad268ca7fd7c5682b4c59c5028f10bee03093ee9;BREAKING_CHANGES;227;[maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-0.31 git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1495067 13f79535-47bb-0310-9956-ffa450edef68
a3a30cde150e0e8f1ed51eba5ff7ba539de8c752;BREAKING_FIX;227;[maven-release-plugin] rollback the release of org.apache.oltu.oauth2.parent-0.31 git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1495069 13f79535-47bb-0310-9956-ffa450edef68
abf90f7deb37b40bd4ed8d08dea25c662fbc319e;BREAKING_CHANGES;227;[maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-0.31 git-svn-id: https://svn.apache.org/repos/asf/oltu/trunk@1495071 13f79535-47bb-0310-9956-ffa450edef68
