STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,3,4,efb14cdc81bd88a33429c1198831ba03c4644ba4,aa26492453088925faa02d8dc37e08603e00e8eb,0, 
BUILD_SUCCESSFUL,4,180,177,579f5a16fa4acd735c1e2826b3e0811b3b58ebb5,26c5b639eb1c1a694ec94296409b11dc123b06a8,0, 
BUILD_FAILURE,181,226,46,1f795c4dca407a45233fb495d55f1204a5813aad,5a53fac4c0dd4c0b002137c671ee5dfa3caa6f0c,1,MojoFailureException1:46;
BUILD_SUCCESSFUL,227,317,91,651f3178fc81f5e81942e48df45252dd7e747629,803d8ad7ee87acedcd70fbe4138631c89df287ec,0, 
BUILD_FAILURE,318,321,4,ecff605a41fa4b50bc1a5bb8de47f64dec1d66b4,12b94f73b08c9f13b389158e6a2fd2ef0f04bce9,1,ProjectBuildingException1:4;
BUILD_SUCCESSFUL,322,387,66,43bf61e865bdc7bb00bf89f7fb806437adc7c8ae,cfdce37c78adeb2f42a92aec0093d6acab948bb1,0, 
BUILD_FAILURE,388,399,12,e2bb393c11a9934946ef34730f969b09a011c6f0,c161ad76f9f9e97b18321e7d97e426ea72297073,1,ProjectBuildingException1:12;
BUILD_SUCCESSFUL,400,509,110,1f6dc864f9b25bfe2cf7ff5236018e9597593f0a,36d06d5a9a8b240c77dcd68871326eccd059d2ff,0, 
BUILD_FAILURE,510,516,7,f153671c0717ea451abaf568033522d829ed7d3b,1e71c6aa5b5f2233dc8dc7133a06349733831c27,1,ArtifactResolutionException1:7;
BUILD_SUCCESSFUL,517,539,23,a499379c67711e53a9fd5cdcf69c1a4bc6271c0e,ec80837787225d2a5e072e35f96bebed94720273,0, 
BUILD_FAILURE,540,547,8,691a0296dcdb2b0285d98f0564b2e6e4fda504d9,eaef74ca294d4c0086a022102bf24954ec7bc28d,1,DependencyResolutionException1:8;
