STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,28485d931a0c370ee90971706b37ec974bf37297,28485d931a0c370ee90971706b37ec974bf37297,0, 
BUILD_FAILURE,1,108,108,8e1d6df8b996246cd1bce43ed73b2c9ea31d74fc,bd5a889cac27b84d9321967493570290fe4a7489,2,ArtifactResolutionException1:43;DependencyResolutionException2:65;
BUILD_SUCCESSFUL,109,146,38,4da7d5897fd80ac848e7252aef3d359cf79ffd42,3a5f0bcab07237109d5247229fd1d665eb2a7956,0, 
BUILD_FAILURE,147,220,74,ec9c4541609466ac108a6f17cc474c18defa2542,920c533a4ea7a5129fa70e5e581234fa33f9a429,1,DependencyResolutionException1:74;
BUILD_SUCCESSFUL,221,222,2,84efedd0a6de8b23fd2dbccacaba8f1757db5d5a,2ea56d664db6eca85ce3b052b5492374f2162719,0, 
BUILD_FAILURE,223,336,114,1c220f9c51851f9fa1ab50afb39107708869356e,b0a6805260b810947c7374c5dda7c0011f1cf68c,1,ArtifactResolutionException1:114;
BUILD_SUCCESSFUL,337,344,8,a98c004ee3614eab58867c4230848f166b91626a,137971972d5948ba256bd0993bf33bfc56b577a8,0, 
BUILD_FAILURE,345,382,38,fd515e97da70feb395db9a002ee3b339d235b97c,70f08a87b93ddd0d045ab31b2b07ad4b721a1b58,3,PluginExecutionException1:6;DependencyResolutionException2:2;PluginExecutionException3:30;
BUILD_SUCCESSFUL,383,424,42,0aae17147793b6fc9938bb90c3c9e565f3cb8158,ce47980756bb019d16924a4da03075c64074fdb8,0, 
BUILD_FAILURE,425,782,358,d4323a4a55105baca239801053ae9136e9f65d5b,c2711bb3281a40136836da2607185bb4b3bbc11f,7,ArtifactResolutionException1:45;MojoFailureException2:19;DependencyResolutionException3:101;ArtifactResolutionException4:17;MojoFailureException5:1;DependencyResolutionException6:5;MojoFailureException7:170;
BUILD_SUCCESSFUL,783,794,12,d1befa887a1647f13500a7e1dda332cac4fcfd85,fe0af411e2f2468eca87131c5751de4ade92cc7b,0, 
BUILD_FAILURE,795,797,3,3f759cb32bedcf03e2f3c112ddc9bcf3fcaf1dd9,61f62adcfd2e5d36c1a4281df375e5d7700f6c99,1,DependencyResolutionException1:3;
BUILD_SUCCESSFUL,798,863,66,645bc829283dd58e1e19ae355bbfbfc216f25a8b,b1f820dd62337773f9d02e8d3ab5c9074fbc8eb4,0, 
BUILD_FAILURE,864,879,16,263dfaf57ec7f2ca0ed6f900deb00f19acb87b15,9f8713d13b30eda076222ed8b3733b3bc953b7e1,1,DependencyResolutionException1:16;
BUILD_SUCCESSFUL,880,1133,254,23c949ecc4d77ce942ef5575dcb3625dbb792e11,c52247c8b2f87fb4540a5d98794e5a369262d297,0, 
BUILD_FAILURE,1134,1134,1,86bd20fbf4125ed77510658dcbf217d5772c4ec4,86bd20fbf4125ed77510658dcbf217d5772c4ec4,1,DependencyResolutionException1:1;
BUILD_SUCCESSFUL,1135,1264,130,8a2209743ed112129073aa252ceb01dbc7c32829,60043abcd809c13ebeca2d78f64fd909f40fd3b7,0, 
BUILD_FAILURE,1265,1266,2,61d0ef756bf95be9469eb34902ce8c66c81e941d,14236bc0059e302c5533d6b7e2a25188773b4798,1,ArtifactResolutionException1:2;
BUILD_SUCCESSFUL,1267,1268,2,c2d05362011ee04e4349729524faa094277adaf2,a8f6b85346735494627fba649aabb06fb8b64de2,0, 
BUILD_FAILURE,1269,1270,2,c9c6a41c48cc2eec870c5dfc0e82f0b88084d236,d327a6b40e6cc2c35864444d5d12d7f7470006e8,1,ArtifactResolutionException1:2;
BUILD_SUCCESSFUL,1271,1321,51,b3e37e03e559f77dca04720ed58ea210ac16d464,8723026055736200dbe96446b16dd00f79cc1e7d,0, 
BUILD_FAILURE,1322,1394,73,700e99e9b9c00e95e63e6cece4b9d320a3175a8b,9ccfa6ecb38645755046a9aa2495112788ac49c2,1,DependencyResolutionException1:73;
BUILD_SUCCESSFUL,1395,1400,6,167bbecf4885ef6e04b9a0bb2f545083b706bbc1,fb4173c509699713866401a6266612d9b51f4102,0, 
BUILD_FAILURE,1401,1416,16,64ba6a90c6163655e717e266ff24c0d50ad34712,2dfc3261e487fd50ec18b79f18964db66cbd434c,1,DependencyResolutionException1:16;
BUILD_SUCCESSFUL,1417,1418,2,d38ec098479a35726fbf0073fed246b51a97019b,78061ad2da0177a764123b9384c1356e188a144a,0, 
BUILD_FAILURE,1419,1836,418,ab4b56d8f86d62f5516420a1fd91f04ca374fc89,640d8f211abe91ea9b450340b75127dc32c676ff,6,ArtifactResolutionException1:3;MojoFailureException2:2;ArtifactResolutionException3:15;MojoFailureException4:4;ArtifactResolutionException5:5;MojoFailureException6:389;
