STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
BUILD_FAILURE,0,2,3,2e1880f64fa80548f4e72e1f074bc18fced47a0b,1a406afe3cc004d89674bdbe2e473cb4fff85d4b,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,3,18,16,f9ca1e61694932bcbe7560af452a377e09b38b70,8a8c915fd7297f830b4d0fd36e8829d9a62cd9e4,0, 
BUILD_FAILURE,19,19,1,f23081a888bff9d514a07588dab599ab57103a66,f23081a888bff9d514a07588dab599ab57103a66,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,20,54,35,48619eb5a29e3cf15a44f78c4b9c291e4ef34df2,99b9518aa3047c59d6529c45f72e247f6074b5cf,0, 
BUILD_FAILURE,55,99,45,a95ea7eae90b895a21838551c70a34e11fe64b0c,aa99f1ef54592d9a5ca6c4f23fe8e98076d0a2ca,7,MojoFailureException1:2;ArtifactResolutionException2:8;MojoFailureException3:5;ProjectBuildingException4:2;MojoFailureException5:9;DependencyResolutionException6:1;MojoFailureException7:18;
BUILD_SUCCESSFUL,100,103,4,a13c6a5a3cfb201457437de81d426e899816454f,dee55cda3dfb4e4470274973c69730d8944feeb5,0, 
BUILD_FAILURE,104,114,11,ec406ad655608548eaf72dbf5a5f71611d2ae23b,bb9d363d6ecd253c2f0e2dd56f9310f9c24f3109,1,DependencyResolutionException1:11;
BUILD_SUCCESSFUL,115,207,93,1f077011f2918de618efaac1c5a1028a8a7d822e,1ec595691887cc45cf1cc864e99bc718323e5f93,0, 
BUILD_FAILURE,208,208,1,8ffecbd5a32d0bbb8c59a62e3c57c722a00db464,8ffecbd5a32d0bbb8c59a62e3c57c722a00db464,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,209,219,11,2f6d8f0da14f9c528e5b0d0a711daf570765bf8b,d02f4fd5a515fe528e49a7750f71a47783d52ba3,0, 
BUILD_FAILURE,220,253,34,50ba2646ad68f6423386aed0a0c760ab03286eba,2cbd0274821132a3888c4fc0e823100537219bf2,3,MojoExecutionException1:17;CompilationFailureException2:6;MojoExecutionException3:11;
