commitID;commit-type;time-to-next-release;commit-message
6c4aba34b10e60f7e4e1ab1a1bbfd9191d1a0d95;BREAKING_CHANGES;2138;[monitoring] initial maven project structure git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@613247 13f79535-47bb-0310-9956-ffa450edef68
b52d0da56842bcfbc6c652228124a28a399408be;BREAKING_FIX;2137;Update to released version 3 of commons-sandbox-parent pom git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@613379 13f79535-47bb-0310-9956-ffa450edef68
840bef942fa62c1a09ddd4057e4ebba8db118e2a;BREAKING_CHANGES;2099;documentation periodic reporting to logs using secondaryRepository StopWatch redesigned as interface git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@631142 13f79535-47bb-0310-9956-ffa450edef68
84b22de62d3bb9463c28b10d9ee519f43c48f2a1;BREAKING_FIX;2093;missing StopWatch interface git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@632969 13f79535-47bb-0310-9956-ffa450edef68
8a4c5988afc44d3abaf0e2ca9b0417811dbba83f;BREAKING_CHANGES;2089;add support for commons-proxy interceptors AbstractPerformanceInterceptor for common method interception features, to be derived according to method interception APIs git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@634679 13f79535-47bb-0310-9956-ffa450edef68
45f0931508bab99e0b3886825110e5d764a01cd1;BREAKING_FIX;2089;missing throwable declaration git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@634708 13f79535-47bb-0310-9956-ffa450edef68
b4a5b260972782a86652f82ed255bba0054f9e47;BREAKING_CHANGES;2000;render sum of squares to support post-processing of stats and datas from multiple instances (cluster) aggregation git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@663074 13f79535-47bb-0310-9956-ffa450edef68
e1aca0a1dda97b2c9f2c0252f2dfe38a31dde0bb;BREAKING_FIX;2000;render sum of squares to support post-processing of stats and datas from multiple instances (cluster) aggregation git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@663077 13f79535-47bb-0310-9956-ffa450edef68
c3009fa17ef90bfb4788ade042c1be12b85fde1d;BREAKING_CHANGES;1579;moved as trunk git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@799196 13f79535-47bb-0310-9956-ffa450edef68
1b33b9e5d4df86badfb70b54a10121b47ed28a47;BREAKING_FIX;119;removing gauge which weren't really gauge, replacing it by a counter in counters, adding basic config, splitting in several modules git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@1507950 13f79535-47bb-0310-9956-ffa450edef68
c17e9c5978e3e1d1dfb26dc6ac105c4f19492ce0;BREAKING_CHANGES;52;Fix the Gauge discovery mechanism which is broken when more than one entry git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@1529186 13f79535-47bb-0310-9956-ffa450edef68
d2dda50b5fdac95e53a846f000ae93ce227ba8cc;BREAKING_FIX;52;Uncomplete commit for gauge discovery git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/monitoring/trunk@1529187 13f79535-47bb-0310-9956-ffa450edef68
59ae63adecd2bc8a8999236721839dd06d3f0ab1;BREAKING_CHANGES;22;fixing collector module + making of it a war (+ jar) + moving some stuff for easier usage (Collector*Store in core to let the gui handle it a bit more later + JVM gauges in core to allow to activate/deactivate it) git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1538417 13f79535-47bb-0310-9956-ffa450edef68
a9bdb0aaafaedec864ae8fad2ea79aa8408e4298;BREAKING_FIX;22;printing data by node for gauges by default in reporting view if in collector mode git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1538442 13f79535-47bb-0310-9956-ffa450edef68
2b53f1be50c326a02d2425d7802628dd1230ee66;BREAKING_CHANGES;10;avoiding role.toString() git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1542325 13f79535-47bb-0310-9956-ffa450edef68
4d410f6d8f6d4bfd821b8bb8b562551bf783c34a;BREAKING_FIX;10;prefixing counter gauge by counter- git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1542326 13f79535-47bb-0310-9956-ffa450edef68
f7d73887847a005cced648dd2aad1b8edd2c1084;BREAKING_CHANGES;7;add active thread gauge git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1543272 13f79535-47bb-0310-9956-ffa450edef68
e8763488a92cac5827f85a2cd2537768adc46888;BREAKING_FIX;7;better with adding file git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1543274 13f79535-47bb-0310-9956-ffa450edef68
eb3effb166a85a55d2ea627fb54e25ec8482a507;BREAKING_CHANGES;0;SIRONA-10 adding constants for Counter.Key in instrumented classes git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1545248 13f79535-47bb-0310-9956-ffa450edef68
58f86dd794b3a50a0c21fca49888da0fe4abdcfc;BREAKING_FIX;0;adding InvocationListener in javaagent git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1545329 13f79535-47bb-0310-9956-ffa450edef68
2af79abe642af8c716840c0598d34a4698f6198e;BREAKING_CHANGES;121;JavaAgentRunner more reusable git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1561910 13f79535-47bb-0310-9956-ffa450edef68
034b84de8289127e1ce0cb5af671983ec6362631;BREAKING_FIX;121;possible to pass sys args from main surefire process git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1561911 13f79535-47bb-0310-9956-ffa450edef68
e120b1d8dae763f666fd21a6d2324dd8c9ba9850;BREAKING_CHANGES;99;start of path tracking git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1569191 13f79535-47bb-0310-9956-ffa450edef68
84dd0a8e5c2f41298d5b8cd7d4933178917c9613;BREAKING_FIX;99;fix compilation with various FIXME git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1569194 13f79535-47bb-0310-9956-ffa450edef68
2bce5d06e1476901261de4ea85100f29568f3e64;BREAKING_CHANGES;96;move logging debug in only place git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1570442 13f79535-47bb-0310-9956-ffa450edef68
12bfb56ed77e265fa1064bc004c22f9e0c5f3efb;BREAKING_FIX;96;missed to add a class git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1570444 13f79535-47bb-0310-9956-ffa450edef68
578f427e2254ba93998cd194dcc046b53ca1713e;BREAKING_CHANGES;86;unit update need to think about performance for that git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1573451 13f79535-47bb-0310-9956-ffa450edef68
993b6d7457c3a0fb5e20beb9c9390f2758c26fe2;BREAKING_FIX;86;add method to send unit update, ignore some test files, add possibility to use a test file git-svn-id: https://svn.apache.org/repos/asf/incubator/sirona/trunk@1573453 13f79535-47bb-0310-9956-ffa450edef68
