STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
BUILD_FAILURE,0,0,1,6c4aba34b10e60f7e4e1ab1a1bbfd9191d1a0d95,6c4aba34b10e60f7e4e1ab1a1bbfd9191d1a0d95,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,1,20,20,b52d0da56842bcfbc6c652228124a28a399408be,da912da4056648d8e07441301e9f332b48023caa,0, 
BUILD_FAILURE,21,21,1,840bef942fa62c1a09ddd4057e4ebba8db118e2a,840bef942fa62c1a09ddd4057e4ebba8db118e2a,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,22,31,10,84b22de62d3bb9463c28b10d9ee519f43c48f2a1,f3241055180b16c888c4dd145ada4d64df59023c,0, 
BUILD_FAILURE,32,32,1,8a4c5988afc44d3abaf0e2ca9b0417811dbba83f,8a4c5988afc44d3abaf0e2ca9b0417811dbba83f,1,MojoFailureException1:1;
BUILD_SUCCESSFUL,33,65,33,45f0931508bab99e0b3886825110e5d764a01cd1,ed5dbb7197a2bc3aed50bae58951145a617197ba,0, 
BUILD_FAILURE,66,67,2,b4a5b260972782a86652f82ed255bba0054f9e47,71c971e9260c1dfc667f4a2e96da7b604a87d375,1,MojoFailureException1:2;
BUILD_SUCCESSFUL,68,72,5,e1aca0a1dda97b2c9f2c0252f2dfe38a31dde0bb,05a99b44d7b43abf57344b546405ebf312bc51c9,0, 
BUILD_FAILURE,73,99,27,c3009fa17ef90bfb4788ade042c1be12b85fde1d,91adc63a412f6e9e13986daf3578dbe9f92f6b7f,4,MojoFailureException1:6;ArtifactResolutionException2:3;MojoFailureException3:7;CompilationFailureException4:11;
BUILD_SUCCESSFUL,100,162,63,1b33b9e5d4df86badfb70b54a10121b47ed28a47,825f2b485b871d966dcd45f13403506c6b8f437f,0, 
BUILD_FAILURE,163,163,1,c17e9c5978e3e1d1dfb26dc6ac105c4f19492ce0,c17e9c5978e3e1d1dfb26dc6ac105c4f19492ce0,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,164,246,83,d2dda50b5fdac95e53a846f000ae93ce227ba8cc,43d897c3107b0e75c37c72e8ff9ce760876231e9,0, 
BUILD_FAILURE,247,247,1,59ae63adecd2bc8a8999236721839dd06d3f0ab1,59ae63adecd2bc8a8999236721839dd06d3f0ab1,1,ProjectBuildingException1:1;
BUILD_SUCCESSFUL,248,341,94,a9bdb0aaafaedec864ae8fad2ea79aa8408e4298,90b041f011d5895afcae413a52dec553799a2cc9,0, 
BUILD_FAILURE,342,342,1,2b53f1be50c326a02d2425d7802628dd1230ee66,2b53f1be50c326a02d2425d7802628dd1230ee66,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,343,356,14,4d410f6d8f6d4bfd821b8bb8b562551bf783c34a,a4e164a6e1cdffd117aa66b4fab50db80e248450,0, 
BUILD_FAILURE,357,357,1,f7d73887847a005cced648dd2aad1b8edd2c1084,f7d73887847a005cced648dd2aad1b8edd2c1084,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,358,413,56,e8763488a92cac5827f85a2cd2537768adc46888,488471f8ca41aaccb2a609adeb04846c0e3e3360,0, 
BUILD_FAILURE,414,417,4,eb3effb166a85a55d2ea627fb54e25ec8482a507,7b06d4e88e1db82491dddca370f26aa0d2af75f8,1,CompilationFailureException1:4;
BUILD_SUCCESSFUL,418,444,27,58f86dd794b3a50a0c21fca49888da0fe4abdcfc,1b6a9a9f6ab06fd863278ca3222f3c6e1c224fb0,0, 
BUILD_FAILURE,445,445,1,2af79abe642af8c716840c0598d34a4698f6198e,2af79abe642af8c716840c0598d34a4698f6198e,1,ArtifactResolutionException1:1;
BUILD_SUCCESSFUL,446,466,21,034b84de8289127e1ce0cb5af671983ec6362631,9ba1a0152ac3e056f85f2ac34f62fad0e2ae3816,0, 
BUILD_FAILURE,467,469,3,e120b1d8dae763f666fd21a6d2324dd8c9ba9850,27eea345cbf25c54cbe1a1f298c3f946fed33500,1,CompilationFailureException1:3;
BUILD_SUCCESSFUL,470,509,40,84dd0a8e5c2f41298d5b8cd7d4933178917c9613,1ccef8cc37bcceda27b7efe2a6937cb50e2d828c,0, 
BUILD_FAILURE,510,511,2,2bce5d06e1476901261de4ea85100f29568f3e64,55914b39799200050ea7da8f8e692b14438f1fb0,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,512,538,27,12bfb56ed77e265fa1064bc004c22f9e0c5f3efb,a8b93c65bb2e7c994b90808c0d8f87bbca3dac01,0, 
BUILD_FAILURE,539,540,2,578f427e2254ba93998cd194dcc046b53ca1713e,c9c526f19cf7442e54f10db4ee9c7ec6982eebf8,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,541,542,2,993b6d7457c3a0fb5e20beb9c9390f2758c26fe2,20deab52413015f75eaf8c1d096272110bc8a2ee,0, 
BUILD_FAILURE,543,544,2,7e3a8efa228662ceff662883d5eeec1b3eca0462,6c3bcde4e4912c521e028688d669988ef805545f,1,CompilationFailureException1:2;
BUILD_SUCCESSFUL,545,576,32,92c9b888ea8a9690d6f018b86b1233c05251e69c,5d4fdd4dc98767a8e75a9f37b4d974765e2a0882,0, 
BUILD_FAILURE,577,579,3,3a9426595a95cd03d36861fcfa9d3d7185cbbdf5,20c74ad917596ede29aff4655932673b80ded003,1,CompilationFailureException1:3;
BUILD_SUCCESSFUL,580,609,30,48d66040c32a2977a3da3d9b0a3b7b31e0d2cd9f,e621704ea1fad948e1fc95a884724642d82452ac,0, 
BUILD_FAILURE,610,610,1,f32f6adca2ba9276df050ca0b2ec51fc0ff4ebc9,f32f6adca2ba9276df050ca0b2ec51fc0ff4ebc9,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,611,615,5,4c37691b4cca190508120d90fc9773aeee277aef,644c76ab080012ad05593567e06035e0b93e3b30,0, 
BUILD_FAILURE,616,616,1,58b019f62cddf35c2c5f9e90134ba557f5a528d2,58b019f62cddf35c2c5f9e90134ba557f5a528d2,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,617,618,2,22e02006b68636488fed6cf971783919f95fa806,e4e9fe74c0f077204fe598996c19fc8c4eb99df5,0, 
BUILD_FAILURE,619,621,3,1b4d7357889bf13ad0c263288f145f72b550b0d9,34adc58836ec8934cbb84550a4218d13334c696e,1,ArtifactResolutionException1:3;
BUILD_SUCCESSFUL,622,684,63,8e0189ff336a334e77fc3bdbb8ae18154de2b219,7a8e3e4bca987d859582a2ec64c188ab9e767199,0, 
BUILD_FAILURE,685,685,1,f87cea043c9ce2e4225e777ddeaf6e3fa53eb6e7,f87cea043c9ce2e4225e777ddeaf6e3fa53eb6e7,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,686,717,32,303db4e6840924393144925eb951d8df6381fb80,be2aa10495e6ae815dafaa07bc709d4b94018002,0, 
