commitID;commit-type;time-to-next-release;commit-message
1d06f573ee3a40f456d1a3d7fe7b8e676d24e765;BREAKING_CHANGES;27;initial checkin of OSGI component project created with PAX plugin for Maven git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1419821 13f79535-47bb-0310-9956-ffa450edef68
27cd65b2d060c4a75a07b77a93d124868129f25a;BREAKING_FIX;-;war is deployable...need to work out the servlet endpoints though git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1442749 13f79535-47bb-0310-9956-ffa450edef68
34c33780fcbaaa571c07104033e551416455c4bc;BREAKING_CHANGES;-;- cleanup and standardizing master pom and other pom configurations - correcting and improving maven-remote-resources-plugin usage - adding missing license headers to pom files (only) - adding missing parent pom references - renaming RELEASE NOTES -> RELEASE_NOTES (master pom project) - adding LICENSE and DISCLAIMER to main project root - removing now redundant L&N related resource files git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1457438 13f79535-47bb-0310-9956-ffa450edef68
697c3a5965259420a266cf98888c3b87b1019627;BREAKING_FIX;-;Added snapshot repository to master pom git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1524263 13f79535-47bb-0310-9956-ffa450edef68
036f30a2d32f4d9235f12993d174dc73184bb97d;BREAKING_CHANGES;-;storm wrappers for providers and persistwriters git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1560191 13f79535-47bb-0310-9956-ffa450edef68
5b3135727a036c48a3c26eb0da73007712cb7981;BREAKING_FIX;-;a few new dependencies git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1560192 13f79535-47bb-0310-9956-ffa450edef68
a776edf7cb06728dfecb8d330a3152e50e468ca4;BREAKING_CHANGES;-;These changes should allow the project to build on Jenkins, rather than error out when jsonschema2pojo tries to build .svn directories git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1566722 13f79535-47bb-0310-9956-ffa450edef68
bccc3701c71ce2706571cb33c2630044b263f07d;BREAKING_FIX;-;These changes should allow the project to build on Jenkins, rather than error out when jsonschema2pojo tries to build .svn directories git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1566792 13f79535-47bb-0310-9956-ffa450edef68
2ce1c7781160b5ed0f18f4eb3691ee096e175aef;BREAKING_CHANGES;-;Working implementation of Writer git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1567727 13f79535-47bb-0310-9956-ffa450edef68
55235687ec740526097564b105de3ef0a2eb78db;BREAKING_FIX;-;Misc updates git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1567846 13f79535-47bb-0310-9956-ffa450edef68
4331f430bcedf27951ca61373642a229845d9272;BREAKING_CHANGES;-;Merging Ryan's patch, refactored a few modules to match new interface, removed all that don't match new interfaces from the reactor for now. git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1570726 13f79535-47bb-0310-9956-ffa450edef68
72224a3b8b0358ca67bd6ecf8a0dd5a2faad1ab7;BREAKING_FIX;-;Reverting changes to 1569602 git-svn-id: https://svn.apache.org/repos/asf/incubator/streams/trunk@1571339 13f79535-47bb-0310-9956-ffa450edef68
